,if,a,force,is,pointing,horizontally,to,the,northeast,",",how,many,forces,can,you,split,the,force,into,?
a,0.41272827982902527,1.0,0.2451154738664627,0.658733606338501,0.30227750539779663,0.26149487495422363,0.45503583550453186,0.5829201340675354,0.18476256728172302,0.427140474319458,0.29312583804130554,0.2872205972671509,0.17848460376262665,0.3915780484676361,0.334549218416214,0.20198695361614227,0.5829201340675354,0.2451154738664627,0.3461161255836487,0.23916715383529663
horizontal,0.2114333212375641,0.2503664791584015,0.2168421894311905,0.16170108318328857,0.3030344843864441,0.915445864200592,0.1755944788455963,0.25932741165161133,0.2182418406009674,0.14324380457401276,0.1608983427286148,0.1373922973871231,0.2093001753091812,0.21610264480113983,0.21252839267253876,0.12381381541490555,0.25932741165161133,0.2168421894311905,0.21841388940811157,0.11756809055805206
force,0.21601657569408417,0.2451154738664627,1.0000001192092896,0.22036980092525482,0.1671999841928482,0.22556360065937042,0.24496492743492126,0.2800885736942291,0.1870218962430954,0.22091743350028992,0.16030928492546082,0.1819681078195572,0.6498695015907288,0.18594154715538025,0.1904318630695343,0.10966940224170685,0.2800885736942291,1.0000001192092896,0.1669553965330124,0.1650998443365097
pointing,0.33548396825790405,0.30227750539779663,0.1671999841928482,0.23654665052890778,1.0,0.3454684913158417,0.31448274850845337,0.3205399215221405,0.18197861313819885,0.298513263463974,0.3153384327888489,0.21949796378612518,0.16434569656848907,0.31783878803253174,0.41108235716819763,0.22188545763492584,0.3205399215221405,0.1671999841928482,0.20239172875881195,0.284930557012558
northeast,0.07764249294996262,0.18476256728172302,0.1870218962430954,0.26471805572509766,0.18197861313819885,0.23500195145606995,0.22685807943344116,0.3058204650878906,1.0000001192092896,0.27501338720321655,0.14956440031528473,0.10068225860595703,0.2180207520723343,0.05096103623509407,0.14709582924842834,0.14313830435276031,0.3058204650878906,0.1870218962430954,0.2755897343158722,0.07426474988460541
can,0.5903681516647339,0.3915780484676361,0.18594154715538025,0.44256699085235596,0.31783878803253174,0.28603309392929077,0.4979398250579834,0.312528520822525,0.05096103623509407,0.3139454126358032,0.49246567487716675,0.4275496006011963,0.15958181023597717,1.0,0.5051328539848328,0.12422006577253342,0.312528520822525,0.18594154715538025,0.301788330078125,0.3226337134838104
therefore,0.5447516441345215,0.4029415249824524,0.2580169439315796,0.36838728189468384,0.33939552307128906,0.341847687959671,0.49267399311065674,0.4141571819782257,0.15395207703113556,0.31452515721321106,0.4215601980686188,0.3711368143558502,0.25287145376205444,0.4358792006969452,0.3940916359424591,0.20184187591075897,0.4141571819782257,0.2580169439315796,0.2792554199695587,0.3325358033180237
be,0.5628611445426941,0.39883795380592346,0.16664405167102814,0.4819129705429077,0.29195520281791687,0.3375299274921417,0.4972836375236511,0.4248143136501312,0.11803495138883591,0.39254459738731384,0.4158933162689209,0.3961109519004822,0.17733727395534515,0.5791122913360596,0.4713827073574066,0.22925865650177002,0.4248143136501312,0.16664405167102814,0.3462390601634979,0.3324260413646698
split,0.1830327808856964,0.20198695361614227,0.10966940224170685,0.1479039490222931,0.22188545763492584,0.14340899884700775,0.17915946245193481,0.2967630624771118,0.14313830435276031,0.26985031366348267,0.13814391195774078,0.1792730987071991,0.15887415409088135,0.12422006577253342,0.1539669781923294,1.0,0.2967630624771118,0.10966940224170685,0.43188852071762085,0.16133880615234375
into,0.24821437895298004,0.3461161255836487,0.1669553965330124,0.2619607150554657,0.20239172875881195,0.2878146171569824,0.38810545206069946,0.39493247866630554,0.2755897343158722,0.2826121151447296,0.2303972691297531,0.2618265151977539,0.18807947635650635,0.301788330078125,0.19446294009685516,0.43188852071762085,0.39493247866630554,0.1669553965330124,1.0,0.15662476420402527
