,what,was,increased,in,november,2011,?
in,0.30808621644973755,0.45514053106307983,0.244624063372612,1.0,0.27148663997650146,0.08290185779333115,0.20430970191955566
november,0.23963461816310883,0.4240739941596985,0.12295323610305786,0.27148663997650146,1.0,-0.01335877738893032,0.3159552216529846
2011,0.04286744073033333,-0.022202642634510994,0.09629122167825699,0.08290185779333115,-0.01335877738893032,1.0,0.005212190095335245
the,0.42745697498321533,0.48711544275283813,0.3188653886318207,0.6662389636039734,0.25734350085258484,0.07811610400676727,0.22068053483963013
capacity,0.16428391635417938,0.13935771584510803,0.32926657795906067,0.18522892892360687,0.12808410823345184,0.0807005763053894,0.17383241653442383
of,0.33290785551071167,0.4069072902202606,0.3371390700340271,0.5696388483047485,0.19941139221191406,0.09709474444389343,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.3188653886318207,0.6662389636039734,0.25734350085258484,0.07811610400676727,0.22068053483963013
tyne,0.14296641945838928,0.2610088884830475,0.234477698802948,0.20370638370513916,0.21062703430652618,0.017985450103878975,0.07377036660909653
tunnel,0.19400271773338318,0.17833024263381958,0.11000664532184601,0.2736896276473999,0.16658130288124084,-0.004869827069342136,0.12917466461658478
was,0.22111038863658905,1.0000001192092896,0.23245969414710999,0.45514053106307983,0.4240739941596985,-0.022202642634510994,0.18412111699581146
increased,0.1599731743335724,0.23245969414710999,1.0000001192092896,0.244624063372612,0.12295323610305786,0.09629122167825699,0.09587585180997849
when,0.4700249433517456,0.37326499819755554,0.27145320177078247,0.4431333839893341,0.2606481611728668,0.07140792906284332,0.22841128706932068
a,0.3320399522781372,0.4508470594882965,0.22370080649852753,0.539380669593811,0.22458937764167786,0.03359675034880638,0.23916715383529663
project,0.27033838629722595,0.17915812134742737,0.11395284533500671,0.16277937591075897,0.20206914842128754,-0.0552254319190979,0.30569031834602356
to,0.455847829580307,0.3636345863342285,0.2690577805042267,0.45010748505592346,0.2179545760154724,0.03410811722278595,0.29463258385658264
build,0.27055490016937256,0.20898228883743286,0.2838064730167389,0.26063278317451477,0.16540639102458954,0.08000366389751434,0.1704305112361908
a,0.3320399522781372,0.4508470594882965,0.22370080649852753,0.539380669593811,0.22458937764167786,0.03359675034880638,0.23916715383529663
second,0.19948028028011322,0.3858029544353485,0.1650342345237732,0.34510284662246704,0.2536216676235199,0.026770994067192078,0.17239587008953094
road,0.14859327673912048,0.21728332340717316,0.1282147318124771,0.23586870729923248,0.12645642459392548,-0.04237077385187149,0.10894691944122314
tunnel,0.19400271773338318,0.17833024263381958,0.11000664532184601,0.2736896276473999,0.16658130288124084,-0.004869827069342136,0.12917466461658478
and,0.31309178471565247,0.3740963041782379,0.2943111062049866,0.4954058527946472,0.28525662422180176,0.0998905599117279,0.20544172823429108
refurbish,0.2361735999584198,0.25457438826560974,0.2302619367837906,0.2121916562318802,0.221089705824852,-0.04477342590689659,0.26555976271629333
the,0.42745697498321533,0.48711544275283813,0.3188653886318207,0.6662389636039734,0.25734350085258484,0.07811610400676727,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.18539391458034515,0.4127444326877594,0.324241042137146,0.008425894193351269,0.18701928853988647
tunnel,0.19400271773338318,0.17833024263381958,0.11000664532184601,0.2736896276473999,0.16658130288124084,-0.004869827069342136,0.12917466461658478
was,0.22111038863658905,1.0000001192092896,0.23245969414710999,0.45514053106307983,0.4240739941596985,-0.022202642634510994,0.18412111699581146
completed,0.19063329696655273,0.3156263828277588,0.19757266342639923,0.2960484027862549,0.20946837961673737,0.010010876692831516,0.08272653818130493
.,0.3567904531955719,0.40146201848983765,0.21367591619491577,0.5591574311256409,0.3957616984844208,0.10024500638246536,0.4130953550338745
