,who,figured,out,that,his,law,of,gravity,had,to,be,universal,?
not,0.369414746761322,0.3672870397567749,0.33352673053741455,0.6600887179374695,0.2710725963115692,0.2588513493537903,0.3307090103626251,0.18105222284793854,0.3714721202850342,0.5149973034858704,0.5788898468017578,0.23280788958072662,0.41942933201789856
until,0.2530071437358856,0.17208753526210785,0.309528112411499,0.324736088514328,0.35266077518463135,0.16438983380794525,0.2787701487541199,0.10520266741514206,0.42164283990859985,0.354556679725647,0.24359700083732605,0.08261186629533768,0.20304496586322784
1798,0.12577854096889496,0.057412609457969666,0.06433721631765366,0.039959464222192764,0.12441220879554749,0.1242215633392334,0.174815833568573,0.06418832391500473,0.14764969050884247,0.05193280801177025,0.059729062020778656,0.06998233497142792,0.10499652475118637
was,0.3318818509578705,0.28620630502700806,0.28168347477912903,0.33670201897621155,0.4405253231525421,0.21553055942058563,0.4069072902202606,0.15787701308727264,0.5927209258079529,0.3636345863342285,0.42228707671165466,0.210410475730896,0.18412111699581146
henry,0.29137110710144043,0.12098786979913712,0.17430952191352844,0.18298140168190002,0.32655900716781616,0.20799124240875244,0.2390729784965515,0.12328754365444183,0.25164878368377686,0.2152724415063858,0.14074179530143738,0.1495305448770523,0.16836383938789368
cavendish,0.19178840517997742,0.17659606039524078,0.16550078988075256,0.2165863960981369,0.2635176181793213,0.15912608802318573,0.2563726603984833,0.1806221306324005,0.2828311026096344,0.271219402551651,0.13326004147529602,0.09580927342176437,0.09402149170637131
able,0.38891562819480896,0.3559211790561676,0.31663835048675537,0.4536534547805786,0.28651130199432373,0.15290957689285278,0.23883962631225586,0.17209771275520325,0.34981897473335266,0.529755175113678,0.3856765329837799,0.15019848942756653,0.260649710893631
to,0.42656609416007996,0.293509304523468,0.42386990785598755,0.5436353087425232,0.3715193271636963,0.259207159280777,0.41548454761505127,0.23946231603622437,0.37984350323677063,1.0,0.4972836375236511,0.19006553292274475,0.29463258385658264
make,0.28430092334747314,0.2689426839351654,0.3698912560939789,0.48783382773399353,0.24823373556137085,0.18935526907444,0.2912110388278961,0.2288079410791397,0.3033863306045532,0.497876912355423,0.4759829044342041,0.18569107353687286,0.28314751386642456
the,0.3733934462070465,0.24908135831356049,0.39404502511024475,0.5473989248275757,0.4394008219242096,0.24548950791358948,0.733189046382904,0.22609853744506836,0.3875846862792969,0.535392165184021,0.4248143136501312,0.2359178364276886,0.22068053483963013
