,what,are,pharmacists,forbidden,to,do,?
these,0.4164220690727234,0.7107698917388916,0.3359241187572479,0.29674312472343445,0.46852558851242065,0.4402875602245331,0.2571668326854706
jurisdictions,0.2691689431667328,0.2782263457775116,0.22456330060958862,0.3324848413467407,0.2819231450557709,0.266284704208374,0.20752876996994019
also,0.42747777700424194,0.4565894305706024,0.33415913581848145,0.31741780042648315,0.5348826050758362,0.36242780089378357,0.21848613023757935
usually,0.32521089911460876,0.5635237097740173,0.27585569024086,0.2060435265302658,0.3824864327907562,0.3498661518096924,0.19435347616672516
specify,0.3123687505722046,0.25735533237457275,0.2238808125257492,0.17156749963760376,0.29637542366981506,0.32001668214797974,0.3106546401977539
that,0.6297725439071655,0.45265161991119385,0.3158316910266876,0.29405221343040466,0.5436353087425232,0.44533252716064453,0.32716336846351624
only,0.41415658593177795,0.4533037543296814,0.2949582040309906,0.27990633249282837,0.5096819996833801,0.36438748240470886,0.2767370045185089
pharmacists,0.28274545073509216,0.33935052156448364,1.0,0.22855670750141144,0.24341562390327454,0.328380823135376,0.1797308325767517
may,0.25739946961402893,0.3162533640861511,0.2343803346157074,0.19566302001476288,0.391582727432251,0.28230178356170654,0.2768254578113556
supply,0.20549191534519196,0.22798548638820648,0.19532673060894012,0.1354883760213852,0.29291704297065735,0.2525494396686554,0.14298182725906372
scheduled,0.17637485265731812,0.14997436106204987,0.14472927153110504,0.1526293009519577,0.25710105895996094,0.1468510925769806,0.15473315119743347
pharmaceuticals,0.17048482596874237,0.2407555878162384,0.6449340581893921,0.1965569108724594,0.18899211287498474,0.21455030143260956,0.14314424991607666
to,0.455847829580307,0.3504326641559601,0.24341562390327454,0.2843497693538666,1.0,0.38876664638519287,0.29463258385658264
the,0.42745697498321533,0.40399202704429626,0.24311043322086334,0.2504795491695404,0.535392165184021,0.30239659547805786,0.22068053483963013
public,0.1729622185230255,0.18111367523670197,0.23048073053359985,0.29064998030662537,0.2672370672225952,0.14626605808734894,0.19872993230819702
",",0.3087472915649414,0.4062570035457611,0.22197484970092773,0.27132129669189453,0.44245919585227966,0.3283645510673523,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.26810887455940247,0.27040788531303406,0.48971283435821533,0.276123583316803,0.20544172823429108
that,0.6297725439071655,0.45265161991119385,0.3158316910266876,0.29405221343040466,0.5436353087425232,0.44533252716064453,0.32716336846351624
pharmacists,0.28274545073509216,0.33935052156448364,1.0,0.22855670750141144,0.24341562390327454,0.328380823135376,0.1797308325767517
can,0.34502777457237244,0.5408529043197632,0.31512337923049927,0.2235172539949417,0.4979398250579834,0.45775556564331055,0.3226337134838104
not,0.5449194312095642,0.46186959743499756,0.3177492320537567,0.35180675983428955,0.5149973034858704,0.6619802713394165,0.41942933201789856
form,0.15868011116981506,0.29983413219451904,0.12944670021533966,0.19890500605106354,0.2772196829319,0.23068922758102417,0.1463010311126709
business,0.21758167445659637,0.16427041590213776,0.31189948320388794,0.22352516651153564,0.28079214692115784,0.24167226254940033,0.1545659303665161
partnerships,0.12291403114795685,0.26959577202796936,0.22170031070709229,0.19384339451789856,0.18647566437721252,0.16482900083065033,0.13447776436805725
with,0.2464839518070221,0.38996943831443787,0.21731118857860565,0.1838960498571396,0.4239959120750427,0.23744353652000427,0.2433311939239502
physicians,0.24258212745189667,0.23189473152160645,0.5620071887969971,0.15716831386089325,0.2605861723423004,0.2205246388912201,0.12075905501842499
or,0.33867141604423523,0.5374364256858826,0.3148721754550934,0.27098798751831055,0.38921234011650085,0.39439281821250916,0.32389625906944275
give,0.32935357093811035,0.2951275110244751,0.2133404165506363,0.20604842901229858,0.4396136403083801,0.4184249937534332,0.2985610067844391
them,0.4994642734527588,0.5206625461578369,0.36642852425575256,0.3333735167980194,0.5916602611541748,0.4653012752532959,0.35435691475868225
``,0.008517155423760414,0.12624181807041168,0.015368614345788956,-0.10444322228431702,0.06720756739377975,0.06628920882940292,0.0685480609536171
kickback,0.24343019723892212,0.15603414177894592,0.20355536043643951,0.1979627013206482,0.2631819248199463,0.20589406788349152,0.2833353281021118
'',0.08143015950918198,0.0263817198574543,0.1363896280527115,0.029185043647885323,-0.009905828163027763,-0.00043653504690155387,0.018684765323996544
payments,0.23578545451164246,0.22096309065818787,0.2860460877418518,0.23688484728336334,0.23819133639335632,0.19840297102928162,0.1551275998353958
.,0.3567904531955719,0.3452940285205841,0.27446362376213074,0.2574370801448822,0.4645031690597534,0.3613996207714081,0.4130953550338745
