,what,is,the,earliest,that,bach,began,using,luther,hymns,?
johann,0.14257463812828064,0.12211661785840988,0.1716882735490799,0.19677431881427765,0.1866597831249237,0.5590640902519226,0.10967474430799484,0.1390237659215927,0.3837730586528778,0.30150309205055237,0.1194499209523201
sebastian,0.09078362584114075,0.14824704825878143,0.16679102182388306,0.08532801270484924,0.1583842784166336,0.5161586999893188,0.06924699991941452,0.09337679296731949,0.24701139330863953,0.3156684339046478,0.12673193216323853
bach,0.2060634046792984,0.1683003157377243,0.2113773226737976,0.13705557584762573,0.24795909225940704,0.9999999403953552,0.17521263659000397,0.18157309293746948,0.34631797671318054,0.4018104076385498,0.23872415721416473
included,0.2288810908794403,0.23363345861434937,0.3825419843196869,0.299770325422287,0.2736181616783142,0.17237111926078796,0.25375115871429443,0.17339929938316345,0.14399166405200958,0.1899758130311966,0.14385655522346497
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.30555325746536255,0.40009650588035583,0.23716099560260773,0.23685947060585022,0.2887706160545349,0.2095126509666443,0.21151986718177795,0.15595775842666626
verses,0.21191509068012238,0.22361353039741516,0.19831201434135437,0.14469891786575317,0.22006763517856598,0.23460879921913147,0.1006435975432396,0.1835363507270813,0.20480051636695862,0.5688837766647339,0.21770696341991425
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.25896963477134705,0.4735107421875,0.23173552751541138,0.25156188011169434,0.31195345520973206,0.20242992043495178,0.15609335899353027,0.27043893933296204
chorales,0.18097981810569763,0.20451846718788147,0.24560964107513428,0.18355898559093475,0.17412753403186798,0.5027369856834412,0.2220960557460785,0.15490595996379852,0.30232128500938416,0.5235528945922852,0.20826344192028046
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3064194619655609,0.435920387506485,0.19327521324157715,0.34154343605041504,0.2717311978340149,0.20523880422115326,0.1669730842113495,0.20430970191955566
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.21276749670505524,0.3173833191394806,0.2507949471473694,0.34144559502601624,0.21453166007995605,0.27093374729156494,0.20449216663837433,0.18075084686279297
cantatas,0.22735777497291565,0.18413202464580536,0.24224889278411865,0.20551517605781555,0.23483797907829285,0.5977134108543396,0.15886911749839783,0.25175654888153076,0.24660377204418182,0.526684045791626,0.23913320899009705
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2148319035768509,0.4731321930885315,0.21089112758636475,0.3021392226219177,0.33157408237457275,0.20796556770801544,0.2313949018716812,0.20544172823429108
based,0.274813175201416,0.3248139023780823,0.29860720038414,0.2458110898733139,0.31403544545173645,0.13364368677139282,0.1990329921245575,0.2953546345233917,0.11297188699245453,0.12815019488334656,0.134929820895195
chorale,0.19436827301979065,0.16723740100860596,0.21937794983386993,0.15362787246704102,0.16279512643814087,0.5248245000839233,0.18444089591503143,0.17385034263134003,0.2823675572872162,0.5174891948699951,0.1843545287847519
