,what,company,was,chosen,to,build,an,ac,distribution,system,at,niagara,falls,?
a,0.3320399522781372,0.22037413716316223,0.4508470594882965,0.26963019371032715,0.45503583550453186,0.26229962706565857,0.44552403688430786,0.11213719099760056,0.21514776349067688,0.2589043080806732,0.3095070421695709,0.24506419897079468,0.2676706314086914,0.23916715383529663
further,0.30867868661880493,0.09510193765163422,0.16107149422168732,0.04746369272470474,0.4001762866973877,0.20891647040843964,0.19808639585971832,0.10751666128635406,0.15368947386741638,0.2302418053150177,0.21268320083618164,0.12141737341880798,0.08889004588127136,0.20960763096809387
contract,0.2276902049779892,0.32347777485847473,0.23490020632743835,0.1405707746744156,0.2871469259262085,0.2643553912639618,0.1380891054868698,0.09629063308238983,0.1495971530675888,0.18759410083293915,0.11972115933895111,0.27262336015701294,0.1188860833644867,0.12573233246803284
to,0.455847829580307,0.24903783202171326,0.3636345863342285,0.30746549367904663,1.0,0.38783395290374756,0.3138085603713989,0.13302072882652283,0.18405549228191376,0.26662686467170715,0.36524343490600586,0.25441214442253113,0.15835121273994446,0.29463258385658264
build,0.27055490016937256,0.18956714868545532,0.20898228883743286,0.22481299936771393,0.38783395290374756,1.0000001192092896,0.09444206207990646,0.1320156753063202,0.09708279371261597,0.25008147954940796,0.2175423949956894,0.18378059566020966,0.09684129804372787,0.1704305112361908
the,0.42745697498321533,0.26591673493385315,0.48711544275283813,0.32853078842163086,0.535392165184021,0.2602573335170746,0.4207492768764496,0.11894276738166809,0.27569329738616943,0.3233085572719574,0.457212895154953,0.27139943838119507,0.2708098292350769,0.22068053483963013
ac,0.12080251425504684,0.0813010185956955,0.16263911128044128,0.1264488399028778,0.13302072882652283,0.1320156753063202,0.178873673081398,1.0000001192092896,0.17726410925388336,0.1782734990119934,0.1383412778377533,0.11672676354646683,0.044269662350416183,0.19071458280086517
distribution,0.17429208755493164,0.276987761259079,0.14958971738815308,0.11559900641441345,0.18405549228191376,0.09708279371261597,0.17020238935947418,0.17726410925388336,1.0,0.23639224469661713,0.07783564925193787,0.07948004454374313,0.10148334503173828,0.0929616317152977
system,0.23557309806346893,0.18630766868591309,0.2147521674633026,0.12194295972585678,0.26662686467170715,0.25008147954940796,0.17536801099777222,0.1782734990119934,0.23639224469661713,1.0000001192092896,0.1684759259223938,0.08481656759977341,0.006587758660316467,0.15556083619594574
was,0.22111038863658905,0.2293137013912201,1.0000001192092896,0.258492648601532,0.3636345863342285,0.20898228883743286,0.3694365322589874,0.16263911128044128,0.14958971738815308,0.2147521674633026,0.36707764863967896,0.1924375295639038,0.1706530600786209,0.18412111699581146
