,which,of,luther,'s,hymn,was,the,main,one,for,advent,?
``,0.05178012326359749,0.06780257821083069,-0.013964727520942688,-0.03416389226913452,0.10007781535387039,-0.012679691426455975,0.029072100296616554,0.009458402171730995,0.1164957657456398,0.01270448137074709,0.00664568180218339,0.0685480609536171
nun,0.12271839380264282,0.20417404174804688,0.2797187566757202,0.07585524022579193,0.3278159499168396,0.19402848184108734,0.18956772983074188,0.052635159343481064,0.10605977475643158,0.0627874881029129,0.20481395721435547,0.18081775307655334
komm,0.05751528590917587,0.15127089619636536,0.2003755122423172,0.0754563957452774,0.11980507522821426,0.09825482219457626,0.14582456648349762,0.18972831964492798,0.11973171681165695,0.10253172367811203,0.07273677736520767,0.23406080901622772
",",0.3658004403114319,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.22048476338386536,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.3696635365486145,0.4464869201183319,0.13982629776000977,0.31091248989105225
der,0.18769915401935577,0.2241462916135788,0.2851134240627289,0.05417625233530998,0.15578685700893402,0.18196885287761688,0.1982923448085785,0.16724182665348053,0.10300489515066147,0.1637682169675827,0.1388048380613327,0.10571374744176865
heiden,0.13344000279903412,0.25212156772613525,0.2876211702823639,0.0001241594145540148,0.07562047243118286,0.21812944114208221,0.22653135657310486,0.18148921430110931,0.16945478320121765,0.1259595900774002,0.1664777547121048,0.11846069991588593
heiland,0.16633479297161102,0.2387819141149521,0.29983964562416077,0.05910671502351761,0.259004682302475,0.2999027371406555,0.25248539447784424,0.08430689573287964,0.16165852546691895,0.18969087302684784,0.23751741647720337,0.15920250117778778
'',-0.03332270681858063,0.13035868108272552,-0.04572787508368492,-0.04859459400177002,-0.056234996765851974,0.04456103965640068,0.041273195296525955,-0.012597051449120045,0.036477331072092056,-0.04479556903243065,0.04065627604722977,0.018684765323996544
(,0.2589828372001648,0.35032153129577637,0.1677781045436859,0.0012731997994706035,0.13691121339797974,0.2980341613292694,0.33289089798927307,0.21451304852962494,0.2922096848487854,0.3357032239437103,0.1320163905620575,0.40561532974243164
now,0.4048815965652466,0.29182544350624084,0.15390604734420776,-0.05292840301990509,0.14698642492294312,0.35876134037971497,0.38266420364379883,0.2287258356809616,0.3720342814922333,0.3636377453804016,0.11014227569103241,0.29641881585121155
come,0.3183249235153198,0.3194141983985901,0.12220790237188339,0.017146922647953033,0.1413162797689438,0.1758924275636673,0.36020293831825256,0.2012670338153839,0.31002354621887207,0.2792086601257324,0.19852715730667114,0.22318024933338165
",",0.3658004403114319,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.22048476338386536,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.3696635365486145,0.4464869201183319,0.13982629776000977,0.31091248989105225
savior,0.27877941727638245,0.3142027258872986,0.19702358543872833,0.03867505490779877,0.2956687808036804,0.28437647223472595,0.3455318510532379,0.2071218639612198,0.2860381305217743,0.18893572688102722,0.24723167717456818,0.17049013078212738
of,0.5011631846427917,1.0,0.1719115972518921,-0.03817026689648628,0.27317509055137634,0.4069072902202606,0.733189046382904,0.3177044689655304,0.4999135136604309,0.4185989499092102,0.22604098916053772,0.1826142966747284
the,0.6521818041801453,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.22713270783424377,0.48711544275283813,1.0,0.38631999492645264,0.5514441132545471,0.4739971458911896,0.23288919031620026,0.22068053483963013
gentiles,0.2545548975467682,0.2487657517194748,0.14068761467933655,-0.0070847515016794205,0.18830406665802002,0.21967558562755585,0.22794367372989655,0.17467531561851501,0.20766955614089966,0.21070091426372528,0.16934922337532043,0.17858034372329712
),0.2758678197860718,0.3680361211299896,0.18587662279605865,0.021107977256178856,0.15801535546779633,0.3267642855644226,0.3456730246543884,0.20574742555618286,0.31658053398132324,0.3639558255672455,0.13563601672649384,0.42300865054130554
",",0.3658004403114319,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.22048476338386536,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.3696635365486145,0.4464869201183319,0.13982629776000977,0.31091248989105225
based,0.3473800718784332,0.3033197224140167,0.11297188699245453,0.06600074470043182,0.06269341707229614,0.2870393395423889,0.29860720038414,0.287600040435791,0.2498788684606552,0.2761107087135315,0.1906023472547531,0.134929820895195
on,0.4245251417160034,0.3966929316520691,0.19090485572814941,0.0026888418942689896,0.15253622829914093,0.3909217119216919,0.5107308030128479,0.2898236811161041,0.3601475656032562,0.36199691891670227,0.17780132591724396,0.2714994251728058
veni,0.2283007651567459,0.1407247632741928,0.10615412890911102,0.046692267060279846,0.32140564918518066,0.1251469850540161,0.20243263244628906,0.12009754031896591,0.156364306807518,0.13385362923145294,0.19600409269332886,0.18587850034236908
redemptor,0.26613399386405945,0.2018272876739502,0.3114074766635895,0.0028219069354236126,0.1578245609998703,0.327515572309494,0.31851547956466675,0.15390628576278687,0.24422700703144073,0.24057351052761078,0.18862292170524597,0.16927209496498108
