,what,form,of,poetry,was,developed,in,the,yuan,?
in,0.30808621644973755,0.2815987169742584,0.5696388483047485,0.2293929159641266,0.45514053106307983,0.2498214840888977,1.0,0.6662389636039734,0.14850552380084991,0.20430970191955566
yuan,0.13503028452396393,0.11116999387741089,0.22696353495121002,0.17500092089176178,0.19482262432575226,0.06375307589769363,0.14850552380084991,0.2548272907733917,1.0,0.12871281802654266
poetry,0.17510755360126495,0.2523021101951599,0.2650093734264374,0.9999999403953552,0.22268988192081451,0.10196107625961304,0.2293929159641266,0.23306018114089966,0.17500092089176178,0.1394418478012085
",",0.3087472915649414,0.21805599331855774,0.4946078956127167,0.23124288022518158,0.45456063747406006,0.24565434455871582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
the,0.42745697498321533,0.29286009073257446,0.733189046382904,0.23306018114089966,0.48711544275283813,0.24490751326084137,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
main,0.2344268560409546,0.13786569237709045,0.3177044689655304,0.10380841046571732,0.21035033464431763,0.17113450169563293,0.28862449526786804,0.38631999492645264,0.08491774648427963,0.1665669083595276
development,0.19014155864715576,0.20122785866260529,0.28700894117355347,0.11060665547847748,0.2344081997871399,0.5277126431465149,0.2550492286682129,0.3362044394016266,0.11525894701480865,0.1211358830332756
was,0.22111038863658905,0.15690121054649353,0.4069072902202606,0.22268988192081451,1.0000001192092896,0.3253139555454254,0.45514053106307983,0.48711544275283813,0.19482262432575226,0.18412111699581146
the,0.42745697498321533,0.29286009073257446,0.733189046382904,0.23306018114089966,0.48711544275283813,0.24490751326084137,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
qu,0.20237021148204803,0.08255807310342789,0.11119643598794937,0.2262856513261795,0.13773632049560547,0.10945356637239456,0.0897696241736412,0.14201632142066956,0.2656984031200409,0.19910509884357452
",",0.3087472915649414,0.21805599331855774,0.4946078956127167,0.23124288022518158,0.45456063747406006,0.24565434455871582,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
which,0.5261979103088379,0.4024239182472229,0.5011631846427917,0.22226785123348236,0.2830964922904968,0.2803538739681244,0.4840516746044159,0.6521818041801453,0.2094680368900299,0.25814583897590637
was,0.22111038863658905,0.15690121054649353,0.4069072902202606,0.22268988192081451,1.0000001192092896,0.3253139555454254,0.45514053106307983,0.48711544275283813,0.19482262432575226,0.18412111699581146
used,0.27546408772468567,0.2868722975254059,0.3075267970561981,0.17847150564193726,0.23679393529891968,0.4083293080329895,0.3090210556983948,0.3718377649784088,0.15345971286296844,0.22430120408535004
among,0.21154822409152985,0.19979006052017212,0.3679063022136688,0.21771104633808136,0.23730893433094025,0.27819177508354187,0.3211768567562103,0.3507058024406433,0.14632277190685272,0.14343059062957764
other,0.341873437166214,0.2616437077522278,0.38583824038505554,0.18784062564373016,0.14651623368263245,0.22444479167461395,0.39989137649536133,0.44152235984802246,0.18199217319488525,0.24682199954986572
poetic,0.12294463813304901,0.32638150453567505,0.2346908301115036,0.711030125617981,0.18839320540428162,0.1664588451385498,0.17929357290267944,0.19125795364379883,0.20393401384353638,0.11378425359725952
forms,0.16334041953086853,0.6824371218681335,0.33835989236831665,0.27292773127555847,0.1644451767206192,0.29189974069595337,0.26377561688423157,0.2950737178325653,0.10809778422117233,0.1196754202246666
by,0.2455483376979828,0.20338405668735504,0.3646814823150635,0.1845121681690216,0.4752357602119446,0.2796236276626587,0.370934396982193,0.4408751428127289,0.19831176102161407,0.17966607213020325
most,0.3219912350177765,0.2929508090019226,0.4178851246833801,0.1827545166015625,0.29933857917785645,0.28766918182373047,0.41416558623313904,0.47635307908058167,0.1373920887708664,0.2107497900724411
of,0.33290785551071167,0.29600051045417786,1.0,0.2650093734264374,0.4069072902202606,0.21960023045539856,0.5696388483047485,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.42745697498321533,0.29286009073257446,0.733189046382904,0.23306018114089966,0.48711544275283813,0.24490751326084137,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
famous,0.1616666167974472,0.1296919733285904,0.3074295222759247,0.2572041451931,0.31606587767601013,0.24832908809185028,0.34673580527305603,0.28616565465927124,0.09327050298452377,0.10379006713628769
yuan,0.13503028452396393,0.11116999387741089,0.22696353495121002,0.17500092089176178,0.19482262432575226,0.06375307589769363,0.14850552380084991,0.2548272907733917,1.0,0.12871281802654266
poets,0.15958723425865173,0.1537058800458908,0.24180567264556885,0.7200504541397095,0.22364071011543274,0.14849300682544708,0.20802168548107147,0.24236875772476196,0.15579503774642944,0.14710669219493866
.,0.3567904531955719,0.28317511081695557,0.5352458953857422,0.192079097032547,0.40146201848983765,0.2569568455219269,0.5591574311256409,0.5934505462646484,0.17233723402023315,0.4130953550338745
