,what,proclamation,gave,huguenots,special,privileges,in,brandenburg,?
nearly,0.21304303407669067,0.1413382738828659,0.22490756213665009,0.2876224219799042,0.09830112010240555,0.17668715119361877,0.3414846360683441,0.19317078590393066,0.11670064926147461
"50,000",0.1566118448972702,0.1596914678812027,0.02196677215397358,0.061592116951942444,0.09914986789226532,0.17081832885742188,-0.04095596447587013,-0.011116630397737026,0.02804366871714592
huguenots,0.22128188610076904,0.3803243339061737,0.21380005776882172,1.0,0.10084866732358932,0.2974683344364166,0.25916293263435364,0.3343721032142639,0.16010338068008423
established,0.14869536459445953,0.2541325092315674,0.20547913014888763,0.22597001492977142,0.1105196550488472,0.26407334208488464,0.3118882477283478,0.14930255711078644,0.15917523205280304
themselves,0.34807315468788147,0.26563888788223267,0.16685353219509125,0.26021808385849,0.21307434141635895,0.27095869183540344,0.17596714198589325,0.15321646630764008,0.20170879364013672
in,0.30808621644973755,0.24378183484077454,0.24152803421020508,0.25916293263435364,0.2897285223007202,0.19223371148109436,1.0,0.21939347684383392,0.20430970191955566
germany,0.21690446138381958,0.1831086128950119,0.1381586641073227,0.3354713022708893,0.10795879364013672,0.23348887264728546,0.3642844259738922,0.5624812245368958,0.1388660967350006
",",0.3087472915649414,0.30962246656417847,0.2448001652956009,0.23394492268562317,0.23880577087402344,0.25555771589279175,0.5201468467712402,0.22027182579040527,0.31091248989105225
"20,000",0.1520158350467682,0.14689499139785767,0.14379820227622986,0.2799297273159027,0.14710170030593872,0.14591515064239502,0.2609833776950836,0.3413262367248535,0.10352851450443268
of,0.33290785551071167,0.31100159883499146,0.3650403320789337,0.27577435970306396,0.27998968958854675,0.2306697964668274,0.5696388483047485,0.2555319666862488,0.1826142966747284
whom,0.27163395285606384,0.23809431493282318,0.22292302548885345,0.32402387261390686,0.10216543823480606,0.21293878555297852,0.20012985169887543,0.16351987421512604,0.222135990858078
were,0.22298263013362885,0.2600337862968445,0.32821545004844666,0.2728680968284607,0.2070464789867401,0.19381500780582428,0.3815755248069763,0.208912655711174,0.17890112102031708
welcomed,0.2282586544752121,0.23293103277683258,0.2274491935968399,0.3644898235797882,0.06984233856201172,0.24408011138439178,0.20917369425296783,0.18270343542099,0.24655763804912567
in,0.30808621644973755,0.24378183484077454,0.24152803421020508,0.25916293263435364,0.2897285223007202,0.19223371148109436,1.0,0.21939347684383392,0.20430970191955566
brandenburg-prussia,0.2151629626750946,0.32218053936958313,0.22774499654769897,0.38751932978630066,0.1166645884513855,0.30595579743385315,0.26986604928970337,0.9405422210693359,0.14461907744407654
",",0.3087472915649414,0.30962246656417847,0.2448001652956009,0.23394492268562317,0.23880577087402344,0.25555771589279175,0.5201468467712402,0.22027182579040527,0.31091248989105225
where,0.4457937180995941,0.19905757904052734,0.17142310738563538,0.2706839442253113,0.2774714529514313,0.21743248403072357,0.5344807505607605,0.15680144727230072,0.24793872237205505
they,0.4431931674480438,0.2101738601922989,0.2048700451850891,0.2739465832710266,0.2758590281009674,0.21337755024433136,0.4330179989337921,0.1600653976202011,0.2753053903579712
