,what,do,a,and,b,represent,in,a,gaussian,integer,expression,?
an,0.2821882665157318,0.25865980982780457,0.44552403688430786,0.2838519215583801,0.19033968448638916,0.2102183848619461,0.2605783939361572,0.44552403688430786,0.24944762885570526,0.18641431629657745,0.19900327920913696,0.19793890416622162
example,0.3456268310546875,0.3745654821395874,0.40234753489494324,0.35305824875831604,0.1904488205909729,0.3591494560241699,0.30483278632164,0.40234753489494324,0.3388260006904602,0.33317652344703674,0.3946695923805237,0.30374911427497864
of,0.33290785551071167,0.26150479912757874,0.5052502155303955,0.5116966962814331,0.22055713832378387,0.40416419506073,0.5696388483047485,0.5052502155303955,0.20860953629016876,0.158325657248497,0.2863939702510834,0.1826142966747284
such,0.23989605903625488,0.337398886680603,0.2706976532936096,0.44540345668792725,0.12199423462152481,0.2864201068878174,0.2704046070575714,0.2706976532936096,0.19888247549533844,0.17334820330142975,0.2650579512119293,0.17851735651493073
a,0.3320399522781372,0.26237669587135315,1.0,0.3739250600337982,0.24025672674179077,0.2923792004585266,0.539380669593811,1.0,0.31786638498306274,0.22195649147033691,0.29299622774124146,0.23916715383529663
domain,0.23189613223075867,0.1420706808567047,0.1396392285823822,0.16707006096839905,0.17613960802555084,0.23376430571079254,0.14346948266029358,0.1396392285823822,0.2308049201965332,0.2936438322067261,0.264059454202652,0.25835999846458435
is,0.28837618231773376,0.30895981192588806,0.658733606338501,0.3859752118587494,0.14543820917606354,0.2919517159461975,0.5394441485404968,0.658733606338501,0.23736467957496643,0.2086324691772461,0.24893754720687866,0.22961433231830597
the,0.42745697498321533,0.30239659547805786,0.5829201340675354,0.5171257257461548,0.16891296207904816,0.3288072943687439,0.6662389636039734,0.5829201340675354,0.2510165274143219,0.14182277023792267,0.2569258511066437,0.22068053483963013
gaussian,0.23311908543109894,0.15043704211711884,0.31786638498306274,0.19182267785072327,0.15799517929553986,0.2763296067714691,0.18545114994049072,0.31786638498306274,0.9999998807907104,0.3796966075897217,0.3408474624156952,0.15562887489795685
integers,0.2691354751586914,0.30386126041412354,0.23136194050312042,0.20408035814762115,0.20893500745296478,0.32571303844451904,0.1772688925266266,0.23136194050312042,0.3909742534160614,0.9381136894226074,0.3310498595237732,0.2591196596622467
z,0.17339621484279633,0.18613919615745544,0.17118385434150696,0.16202889382839203,0.2342836856842041,0.17139141261577606,0.17187367379665375,0.17118385434150696,0.16869282722473145,0.34763410687446594,0.21390284597873688,0.26213106513023376
[,0.010752761736512184,-0.02353133261203766,0.03893941268324852,0.08702973276376724,-0.07133638858795166,-0.002756647765636444,0.12324675917625427,0.03893941268324852,-0.009905299171805382,-0.03147263452410698,0.02143525704741478,0.011015460826456547
i,0.4411132335662842,0.39633429050445557,0.3155658543109894,0.31928038597106934,0.2080570012331009,0.15029376745224,0.22907796502113342,0.3155658543109894,0.18955788016319275,0.2202761322259903,0.20576594769954681,0.4695145785808563
],-0.03775298595428467,0.019922751933336258,-0.049516137689352036,-0.03590818867087364,0.07129030674695969,0.020854568108916283,-0.1088862195611,-0.049516137689352036,0.026340052485466003,0.0010394171113148332,0.04840945079922676,-0.0022520492784678936
