,on,what,date,did,the,florida,legislature,decide,against,the,plan,to,renovate,the,miami,stadium,?
however,0.3940407931804657,0.4480680823326111,0.25538161396980286,0.5603718757629395,0.49814513325691223,0.2026469111442566,0.20767033100128174,0.42710039019584656,0.3361685574054718,0.49814513325691223,0.27430737018585205,0.5474119186401367,0.23913216590881348,0.49814513325691223,0.18282493948936462,0.1784590184688568,0.2152075469493866
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.3015086054801941,0.4933079481124878,0.21896368265151978,0.22554227709770203,0.24334396421909332,0.31168749928474426,0.4933079481124878,0.21265573799610138,0.44245919585227966,0.1622494012117386,0.4933079481124878,0.2643101215362549,0.2056228220462799,0.31091248989105225
on,0.9999999403953552,0.34226128458976746,0.21806180477142334,0.2670976221561432,0.5107308030128479,0.22258517146110535,0.19008482992649078,0.26825201511383057,0.3163113296031952,0.5107308030128479,0.21909739077091217,0.41031414270401,0.14399433135986328,0.5107308030128479,0.19175945222377777,0.16608425974845886,0.2714994251728058
may,0.3428080081939697,0.25739946961402893,0.27594587206840515,0.3038632869720459,0.2694292366504669,0.180832639336586,0.1453143209218979,0.2753564715385437,0.16662171483039856,0.2694292366504669,0.14175279438495636,0.391582727432251,0.1474681943655014,0.2694292366504669,0.1443287879228592,0.13503223657608032,0.2768254578113556
3,0.08950094133615494,0.04473085701465607,0.10526476800441742,0.0008236956200562418,0.06283142417669296,0.060976896435022354,0.04324697330594063,0.12668979167938232,0.0952441394329071,0.06283142417669296,0.0740366280078888,0.09797177463769913,-0.023132067173719406,0.06283142417669296,0.11498405039310455,-0.03969326987862587,0.005975271109491587
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.3015086054801941,0.4933079481124878,0.21896368265151978,0.22554227709770203,0.24334396421909332,0.31168749928474426,0.4933079481124878,0.21265573799610138,0.44245919585227966,0.1622494012117386,0.4933079481124878,0.2643101215362549,0.2056228220462799,0.31091248989105225
2013,-0.3310580551624298,-0.3886653184890747,-0.19075731933116913,-0.264662504196167,-0.38509321212768555,-0.14468829333782196,-0.1791016310453415,-0.27044743299484253,-0.17931823432445526,-0.38509321212768555,-0.18085694313049316,-0.4248543977737427,-0.1809140145778656,-0.38509321212768555,-0.12273281067609787,-0.13161684572696686,-0.2969330847263336
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.3015086054801941,0.4933079481124878,0.21896368265151978,0.22554227709770203,0.24334396421909332,0.31168749928474426,0.4933079481124878,0.21265573799610138,0.44245919585227966,0.1622494012117386,0.4933079481124878,0.2643101215362549,0.2056228220462799,0.31091248989105225
the,0.5107308030128479,0.42745697498321533,0.25333094596862793,0.34736719727516174,1.0,0.24091358482837677,0.2745116055011749,0.35331496596336365,0.3090755045413971,1.0,0.2852855324745178,0.535392165184021,0.20775170624256134,1.0,0.19180938601493835,0.21145665645599365,0.22068053483963013
florida,0.22258517146110535,0.14450381696224213,0.13096660375595093,0.16857092082500458,0.24091358482837677,1.0,0.1837390661239624,0.15173843502998352,0.10794622451066971,0.24091358482837677,0.10395286977291107,0.20760414004325867,0.16480794548988342,0.24091358482837677,0.6058956980705261,0.19814632833003998,0.13469882309436798
legislature,0.19008482992649078,0.23629915714263916,0.1822466105222702,0.20466014742851257,0.2745116055011749,0.1837390661239624,1.0,0.2633049786090851,0.1956988424062729,0.2745116055011749,0.2783871591091156,0.24813328683376312,0.21542660892009735,0.2745116055011749,0.14595022797584534,0.1817357987165451,0.17475001513957977
refused,0.24037134647369385,0.19773393869400024,0.08959203213453293,0.5581128597259521,0.2606237530708313,0.15465600788593292,0.27114272117614746,0.3323458135128021,0.24495822191238403,0.2606237530708313,0.26059338450431824,0.41818010807037354,0.23817263543605804,0.2606237530708313,0.13594147562980652,0.1822785586118698,0.14580921828746796
to,0.41031414270401,0.455847829580307,0.2530132532119751,0.4452643394470215,0.535392165184021,0.20760414004325867,0.24813328683376312,0.4438391625881195,0.310872346162796,0.535392165184021,0.36421895027160645,1.0,0.1833982765674591,0.535392165184021,0.19240398705005646,0.2075904905796051,0.29463258385658264
approve,0.25863519310951233,0.3271811008453369,0.20664623379707336,0.3239839971065521,0.31595274806022644,0.15379223227500916,0.48350024223327637,0.4360821843147278,0.24487008154392242,0.31595274806022644,0.3757956326007843,0.39083346724510193,0.2248777598142624,0.31595274806022644,0.13542571663856506,0.13045835494995117,0.30642789602279663
the,0.5107308030128479,0.42745697498321533,0.25333094596862793,0.34736719727516174,1.0,0.24091358482837677,0.2745116055011749,0.35331496596336365,0.3090755045413971,1.0,0.2852855324745178,0.535392165184021,0.20775170624256134,1.0,0.19180938601493835,0.21145665645599365,0.22068053483963013
funding,0.26127174496650696,0.2725590467453003,0.20533716678619385,0.24792753159999847,0.3006567358970642,0.2377415895462036,0.27269694209098816,0.3219975531101227,0.24627721309661865,0.3006567358970642,0.38447654247283936,0.3602164685726166,0.3425525724887848,0.3006567358970642,0.22171133756637573,0.24677437543869019,0.1842934638261795
