,how,old,most,a,person,be,to,apply,to,be,an,msp,?
specifically,0.35017937421798706,0.1419120579957962,0.2899037301540375,0.30994293093681335,0.3128505349159241,0.42233550548553467,0.4197046458721161,0.37764155864715576,0.4197046458721161,0.42233550548553467,0.24564048647880554,0.15806034207344055,0.2063003033399582
",",0.22659391164779663,0.26524028182029724,0.3636029064655304,0.427140474319458,0.2255365252494812,0.39254459738731384,0.44245919585227966,0.2953256368637085,0.44245919585227966,0.39254459738731384,0.3581022024154663,0.24401330947875977,0.31091248989105225
members,0.20418256521224976,0.15654852986335754,0.2748974561691284,0.1873859316110611,0.2192479372024536,0.20344331860542297,0.26617446541786194,0.16867446899414062,0.26617446541786194,0.20344331860542297,0.1668950915336609,0.3055085837841034,0.10212311148643494
must,0.3341856896877289,0.17140299081802368,0.22280992567539215,0.3016769587993622,0.3864508271217346,0.4737209677696228,0.43356871604919434,0.3683904707431793,0.43356871604919434,0.4737209677696228,0.2022276371717453,0.16505283117294312,0.23707495629787445
be,0.4158933162689209,0.1786048263311386,0.3381733000278473,0.39883795380592346,0.40550696849823,1.0,0.4972836375236511,0.35704609751701355,0.4972836375236511,1.0,0.33041056990623474,0.16379432380199432,0.3324260413646698
over,0.31446483731269836,0.24825118482112885,0.366985023021698,0.32199642062187195,0.2297246754169464,0.27136483788490295,0.38635820150375366,0.21751812100410461,0.38635820150375366,0.27136483788490295,0.22070914506912231,0.17035426199436188,0.25742942094802856
the,0.33890387415885925,0.31849798560142517,0.47635307908058167,0.5829201340675354,0.3487054407596588,0.4248143136501312,0.535392165184021,0.23137710988521576,0.535392165184021,0.4248143136501312,0.4207492768764496,0.23818017542362213,0.22068053483963013
age,0.17137715220451355,0.3780447840690613,0.11108490079641342,0.19297243654727936,0.1818782389163971,0.16612951457500458,0.23830388486385345,0.15515866875648499,0.23830388486385345,0.16612951457500458,0.17451614141464233,0.18352293968200684,0.16859300434589386
of,0.2480744868516922,0.30522194504737854,0.4178851246833801,0.5052502155303955,0.27674683928489685,0.33904364705085754,0.41548454761505127,0.23030845820903778,0.41548454761505127,0.33904364705085754,0.32280945777893066,0.2572315037250519,0.1826142966747284
18,-0.03501921147108078,0.044579893350601196,0.006013378035277128,-0.08585336059331894,-0.00022402044851332903,-0.11057574301958084,-0.17942632734775543,0.001957628410309553,-0.17942632734775543,-0.11057574301958084,-0.04713568091392517,-0.10862428694963455,-0.04919438064098358
and,0.33647966384887695,0.29022282361984253,0.4309377074241638,0.3739250600337982,0.27333492040634155,0.41766801476478577,0.48971283435821533,0.2759774923324585,0.48971283435821533,0.41766801476478577,0.2838519215583801,0.2252260148525238,0.20544172823429108
