,who,translated,and,printed,luther,'s,95,these,?
it,0.2868398427963257,0.18901431560516357,0.40957894921302795,0.21462954580783844,0.15365919470787048,0.06608816236257553,0.0003199290076736361,0.39955374598503113,0.25732165575027466
was,0.3318818509578705,0.17773973941802979,0.3740963041782379,0.218587726354599,0.19185513257980347,0.008974763564765453,-0.03229140490293503,0.19784674048423767,0.18412111699581146
not,0.369414746761322,0.12732775509357452,0.39099299907684326,0.21795503795146942,0.21636232733726501,0.002583299996331334,-0.021697385236620903,0.5041285753250122,0.41942933201789856
until,0.2530071437358856,0.15509280562400818,0.3372601866722107,0.19385065138339996,0.14392060041427612,0.02445155940949917,-0.08608249574899673,0.2339790165424347,0.20304496586322784
january,0.20979668200016022,0.15456154942512512,0.24588775634765625,0.11217064410448074,0.15876203775405884,-0.08409902453422546,-0.08758270740509033,0.11430094391107559,0.28608936071395874
1518,-0.13003350794315338,-0.010006463155150414,-0.03746287152171135,-0.06682728976011276,0.003967138938605785,0.05873032286763191,-0.02767784334719181,-0.12422987073659897,0.0713193267583847
that,0.45444270968437195,0.20674331486225128,0.4731321930885315,0.29670313000679016,0.21746599674224854,0.04397977516055107,-0.0318991020321846,0.5512621402740479,0.32716336846351624
friends,0.41548532247543335,0.20807451009750366,0.3389349579811096,0.1197594627737999,0.14277362823486328,0.06490477919578552,-0.055936723947525024,0.23842118680477142,0.12953145802021027
of,0.2827862501144409,0.19178152084350586,0.5116966962814331,0.21046876907348633,0.1719115972518921,-0.03817026689648628,0.03395380079746246,0.42684608697891235,0.1826142966747284
luther,0.21013082563877106,0.13659462332725525,0.20796556770801544,0.2106095850467682,1.0,-0.009990512393414974,-0.058819543570280075,0.23486362397670746,0.1732746809720993
translated,0.15981005132198334,1.0000001192092896,0.2711322009563446,0.40735551714897156,0.13659462332725525,0.009166738949716091,-0.09080187231302261,0.2337265908718109,0.16961964964866638
the,0.3733934462070465,0.23299849033355713,0.5171257257461548,0.25742077827453613,0.1759674996137619,-0.01540423184633255,-0.027035299688577652,0.49086877703666687,0.22068053483963013
95,-0.14822782576084137,-0.09080187231302261,0.02759530581533909,0.029314974322915077,-0.058819543570280075,0.012368425726890564,1.0000001192092896,-0.021956326439976692,-0.15227507054805756
theses,0.1924426406621933,0.2849165201187134,0.30367252230644226,0.29932647943496704,0.4810737073421478,0.054575804620981216,-0.0005049377214163542,0.44039544463157654,0.19188037514686584
from,0.27839982509613037,0.15694183111190796,0.3601827025413513,0.14868666231632233,0.10716932266950607,-0.01936490088701248,-0.04829154536128044,0.2928802967071533,0.19969791173934937
latin,0.16089873015880585,0.2980862855911255,0.23776422441005707,0.16677355766296387,0.2115422934293747,0.09563276916742325,-0.07808321714401245,0.16476890444755554,0.1303461492061615
into,0.16956904530525208,0.35858839750289917,0.36597734689712524,0.15181471407413483,0.12939998507499695,0.00961404386907816,0.039573684334754944,0.3533816933631897,0.15662476420402527
german,0.29263320565223694,0.2219274789094925,0.25850871205329895,0.15593154728412628,0.28169330954551697,0.07066776603460312,-0.0436064749956131,0.1609436273574829,0.13978645205497742
and,0.41279885172843933,0.2711322009563446,1.0,0.17317737638950348,0.20796556770801544,0.06895173341035843,0.02759530581533909,0.5314885973930359,0.20544172823429108
printed,0.16090945899486542,0.40735551714897156,0.17317737638950348,1.0,0.2106095850467682,0.05069957301020622,0.029314974322915077,0.26834696531295776,0.1726173758506775
and,0.41279885172843933,0.2711322009563446,1.0,0.17317737638950348,0.20796556770801544,0.06895173341035843,0.02759530581533909,0.5314885973930359,0.20544172823429108
widely,0.19227448105812073,0.25600799918174744,0.2914178967475891,0.30654972791671753,0.1059485599398613,-0.0028757310938090086,0.052392952144145966,0.30289384722709656,0.10354958474636078
copied,0.1833239048719406,0.3813135623931885,0.17751774191856384,0.3875525891780853,0.2015495002269745,-0.049229204654693604,-0.023854976519942284,0.29178881645202637,0.3320571780204773
them,0.5243523120880127,0.1600690484046936,0.48717668652534485,0.20724797248840332,0.1940135955810547,0.025712676346302032,-0.0014313401188701391,0.6229331493377686,0.35435691475868225
