,what,are,the,catechisms,of,martin,luther,written,in,?
using,0.27984681725502014,0.3385874032974243,0.28364112973213196,0.22997131943702698,0.24298200011253357,0.07077266275882721,0.13385069370269775,0.2808223366737366,0.2717311978340149,0.2804589569568634
the,0.42745697498321533,0.40399202704429626,1.0,0.2702268362045288,0.733189046382904,0.22029393911361694,0.1759674996137619,0.2582438886165619,0.6662389636039734,0.22068053483963013
german,0.1960553526878357,0.13420961797237396,0.256483793258667,0.2538333535194397,0.2122138887643814,0.22567348182201385,0.28169330954551697,0.153272345662117,0.21098364889621735,0.13978645205497742
vernacular,0.2667075991630554,0.3065308630466461,0.2864411771297455,0.3745507299900055,0.24465630948543549,0.11989913880825043,0.15256284177303314,0.32122138142585754,0.23585578799247742,0.2268863171339035
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.28056854009628296,0.4946078956127167,0.27058324217796326,0.23255878686904907,0.2737409770488739,0.5201468467712402,0.31091248989105225
they,0.4431931674480438,0.610666811466217,0.49925389885902405,0.2539448142051697,0.3426007330417633,0.18370118737220764,0.16441592574119568,0.2039184868335724,0.4330179989337921,0.2753053903579712
expressed,0.20227427780628204,0.19505958259105682,0.25207287073135376,0.2864987552165985,0.2687252461910248,0.15236835181713104,0.17653022706508636,0.3117639720439911,0.22785329818725586,0.17175263166427612
the,0.42745697498321533,0.40399202704429626,1.0,0.2702268362045288,0.733189046382904,0.22029393911361694,0.1759674996137619,0.2582438886165619,0.6662389636039734,0.22068053483963013
apostles,0.2925112545490265,0.26221510767936707,0.2913782000541687,0.43390971422195435,0.3253711760044098,0.2611374258995056,0.3154807388782501,0.3107413053512573,0.19718694686889648,0.1676054745912552
',0.3245812654495239,0.24618251621723175,0.474788099527359,0.17304760217666626,0.39136970043182373,0.21534205973148346,0.142246812582016,0.25474706292152405,0.4158826768398285,0.330942302942276
creed,0.24051550030708313,0.1689383089542389,0.26800665259361267,0.5152045488357544,0.26977285742759705,0.2227165699005127,0.32864516973495483,0.2733231484889984,0.14415115118026733,0.19858981668949127
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.24312061071395874,0.5696388483047485,0.22752496600151062,0.20523880422115326,0.20878943800926208,1.0,0.20430970191955566
simpler,0.4114208221435547,0.3914937674999237,0.2777368128299713,0.3095741868019104,0.1983828842639923,0.10631710290908813,0.16311213374137878,0.2707407772541046,0.24383510649204254,0.3855971693992615
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.28056854009628296,0.4946078956127167,0.27058324217796326,0.23255878686904907,0.2737409770488739,0.5201468467712402,0.31091248989105225
more,0.3484537899494171,0.4066504240036011,0.39758381247520447,0.23008129000663757,0.30478984117507935,0.08819695562124252,0.11574393510818481,0.18828630447387695,0.32563260197639465,0.27894994616508484
personal,0.3188508450984955,0.15342102944850922,0.19990217685699463,0.24598675966262817,0.26268208026885986,0.09730904549360275,0.19255410134792328,0.166063591837883,0.17110532522201538,0.206199511885643
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.28056854009628296,0.4946078956127167,0.27058324217796326,0.23255878686904907,0.2737409770488739,0.5201468467712402,0.31091248989105225
trinitarian,0.2873741090297699,0.17984507977962494,0.19851630926132202,0.48259276151657104,0.23422883450984955,0.22247585654258728,0.34491220116615295,0.15197160840034485,0.17648935317993164,0.26138928532600403
language,0.28220435976982117,0.26836323738098145,0.30198320746421814,0.30691462755203247,0.25272229313850403,0.1118573397397995,0.12746912240982056,0.336198091506958,0.23268210887908936,0.25349316000938416
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.27584537863731384,0.5352458953857422,0.25235527753829956,0.24907569587230682,0.25418123602867126,0.5591574311256409,0.4130953550338745
