,what,type,of,heating,element,is,often,used,in,toy,steam,engines,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.21192875504493713,0.16983667016029358,0.5394441485404968,0.3380797803401947,0.3090210556983948,1.0,0.22297579050064087,0.19852672517299652,0.18084456026554108,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2242104858160019,0.2041647583246231,0.5823672413825989,0.38004449009895325,0.3718377649784088,0.6662389636039734,0.22359062731266022,0.23105813562870026,0.2245008647441864,0.22068053483963013
case,0.30770957469940186,0.24568355083465576,0.24743439257144928,0.2587199807167053,0.2483009397983551,0.26648613810539246,0.294221431016922,0.26815250515937805,0.2190418541431427,0.12343883514404297,0.2003217488527298,0.20916229486465454,0.33232852816581726
of,0.33290785551071167,0.18112817406654358,1.0,0.19685454666614532,0.21102571487426758,0.4854315221309662,0.3351972997188568,0.3075267970561981,0.5696388483047485,0.1903126984834671,0.20239725708961487,0.17593856155872345,0.1826142966747284
model,0.2303347885608673,0.19148899614810944,0.18271391093730927,0.15360566973686218,0.1535404771566391,0.21612800657749176,0.14511333405971527,0.21889255940914154,0.2267826348543167,0.17157885432243347,0.1983744353055954,0.2631645202636719,0.14843042194843292
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.3402726948261261,0.2506079077720642,0.41870999336242676,0.5791526436805725,0.4951852560043335,0.3586423695087433,0.18226483464241028,0.2369248867034912,0.16979892551898956,0.32389625906944275
toy,0.1987791359424591,0.13160409033298492,0.1903126984834671,0.1423548460006714,0.16526678204536438,0.21721386909484863,0.19878877699375153,0.16130365431308746,0.22297579050064087,0.9999999403953552,0.20025338232517242,0.1849934607744217,0.15627352893352509
steam,0.15672586858272552,0.2094206064939499,0.20239725708961487,0.45787307620048523,0.10933641344308853,0.13029660284519196,0.21491561830043793,0.2604328691959381,0.19852672517299652,0.20025338232517242,1.0000001192092896,0.4903687536716461,0.113324373960495
engines,0.1634974628686905,0.14994610846042633,0.17593856155872345,0.3529406189918518,0.1369934231042862,0.1648903638124466,0.17119567096233368,0.2519303560256958,0.18084456026554108,0.1849934607744217,0.4903687536716461,1.0000001192092896,0.18940703570842743
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2541029453277588,0.20181523263454437,0.4691906273365021,0.24139221012592316,0.3120402991771698,0.5201468467712402,0.1999659538269043,0.2264556586742401,0.20245449244976044,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2242104858160019,0.2041647583246231,0.5823672413825989,0.38004449009895325,0.3718377649784088,0.6662389636039734,0.22359062731266022,0.23105813562870026,0.2245008647441864,0.22068053483963013
heat,0.1933984011411667,0.202464759349823,0.19590096175670624,0.6636976003646851,0.23023268580436707,0.20543494820594788,0.23968406021595,0.2201911062002182,0.20852652192115784,0.11515186727046967,0.45067235827445984,0.35652613639831543,0.16343188285827637
source,0.2553733289241791,0.19904370605945587,0.18598204851150513,0.2865685522556305,0.23502449691295624,0.2948454022407532,0.1603378802537918,0.25368016958236694,0.24019475281238556,0.08800835907459259,0.190715953707695,0.2280399650335312,0.2462312877178192
can,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.3263612389564514,0.28067541122436523,0.44256699085235596,0.5252479314804077,0.48128408193588257,0.26527702808380127,0.21509507298469543,0.20162075757980347,0.22342513501644135,0.3226337134838104
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.31846320629119873,0.25885871052742004,0.4819129705429077,0.463177889585495,0.3731876611709595,0.3481820821762085,0.19111929833889008,0.22586002945899963,0.21797771751880646,0.3324260413646698
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.20068368315696716,0.27289018034935,0.4654068350791931,0.18115736544132233,0.25728896260261536,0.2605783939361572,0.1813029944896698,0.13589277863502502,0.1675238460302353,0.19793890416622162
electric,0.15451551973819733,0.19005827605724335,0.17329032719135284,0.39078769087791443,0.2400159388780594,0.16143305599689484,0.2241884022951126,0.2558768689632416,0.19779469072818756,0.23353926837444305,0.3633075952529907,0.27716219425201416,0.15674720704555511
heating,0.21489092707633972,0.27669060230255127,0.19685454666614532,1.0000001192092896,0.3271044194698334,0.25713056325912476,0.31639668345451355,0.37865811586380005,0.21192875504493713,0.1423548460006714,0.45787307620048523,0.3529406189918518,0.1888689249753952
element,0.24694041907787323,0.3095826804637909,0.21102571487426758,0.3271044194698334,1.0,0.3385811448097229,0.2344731241464615,0.3033880889415741,0.16983667016029358,0.16526678204536438,0.10933641344308853,0.1369934231042862,0.18393386900424957
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2768857181072235,0.24230757355690002,0.4569662809371948,0.30710849165916443,0.33111312985420227,0.5591574311256409,0.21114154160022736,0.22855372726917267,0.24894580245018005,0.4130953550338745
