,what,molecules,are,parts,of,the,body,of,an,organism,in,immunology,?
in,0.30808621644973755,0.2197362184524536,0.3841303884983063,0.3282690644264221,0.5696388483047485,0.6662389636039734,0.2549867033958435,0.5696388483047485,0.2605783939361572,0.20910242199897766,1.0,0.18867269158363342,0.20430970191955566
immunology,0.23405390977859497,0.42243635654449463,0.22302791476249695,0.12767542898654938,0.24644988775253296,0.20720413327217102,0.2798084318637848,0.24644988775253296,0.188884437084198,0.4834154546260834,0.18867269158363342,1.0000001192092896,0.17558634281158447
",",0.3087472915649414,0.18639802932739258,0.4062570035457611,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.22437527775764465,0.4946078956127167,0.3581022024154663,0.15651610493659973,0.5201468467712402,0.229853093624115,0.31091248989105225
self,0.24097146093845367,0.1840522289276123,0.1647612452507019,0.12110455334186554,0.16502705216407776,0.15625660121440887,0.18660762906074524,0.16502705216407776,0.17627933621406555,0.20628055930137634,0.19085843861103058,0.2007077932357788,0.13157562911510468
molecules,0.2143162339925766,0.9999999403953552,0.3300325572490692,0.20350289344787598,0.24428431689739227,0.2374771386384964,0.3708445727825165,0.24428431689739227,0.16183172166347504,0.5103989839553833,0.2197362184524536,0.42243635654449463,0.17409995198249817
are,0.29724663496017456,0.3300325572490692,1.0,0.3642873466014862,0.39081433415412903,0.40399202704429626,0.2451179027557373,0.39081433415412903,0.1556541919708252,0.2598592936992645,0.3841303884983063,0.22302791476249695,0.24591213464736938
those,0.44466671347618103,0.291934072971344,0.6012985706329346,0.29608994722366333,0.37935635447502136,0.42861196398735046,0.2797481119632721,0.37935635447502136,0.19012226164340973,0.31778576970100403,0.3419301211833954,0.26218971610069275,0.3328189253807068
components,0.20314843952655792,0.49516135454177856,0.3832094073295593,0.40529683232307434,0.28973057866096497,0.30344057083129883,0.24653849005699158,0.28973057866096497,0.20566610991954803,0.43646034598350525,0.1959146112203598,0.34770965576171875,0.12744711339473724
of,0.33290785551071167,0.24428431689739227,0.39081433415412903,0.3379773199558258,1.0,0.733189046382904,0.25063133239746094,1.0,0.32280945777893066,0.23540134727954865,0.5696388483047485,0.24644988775253296,0.1826142966747284
an,0.2821882665157318,0.16183172166347504,0.1556541919708252,0.2022421658039093,0.32280945777893066,0.4207492768764496,0.22158053517341614,0.32280945777893066,1.0,0.2073080688714981,0.2605783939361572,0.188884437084198,0.19793890416622162
organism,0.2626836597919464,0.5103989839553833,0.2598592936992645,0.1904294639825821,0.23540134727954865,0.23149779438972473,0.3914591073989868,0.23540134727954865,0.2073080688714981,0.9999999403953552,0.20910242199897766,0.4834154546260834,0.21088039875030518
's,0.02692362666130066,-0.05182359367609024,-0.008927806280553341,0.060162968933582306,-0.03817026689648628,-0.01540423184633255,0.003652067156508565,-0.03817026689648628,0.025255560874938965,0.03690829500555992,-0.037580832839012146,-0.07617378979921341,-0.023395681753754616
