,what,eventually,happened,to,the,block,i,program,after,the,incident,?
nasa,0.21178755164146423,0.18493780493736267,0.12121786177158356,0.21193136274814606,0.19786997139453888,0.1294812560081482,0.14428378641605377,0.3442091643810272,0.1796136051416397,0.19786997139453888,0.09355037659406662,0.1809994876384735
discontinued,0.17781729996204376,0.3174004852771759,0.2299451380968094,0.2673664093017578,0.23268692195415497,0.2031189203262329,0.2096753716468811,0.22187142074108124,0.31759148836135864,0.23268692195415497,0.20088234543800354,0.16722558438777924
the,0.42745697498321533,0.42022404074668884,0.3589572608470917,0.535392165184021,1.0,0.20056472718715668,0.26687872409820557,0.22986935079097748,0.4565047025680542,1.0,0.248931884765625,0.22068053483963013
manned,0.16094419360160828,0.17193305492401123,0.24916784465312958,0.21649380028247833,0.2392944097518921,0.18708205223083496,0.12618331611156464,0.34068769216537476,0.2195538431406021,0.2392944097518921,0.23116819560527802,0.17514055967330933
block,0.33229514956474304,0.12211320549249649,0.17242562770843506,0.30297139286994934,0.20056472718715668,1.0,0.329783171415329,0.2596672773361206,0.16278640925884247,0.20056472718715668,0.21798008680343628,0.27211859822273254
i,0.4411132335662842,0.22402380406856537,0.30371877551078796,0.3140375316143036,0.26687872409820557,0.329783171415329,0.9999999403953552,0.20785826444625854,0.2630091905593872,0.26687872409820557,0.2610861659049988,0.4695145785808563
program,0.25047802925109863,0.1540440171957016,0.17999565601348877,0.23681028187274933,0.22986935079097748,0.2596672773361206,0.20785826444625854,1.0,0.20372994244098663,0.22986935079097748,0.13963864743709564,0.1440187245607376
",",0.3087472915649414,0.262137234210968,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.24290941655635834,0.3467482030391693,0.17760658264160156,0.38860568404197693,0.4933079481124878,0.2505533993244171,0.31091248989105225
using,0.27984681725502014,0.21812067925930023,0.14043129980564117,0.3678804934024811,0.28364112973213196,0.2824145257472992,0.20227690041065216,0.23785464465618134,0.19508789479732513,0.28364112973213196,0.15784047544002533,0.2804589569568634
the,0.42745697498321533,0.42022404074668884,0.3589572608470917,0.535392165184021,1.0,0.20056472718715668,0.26687872409820557,0.22986935079097748,0.4565047025680542,1.0,0.248931884765625,0.22068053483963013
block,0.33229514956474304,0.12211320549249649,0.17242562770843506,0.30297139286994934,0.20056472718715668,1.0,0.329783171415329,0.2596672773361206,0.16278640925884247,0.20056472718715668,0.21798008680343628,0.27211859822273254
i,0.4411132335662842,0.22402380406856537,0.30371877551078796,0.3140375316143036,0.26687872409820557,0.329783171415329,0.9999999403953552,0.20785826444625854,0.2630091905593872,0.26687872409820557,0.2610861659049988,0.4695145785808563
spacecraft,0.19567668437957764,0.18935024738311768,0.20116978883743286,0.25703316926956177,0.21476294100284576,0.12923294305801392,0.15392141044139862,0.3205249309539795,0.23817554116249084,0.21476294100284576,0.2089342474937439,0.17708687484264374
only,0.41415658593177795,0.382291316986084,0.301624596118927,0.5096819996833801,0.5497692227363586,0.25287559628486633,0.38789060711860657,0.18042075634002686,0.3814272880554199,0.5497692227363586,0.23352737724781036,0.2767370045185089
for,0.3017193675041199,0.3156387209892273,0.23292502760887146,0.4451248347759247,0.4739971458911896,0.2480357587337494,0.257647842168808,0.29441335797309875,0.3650246858596802,0.4739971458911896,0.19116076827049255,0.264628142118454
unmanned,0.15572723746299744,0.1746969372034073,0.20396728813648224,0.22133085131645203,0.19982010126113892,0.2047221064567566,0.12269652634859085,0.3646467626094818,0.1780320107936859,0.19982010126113892,0.21378429234027863,0.20850330591201782
saturn,0.12153393030166626,0.1428263783454895,0.05481317266821861,0.18787172436714172,0.24189656972885132,0.05837775766849518,0.24241867661476135,0.21621471643447876,0.24207474291324615,0.24189656972885132,0.08270146697759628,0.1619711071252823
v,0.16628342866897583,0.10642191022634506,0.11726309359073639,0.2109750658273697,0.18580520153045654,0.08981098979711533,0.2959514260292053,0.14083793759346008,0.08713581413030624,0.18580520153045654,0.06103641912341118,0.28677162528038025
flights,0.17598165571689606,0.12451940774917603,0.22628065943717957,0.2967532277107239,0.25325238704681396,0.1086428090929985,0.1872948259115219,0.23040804266929626,0.1889955997467041,0.25325238704681396,0.2715942859649658,0.1590299755334854
.,0.3567904531955719,0.3220598101615906,0.29012542963027954,0.4645031690597534,0.5934505462646484,0.24829226732254028,0.33645379543304443,0.18964338302612305,0.35870397090911865,0.5934505462646484,0.20123827457427979,0.4130953550338745
