,what,was,the,percentage,of,germans,attending,private,high,schools,in,2008,?
percent,0.2506202459335327,0.15081442892551422,0.277066707611084,0.7300876379013062,0.3004763424396515,0.17954573035240173,0.22568129003047943,0.2076859474182129,0.1952424943447113,0.21273545920848846,0.24886950850486755,-0.054019637405872345,0.14671556651592255
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.2156897634267807,0.3117976486682892,0.18706899881362915,0.2803038954734802,0.265506386756897,0.5696388483047485,-0.10678710788488388,0.1826142966747284
students,0.2380729615688324,0.19959072768688202,0.25268980860710144,0.22155962884426117,0.25513339042663574,0.21502366662025452,0.5490877628326416,0.35454505681991577,0.308525413274765,0.6169943809509277,0.2676171064376831,-0.04699748754501343,0.18017297983169556
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18874377012252808,0.5696388483047485,0.27087339758872986,0.3283235728740692,0.21135757863521576,0.2652597725391388,0.2632134258747101,1.0,-0.0422978475689888,0.20430970191955566
private,0.16778090596199036,0.18122155964374542,0.18291357159614563,0.13822926580905914,0.18706899881362915,0.12451677769422531,0.33776867389678955,1.0,0.2064109742641449,0.4158569872379303,0.21135757863521576,0.005949640180915594,0.14389030635356903
high,0.20466077327728271,0.19978567957878113,0.28034812211990356,0.19937704503536224,0.2803038954734802,0.16378583014011383,0.3705192804336548,0.2064109742641449,1.0,0.4018458425998688,0.2652597725391388,-0.11090363562107086,0.11137914657592773
schools,0.1820785105228424,0.19736053049564362,0.22905772924423218,0.1464802473783493,0.265506386756897,0.21337173879146576,0.47309091687202454,0.4158569872379303,0.4018458425998688,1.0,0.2632134258747101,-0.031531136482954025,0.18349280953407288
reached,0.20202487707138062,0.3110939562320709,0.29860952496528625,0.16297103464603424,0.18604008853435516,0.23145748674869537,0.17002658545970917,0.10048779845237732,0.18973958492279053,0.11863945424556732,0.24389809370040894,0.03247250244021416,0.1518019139766693
11.1,0.0027221315540373325,0.0832456722855568,-0.02236340381205082,-0.07328292727470398,-0.02207195945084095,0.06953360140323639,-0.004205220844596624,0.07014276087284088,-0.0027154809795320034,0.023604819551110268,0.03478871285915375,-0.0590117909014225,-0.044128142297267914
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.17476068437099457,0.15707571804523468,0.14337216317653656,0.1862422674894333,0.177998885512352,0.19465309381484985,-0.006196762900799513,0.21441808342933655
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.28866735100746155,0.5352458953857422,0.22702351212501526,0.23780429363250732,0.2534593939781189,0.24301011860370636,0.2752705216407776,0.5591574311256409,-0.01312112994492054,0.4130953550338745
