,what,was,abc,'s,viewership,share,in,1993,?
by,0.2455483376979828,0.4752357602119446,0.17600902915000916,-0.010884488001465797,0.2345968633890152,0.1474302113056183,0.370934396982193,-0.03256407752633095,0.17966607213020325
that,0.6297725439071655,0.33670201897621155,0.17440107464790344,0.04397977516055107,0.3408862352371216,0.3158736228942871,0.435920387506485,0.04311354458332062,0.32716336846351624
year,0.15184831619262695,0.3209837079048157,0.2373921275138855,-0.04087831452488899,0.24396918714046478,0.1539618968963623,0.3359307050704956,-0.01461737509816885,0.18315006792545319
",",0.3087472915649414,0.45456063747406006,0.2097204476594925,-0.0016132977325469255,0.2360859364271164,0.29725754261016846,0.5201468467712402,0.07087638974189758,0.31091248989105225
abc,0.1317344456911087,0.21565799415111542,1.0000001192092896,0.06670809537172318,0.31620144844055176,0.12420445680618286,0.1697147786617279,-0.04699879512190819,0.19065172970294952
had,0.23849567770957947,0.5927209258079529,0.18355661630630493,-0.004401352722197771,0.2675802409648895,0.25484368205070496,0.385026752948761,0.07463672012090683,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.21331243216991425,0.04866964742541313,0.2613753080368042,0.18168987333774567,0.539380669593811,-0.03540339320898056,0.23916715383529663
total,0.19850242137908936,0.14069223403930664,0.15866148471832275,0.1334245651960373,0.3310811519622803,0.20866328477859497,0.27667245268821716,-0.11106118559837341,0.14396025240421295
viewership,0.30348849296569824,0.2425418645143509,0.31620144844055176,0.08738291263580322,1.0,0.2925106883049011,0.23857662081718445,0.06766645610332489,0.23784568905830383
share,0.2764742076396942,0.11521016061306,0.12420445680618286,0.10465416312217712,0.2925106883049011,1.0,0.21491074562072754,0.005241917446255684,0.1754547506570816
of,0.33290785551071167,0.4069072902202606,0.14607268571853638,-0.03817026689648628,0.20606210827827454,0.2850857973098755,0.5696388483047485,-0.0491785854101181,0.1826142966747284
23.63,-0.04450171813368797,0.13697195053100586,0.07575543969869614,0.001416826038621366,-0.049496885389089584,-0.03550035506486893,0.2149960696697235,-0.15581321716308594,-0.12012367695569992
%,0.20738190412521362,0.11743833869695663,0.061222776770591736,0.031266406178474426,0.2878183126449585,0.23419179022312164,0.19465309381484985,-0.12562379240989685,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.14607268571853638,-0.03817026689648628,0.20606210827827454,0.2850857973098755,0.5696388483047485,-0.0491785854101181,0.1826142966747284
american,0.1909721940755844,0.31632548570632935,0.24405160546302795,0.01565130427479744,0.17199838161468506,0.1282551884651184,0.22871561348438263,0.0012521741446107626,0.18877598643302917
households,0.1889873743057251,0.17632555961608887,0.12057404220104218,0.06514795124530792,0.34394681453704834,0.3048269748687744,0.24879489839076996,-0.05678628385066986,0.17362827062606812
",",0.3087472915649414,0.45456063747406006,0.2097204476594925,-0.0016132977325469255,0.2360859364271164,0.29725754261016846,0.5201468467712402,0.07087638974189758,0.31091248989105225
just,0.5854880809783936,0.29934245347976685,0.15737098455429077,0.1000472754240036,0.3178795576095581,0.2465299516916275,0.3910168707370758,0.06363563984632492,0.4144178032875061
below,0.23541416227817535,0.11549114435911179,0.09623535722494125,-0.03860562667250633,0.2208709716796875,0.14479824900627136,0.29600706696510315,-0.11572664231061935,0.17692236602306366
the,0.42745697498321533,0.48711544275283813,0.2068762183189392,-0.01540423184633255,0.30921506881713867,0.249948650598526,0.6662389636039734,-0.03424737602472305,0.22068053483963013
limit,0.2810012400150299,0.1376325935125351,0.16013890504837036,-0.046115998178720474,0.20687149465084076,0.1503259688615799,0.18465836346149445,-0.09876739978790283,0.20747125148773193
of,0.33290785551071167,0.4069072902202606,0.14607268571853638,-0.03817026689648628,0.20606210827827454,0.2850857973098755,0.5696388483047485,-0.0491785854101181,0.1826142966747284
25,0.12916474044322968,0.15615400671958923,0.05463181436061859,0.06924083083868027,0.20326071977615356,0.10875719785690308,0.14793018996715546,0.08190308511257172,0.09614268690347672
%,0.20738190412521362,0.11743833869695663,0.061222776770591736,0.031266406178474426,0.2878183126449585,0.23419179022312164,0.19465309381484985,-0.12562379240989685,0.21441808342933655
imposed,0.26510581374168396,0.21521566808223724,0.12980790436267853,0.019862473011016846,0.2098795622587204,0.10746010392904282,0.14908424019813538,0.1634712815284729,0.1671440154314041
by,0.2455483376979828,0.4752357602119446,0.17600902915000916,-0.010884488001465797,0.2345968633890152,0.1474302113056183,0.370934396982193,-0.03256407752633095,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.2068762183189392,-0.01540423184633255,0.30921506881713867,0.249948650598526,0.6662389636039734,-0.03424737602472305,0.22068053483963013
fcc,0.2598995566368103,0.15802820026874542,0.27474352717399597,0.05599381774663925,0.34854695200920105,0.26327288150787354,0.134840726852417,0.06516069173812866,0.1708466112613678
.,0.3567904531955719,0.40146201848983765,0.2567209303379059,-0.003708066651597619,0.3083479702472687,0.24849677085876465,0.5591574311256409,0.023394836112856865,0.4130953550338745
