,according,to,a,1955,review,",",what,were,savings,by,the,wealthy,thought,to,offset,?
according,1.0,0.28520727157592773,0.239227756857872,-0.06469672173261642,0.23978863656520844,0.3107093870639801,0.2776208221912384,0.25184938311576843,0.21401211619377136,0.2975466847419739,0.3202974498271942,0.20193420350551605,0.28604191541671753,0.28520727157592773,0.06191181391477585,0.21173474192619324
to,0.28520727157592773,1.0,0.45503583550453186,-0.031606126576662064,0.22984053194522858,0.44245919585227966,0.455847829580307,0.31913647055625916,0.24233758449554443,0.33534231781959534,0.535392165184021,0.2669115960597992,0.3858291208744049,1.0,0.21865805983543396,0.29463258385658264
a,0.239227756857872,0.45503583550453186,1.0,-0.05906926840543747,0.2132924199104309,0.427140474319458,0.3320399522781372,0.17203083634376526,0.21607469022274017,0.32094135880470276,0.5829201340675354,0.22086164355278015,0.3342154324054718,0.45503583550453186,0.1639697551727295,0.23916715383529663
1955,-0.06469672173261642,-0.031606126576662064,-0.05906926840543747,1.0,-0.18285146355628967,-0.13405947387218475,-0.15976770222187042,-0.008803801611065865,-0.17478588223457336,-0.056531380861997604,-0.003337662434205413,0.10268449038267136,0.0013218855019658804,-0.031606126576662064,-0.1866454929113388,-0.2837269604206085
review,0.23978863656520844,0.22984053194522858,0.2132924199104309,-0.18285146355628967,1.0000001192092896,0.32966679334640503,0.27832862734794617,0.15001805126667023,0.22479188442230225,0.14880061149597168,0.245576411485672,0.09464330226182938,0.24721196293830872,0.22984053194522858,0.1688298135995865,0.27187594771385193
",",0.3107093870639801,0.44245919585227966,0.427140474319458,-0.13405947387218475,0.32966679334640503,1.0000001192092896,0.3087472915649414,0.36755475401878357,0.20548325777053833,0.3680937886238098,0.4933079481124878,0.22837986052036285,0.2965437173843384,0.44245919585227966,0.12507453560829163,0.31091248989105225
savings,0.21401211619377136,0.24233758449554443,0.21607469022274017,-0.17478588223457336,0.22479188442230225,0.20548325777053833,0.16976867616176605,0.1354287713766098,1.0,0.17589297890663147,0.2851330041885376,0.23546727001667023,0.1550784707069397,0.24233758449554443,0.33653557300567627,0.1057102158665657
by,0.2975466847419739,0.33534231781959534,0.32094135880470276,-0.056531380861997604,0.14880061149597168,0.3680937886238098,0.2455483376979828,0.4406847059726715,0.17589297890663147,1.0000001192092896,0.4408751428127289,0.19136741757392883,0.30952954292297363,0.33534231781959534,0.1532001495361328,0.17966607213020325
the,0.3202974498271942,0.535392165184021,0.5829201340675354,-0.003337662434205413,0.245576411485672,0.4933079481124878,0.42745697498321533,0.3906462490558624,0.2851330041885376,0.4408751428127289,1.0,0.2220325618982315,0.3509289622306824,0.535392165184021,0.15922684967517853,0.22068053483963013
wealthy,0.20193420350551605,0.2669115960597992,0.22086164355278015,0.10268449038267136,0.09464330226182938,0.22837986052036285,0.1760208159685135,0.24331419169902802,0.23546727001667023,0.19136741757392883,0.2220325618982315,1.0,0.2797389328479767,0.2669115960597992,0.10627882182598114,0.07667969912290573
",",0.3107093870639801,0.44245919585227966,0.427140474319458,-0.13405947387218475,0.32966679334640503,1.0000001192092896,0.3087472915649414,0.36755475401878357,0.20548325777053833,0.3680937886238098,0.4933079481124878,0.22837986052036285,0.2965437173843384,0.44245919585227966,0.12507453560829163,0.31091248989105225
if,0.15097758173942566,0.4559597074985504,0.41272827982902527,-0.24086004495620728,0.22909890115261078,0.257730096578598,0.5277165174484253,0.1688997447490692,0.23221033811569214,0.2429230511188507,0.33724796772003174,0.10538463294506073,0.3098507225513458,0.4559597074985504,0.2762964069843292,0.4441644251346588
these,0.20603910088539124,0.46852558851242065,0.24380075931549072,-0.16712269186973572,0.20152051746845245,0.37613096833229065,0.4164220690727234,0.587685227394104,0.22702963650226593,0.33332425355911255,0.49086877703666687,0.17846666276454926,0.3912646770477295,0.46852558851242065,0.1969708502292633,0.2571668326854706
