,what,does,'pax,mongolica,',mean,?
pax,0.17823320627212524,0.13682980835437775,0.7756773829460144,0.2439141422510147,0.23053252696990967,0.18598750233650208,0.15347926318645477
mongolica,0.16176137328147888,0.14950253069400787,0.17112606763839722,1.0,0.2674168050289154,0.17225328087806702,0.1561393439769745
",",0.3087472915649414,0.28617382049560547,0.22693705558776855,0.2608741223812103,0.5178600549697876,0.27540135383605957,0.31091248989105225
mongol,0.15870186686515808,0.13189373910427094,0.1336633563041687,0.7846284508705139,0.1913980096578598,0.16217592358589172,0.12849251925945282
peace,0.18390877544879913,0.1564483791589737,0.1691754162311554,0.1548319011926651,0.19143477082252502,0.14921019971370697,0.1404135823249817
",",0.3087472915649414,0.28617382049560547,0.22693705558776855,0.2608741223812103,0.5178600549697876,0.27540135383605957,0.31091248989105225
enabled,0.22509589791297913,0.24985742568969727,0.28013262152671814,0.11580155789852142,0.15326613187789917,0.1394333392381668,0.25340956449508667
the,0.42745697498321533,0.35928019881248474,0.24388296902179718,0.2644845247268677,0.474788099527359,0.25977957248687744,0.22068053483963013
spread,0.22287604212760925,0.20139610767364502,0.21249355375766754,0.189137801527977,0.08602043986320496,0.23904509842395782,0.16482828557491302
of,0.33290785551071167,0.3119818866252899,0.21740153431892395,0.24007877707481384,0.39136970043182373,0.27551960945129395,0.1826142966747284
technologies,0.1962265968322754,0.1627204418182373,0.28953826427459717,0.14456355571746826,0.12575049698352814,0.16803839802742004,0.1638062298297882
",",0.3087472915649414,0.28617382049560547,0.22693705558776855,0.2608741223812103,0.5178600549697876,0.27540135383605957,0.31091248989105225
commodities,0.1862771064043045,0.2669367492198944,0.23977789282798767,0.15330423414707184,0.07007857412099838,0.1856502741575241,0.18083880841732025
",",0.3087472915649414,0.28617382049560547,0.22693705558776855,0.2608741223812103,0.5178600549697876,0.27540135383605957,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.19453726708889008,0.187190443277359,0.3053182065486908,0.22596950829029083,0.20544172823429108
culture,0.22475376725196838,0.0962180644273758,0.07713822275400162,0.24240902066230774,0.1294279247522354,0.189463809132576,0.13093146681785583
between,0.2462156116962433,0.16966454684734344,0.23519860208034515,0.1368342489004135,0.19309189915657043,0.22782102227210999,0.12887074053287506
china,0.13832437992095947,0.13398337364196777,0.10459625720977783,0.5190899968147278,0.22055388987064362,0.13248395919799805,0.18007943034172058
and,0.31309178471565247,0.3461615741252899,0.19453726708889008,0.187190443277359,0.3053182065486908,0.22596950829029083,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,0.24388296902179718,0.2644845247268677,0.474788099527359,0.25977957248687744,0.22068053483963013
west,0.1946573108434677,0.14011532068252563,0.15205706655979156,0.15392692387104034,0.1615610271692276,0.08965092897415161,0.12088293582201004
.,0.3567904531955719,0.3022993505001068,0.26694509387016296,0.19557400047779083,0.4806240200996399,0.21881133317947388,0.4130953550338745
