,what,was,the,final,score,of,super,bowl,50,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.15523682534694672,0.19336849451065063,0.22180068492889404,0.13530968129634857,0.16529959440231323,-0.01108962669968605,0.18877598643302917
football,0.21136903762817383,0.23601193726062775,0.18794101476669312,0.19703981280326843,0.1928449422121048,0.2184123694896698,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.14957410097122192
conference,0.15329721570014954,0.1537582278251648,0.25393402576446533,0.22705651819705963,0.11116882413625717,0.19579021632671356,0.20312196016311646,0.283403605222702,0.0753558799624443,0.11172781884670258
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2353750467300415,0.16359393298625946,0.35032153129577637,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.40561532974243164
afc,0.1550256609916687,0.1794671267271042,0.25863510370254517,0.29253631830215454,0.26805704832077026,0.20684249699115753,0.37206512689590454,0.41199249029159546,0.07724300771951675,0.2026895433664322
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.23999759554862976,0.1630166471004486,0.3680361211299896,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.42300865054130554
champion,0.11434172838926315,0.24402377009391785,0.23575055599212646,0.29954957962036133,0.21362051367759705,0.1902693659067154,0.3463263213634491,0.34389644861221313,0.0722193643450737,0.14080514013767242
denver,0.1275133192539215,0.2766761779785156,0.2052404284477234,0.11054975539445877,0.1512077897787094,0.14595118165016174,0.24589714407920837,0.2861449718475342,0.03614028915762901,0.1520889848470688
broncos,0.1787765771150589,0.23574475944042206,0.25985947251319885,0.2183726727962494,0.20637564361095428,0.19310332834720612,0.36141330003738403,0.4351775348186493,0.055216576904058456,0.18377114832401276
defeated,0.13652801513671875,0.30834874510765076,0.2833898365497589,0.2983483374118805,0.19660666584968567,0.21236225962638855,0.22541621327400208,0.24224305152893066,0.06455407291650772,0.1413237303495407
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
national,0.16882304847240448,0.2433898150920868,0.32739606499671936,0.2230503112077713,0.21253564953804016,0.3314673602581024,0.2390993982553482,0.2769610285758972,0.0077375201508402824,0.15643028914928436
football,0.21136903762817383,0.23601193726062775,0.18794101476669312,0.19703981280326843,0.1928449422121048,0.2184123694896698,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.14957410097122192
conference,0.15329721570014954,0.1537582278251648,0.25393402576446533,0.22705651819705963,0.11116882413625717,0.19579021632671356,0.20312196016311646,0.283403605222702,0.0753558799624443,0.11172781884670258
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2353750467300415,0.16359393298625946,0.35032153129577637,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.40561532974243164
nfc,0.19796092808246613,0.18001268804073334,0.2545439600944519,0.2646082937717438,0.27871009707450867,0.22083237767219543,0.373574823141098,0.47588562965393066,0.017712999135255814,0.15073348581790924
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.23999759554862976,0.1630166471004486,0.3680361211299896,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.42300865054130554
champion,0.11434172838926315,0.24402377009391785,0.23575055599212646,0.29954957962036133,0.21362051367759705,0.1902693659067154,0.3463263213634491,0.34389644861221313,0.0722193643450737,0.14080514013767242
carolina,0.1956660896539688,0.26687008142471313,0.24749229848384857,0.10906282812356949,0.1318756490945816,0.26946863532066345,0.12624233961105347,0.2087959349155426,-0.029075996950268745,0.11847445368766785
panthers,0.17002959549427032,0.2605615258216858,0.2602776288986206,0.19609025120735168,0.1884668916463852,0.23357392847537994,0.27118441462516785,0.34713199734687805,0.10408550500869751,0.16608978807926178
24–10,0.05741516873240471,0.1353306919336319,0.1489364504814148,0.029040446504950523,-0.024796534329652786,0.17036935687065125,0.010416935198009014,0.08119672536849976,-0.010570821352303028,0.06738992035388947
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.26099109649658203,0.18782086670398712,0.41548454761505127,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
earn,0.16168662905693054,0.1809355765581131,0.21796688437461853,0.11890330165624619,0.2601514160633087,0.1868710219860077,0.17858323454856873,0.1886933445930481,0.08751052618026733,0.20429526269435883
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.2108406126499176,0.13630306720733643,0.4329940676689148,0.14342328906059265,0.1663845032453537,0.06537782400846481,0.1898253709077835
third,0.2033906877040863,0.3460187017917633,0.4229298532009125,0.3972865045070648,0.16721312701702118,0.30602210760116577,0.25203296542167664,0.16511911153793335,0.09091969579458237,0.15394791960716248
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.18389330804347992,0.14868654310703278,0.14718765020370483,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.2308216542005539,0.18485401570796967,0.2243070751428604,0.4848237931728363,1.0,0.005446359980851412,0.21118052303791046
title,0.205022931098938,0.19408874213695526,0.27465343475341797,0.20983314514160156,0.17871858179569244,0.18969319760799408,0.22950704395771027,0.21912378072738647,0.0812186673283577,0.34551161527633667
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24325628578662872,0.17928162217140198,0.5352458953857422,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
