,the,riba,'s,drawing,collection,of,what,italian,architect,is,considered,the,largest,in,the,world,?
the,1.0,0.24598738551139832,-0.01540423184633255,0.2675468325614929,0.25281965732574463,0.733189046382904,0.42745697498321533,0.19855095446109772,0.13209693133831024,0.5823672413825989,0.4028765559196472,1.0,0.3757036626338959,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
riba,0.24598738551139832,1.0,-0.04440755769610405,0.25008249282836914,0.2179511934518814,0.2084985226392746,0.12240250408649445,0.28345078229904175,0.25717025995254517,0.11169726401567459,0.12939515709877014,0.24598738551139832,0.15119443833827972,0.16220375895500183,0.24598738551139832,0.23082758486270905,0.1393887996673584
's,-0.01540423184633255,-0.04440755769610405,0.9999999403953552,0.04939230903983116,0.003388406243175268,-0.03817026689648628,0.02692362666130066,0.050269484519958496,0.02331111766397953,0.02396530658006668,0.03146931901574135,-0.01540423184633255,-0.02050611935555935,-0.037580832839012146,-0.01540423184633255,0.11877062171697617,-0.023395681753754616
holdings,0.1920640915632248,0.19397565722465515,0.07431746274232864,0.18153682351112366,0.34182992577552795,0.23571044206619263,0.07863982766866684,0.16578742861747742,0.2132779359817505,0.17933884263038635,0.1635332852602005,0.1920640915632248,0.3068387806415558,0.22812411189079285,0.1920640915632248,0.24800308048725128,0.14412938058376312
of,0.733189046382904,0.2084985226392746,-0.03817026689648628,0.3059796988964081,0.2915455996990204,1.0,0.33290785551071167,0.20819662511348724,0.13472206890583038,0.4854315221309662,0.4190242290496826,0.733189046382904,0.36650770902633667,0.5696388483047485,0.733189046382904,0.2828933000564575,0.1826142966747284
over,0.39856547117233276,0.16238521039485931,0.016215575858950615,0.22632808983325958,0.21212655305862427,0.36136594414711,0.28007611632347107,0.15451806783676147,0.11676466464996338,0.2159561663866043,0.22459743916988373,0.39856547117233276,0.2755204439163208,0.3605569899082184,0.39856547117233276,0.31620165705680847,0.25742942094802856
330,-0.040317684412002563,-0.04603935778141022,-0.02698506973683834,0.05379539728164673,-0.04602138698101044,0.04381348937749863,0.09579745680093765,0.04269495978951454,0.020996151491999626,-0.10492657124996185,0.12975460290908813,-0.040317684412002563,-0.011813301593065262,-0.06298030912876129,-0.040317684412002563,0.03728773817420006,-0.036314692348241806
drawings,0.19117170572280884,0.26689857244491577,0.048699647188186646,0.810326099395752,0.3887491524219513,0.23873206973075867,0.21923324465751648,0.13333193957805634,0.31317010521888733,0.14478443562984467,0.17303714156150818,0.19117170572280884,0.12008737027645111,0.18445944786071777,0.19117170572280884,0.2115689069032669,0.15541397035121918
by,0.4408751428127289,0.18503060936927795,-0.010884488001465797,0.22712911665439606,0.2678082287311554,0.3646814823150635,0.2455483376979828,0.14713914692401886,0.22246061265468597,0.3899846076965332,0.23957760632038116,0.4408751428127289,0.17839421331882477,0.370934396982193,0.4408751428127289,0.22306372225284576,0.17966607213020325
andrea,0.15751202404499054,0.2279263287782669,0.03885439410805702,0.17037896811962128,0.10598628222942352,0.11446020752191544,0.1726132482290268,0.38535162806510925,0.2790573537349701,0.12745745480060577,0.1408485770225525,0.15751202404499054,0.06329222023487091,0.11617325246334076,0.15751202404499054,0.1279265582561493,0.06817904114723206
palladio,0.24434302747249603,0.3509089946746826,0.050622690469026566,0.21137090027332306,0.26117247343063354,0.20380839705467224,0.15469573438167572,0.33539265394210815,0.38465261459350586,0.1971333622932434,0.2199144810438156,0.24434302747249603,0.13863864541053772,0.2412830889225006,0.24434302747249603,0.1709420382976532,0.10489597171545029
are,0.40399202704429626,0.14090262353420258,-0.008927806280553341,0.16350750625133514,0.22862131893634796,0.39081433415412903,0.29724663496017456,0.13699258863925934,0.0416419580578804,0.5330929756164551,0.35714471340179443,0.40399202704429626,0.23992078006267548,0.3841303884983063,0.40399202704429626,0.22463127970695496,0.24591213464736938
the,1.0,0.24598738551139832,-0.01540423184633255,0.2675468325614929,0.25281965732574463,0.733189046382904,0.42745697498321533,0.19855095446109772,0.13209693133831024,0.5823672413825989,0.4028765559196472,1.0,0.3757036626338959,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
