,what,even,is,the,earliest,known,reference,to,immunity,?
the,0.42745697498321533,0.37996912002563477,0.5823672413825989,1.0,0.32825469970703125,0.3624623417854309,0.26254498958587646,0.535392165184021,0.25992491841316223,0.22068053483963013
earliest,0.23163363337516785,0.2351597547531128,0.22056961059570312,0.32825469970703125,1.0,0.3454912602901459,0.18078938126564026,0.20613901317119598,0.12251187115907669,0.139415442943573
known,0.20381177961826324,0.21494261920452118,0.41921812295913696,0.3624623417854309,0.3454912602901459,1.0,0.2287893295288086,0.14337651431560516,0.08835657685995102,0.18314571678638458
reference,0.27632904052734375,0.27370548248291016,0.2599010765552521,0.26254498958587646,0.18078938126564026,0.2287893295288086,1.0,0.25784367322921753,0.05976767838001251,0.2950310707092285
to,0.455847829580307,0.46467068791389465,0.42745086550712585,0.535392165184021,0.20613901317119598,0.14337651431560516,0.25784367322921753,1.0,0.23462912440299988,0.29463258385658264
immunity,0.21864116191864014,0.2804277837276459,0.15477107465267181,0.25992491841316223,0.12251187115907669,0.08835657685995102,0.05976767838001251,0.23462912440299988,1.0000001192092896,0.16423189640045166
was,0.22111038863658905,0.27441510558128357,0.5810302495956421,0.48711544275283813,0.25501716136932373,0.35203275084495544,0.21164053678512573,0.3636345863342285,0.1830712854862213,0.18412111699581146
during,0.24137552082538605,0.2949271500110626,0.2240111529827118,0.4838213622570038,0.2385512888431549,0.27972859144210815,0.10137495398521423,0.2828781306743622,0.16985207796096802,0.1325719803571701
the,0.42745697498321533,0.37996912002563477,0.5823672413825989,1.0,0.32825469970703125,0.3624623417854309,0.26254498958587646,0.535392165184021,0.25992491841316223,0.22068053483963013
plague,0.22263506054878235,0.2702503502368927,0.15890252590179443,0.2537761330604553,0.17938345670700073,0.14461621642112732,0.08694717288017273,0.21845681965351105,0.20280730724334717,0.11872942000627518
of,0.33290785551071167,0.34735506772994995,0.4854315221309662,0.733189046382904,0.33267632126808167,0.35814476013183594,0.21538788080215454,0.41548454761505127,0.17778201401233673,0.1826142966747284
athens,0.11305804550647736,0.168579563498497,0.12977127730846405,0.21171389520168304,0.13105499744415283,0.10920266062021255,0.11616697907447815,0.24866260588169098,0.15707534551620483,0.07273513823747635
in,0.30808621644973755,0.29146435856819153,0.5394441485404968,0.6662389636039734,0.3064194619655609,0.32641831040382385,0.22640638053417206,0.45010748505592346,0.16387996077537537,0.20430970191955566
430,0.09970013797283173,0.09089191257953644,0.09486301243305206,0.061086107045412064,0.0011876511853188276,0.14757826924324036,-0.026787925511598587,0.08136188238859177,0.13280604779720306,0.15022046864032745
bc,0.21395325660705566,0.17583394050598145,0.16060546040534973,0.2513079047203064,0.3176608979701996,0.15363234281539917,0.17825564742088318,0.1713111847639084,0.12766849994659424,0.1382298320531845
.,0.3567904531955719,0.3729337155818939,0.4569662809371948,0.5934505462646484,0.21521835029125214,0.283290296792984,0.2742740213871002,0.4645031690597534,0.20537415146827698,0.4130953550338745
