,what,has,the,infrastructure,done,a,lot,of,over,the,past,years,?
the,0.42745697498321533,0.4177538752555847,1.0,0.255354642868042,0.26575928926467896,0.5829201340675354,0.3371950089931488,0.733189046382904,0.39856547117233276,1.0,0.2747827172279358,0.2912273406982422,0.22068053483963013
infrastructure,0.23299327492713928,0.17926515638828278,0.255354642868042,1.0,0.23754261434078217,0.2307283729314804,0.2786853611469269,0.27721908688545227,0.2504657208919525,0.255354642868042,0.2382437288761139,0.17352497577667236,0.15828795731067657
has,0.20338068902492523,1.0,0.4177538752555847,0.17926515638828278,0.28241458535194397,0.4670248031616211,0.3557965159416199,0.3909035325050354,0.370955228805542,0.4177538752555847,0.3907585144042969,0.25622743368148804,0.15994466841220856
developed,0.15555569529533386,0.2396264225244522,0.24490751326084137,0.27294719219207764,0.24365317821502686,0.286296546459198,0.22862473130226135,0.21960023045539856,0.2154836356639862,0.24490751326084137,0.1536778211593628,0.22479642927646637,0.10763012617826462
a,0.3320399522781372,0.4670248031616211,0.5829201340675354,0.2307283729314804,0.2800007462501526,1.0,0.2944507300853729,0.5052502155303955,0.32199642062187195,0.5829201340675354,0.24050787091255188,0.23773819208145142,0.23916715383529663
lot,0.3255569636821747,0.3557965159416199,0.3371950089931488,0.2786853611469269,0.3358873426914215,0.2944507300853729,1.0,0.2609597444534302,0.3485601246356964,0.3371950089931488,0.3104642331600189,0.17414842545986176,0.219394251704216
over,0.28007611632347107,0.370955228805542,0.39856547117233276,0.2504657208919525,0.26563605666160583,0.32199642062187195,0.3485601246356964,0.36136594414711,1.0,0.39856547117233276,0.4169456362724304,0.3751278817653656,0.25742942094802856
the,0.42745697498321533,0.4177538752555847,1.0,0.255354642868042,0.26575928926467896,0.5829201340675354,0.3371950089931488,0.733189046382904,0.39856547117233276,1.0,0.2747827172279358,0.2912273406982422,0.22068053483963013
past,0.3538547456264496,0.3907585144042969,0.2747827172279358,0.2382437288761139,0.35925763845443726,0.24050787091255188,0.3104642331600189,0.27417802810668945,0.4169456362724304,0.2747827172279358,0.9999999403953552,0.32923611998558044,0.2598046660423279
years,0.1981470286846161,0.25622743368148804,0.2912273406982422,0.17352497577667236,0.1807522028684616,0.23773819208145142,0.17414842545986176,0.2904134690761566,0.3751278817653656,0.2912273406982422,0.32923611998558044,1.0,0.1914375126361847
.,0.3567904531955719,0.4105546176433563,0.5934505462646484,0.25300246477127075,0.3132319152355194,0.50484299659729,0.3163578510284424,0.5352458953857422,0.37877383828163147,0.5934505462646484,0.2363625168800354,0.31919315457344055,0.4130953550338745
