,what,irish,cities,had,huguenot,mayors,in,the,1600s,and,1700s,?
a,0.3320399522781372,0.1664649397134781,0.18820415437221527,0.34897568821907043,0.22502337396144867,0.15961775183677673,0.539380669593811,0.5829201340675354,0.04380932077765465,0.3739250600337982,0.0037635527551174164,0.23916715383529663
number,0.23046229779720306,0.14754243195056915,0.17216724157333374,0.2758786678314209,0.1813536137342453,0.17785398662090302,0.3024539053440094,0.35145696997642517,0.09076762199401855,0.28545793890953064,0.13458774983882904,0.19256845116615295
of,0.33290785551071167,0.1534920334815979,0.29528072476387024,0.37755560874938965,0.29061198234558105,0.3157879412174225,0.5696388483047485,0.733189046382904,0.2680472135543823,0.5116966962814331,0.04162357375025749,0.1826142966747284
huguenots,0.22128188610076904,0.32581034302711487,0.21641027927398682,0.2472342848777771,0.9459913372993469,0.2859840989112854,0.25916293263435364,0.30745792388916016,0.15157631039619446,0.28783127665519714,0.10063250362873077,0.16010338068008423
served,0.1271134465932846,0.12995125353336334,0.10959860682487488,0.29667165875434875,0.1846601814031601,0.27527302503585815,0.24299493432044983,0.25209251046180725,5.093080835649744e-05,0.2463700920343399,0.008121198043227196,0.117141492664814
as,0.31749409437179565,0.18897314369678497,0.19171151518821716,0.3393979072570801,0.15821954607963562,0.24501076340675354,0.3887844979763031,0.48381632566452026,0.03497502952814102,0.49487000703811646,-0.008724786341190338,0.27043893933296204
mayors,0.12421352416276932,0.17964380979537964,0.39952802658081055,0.18756893277168274,0.2602494955062866,1.0,0.26657071709632874,0.3016664981842041,0.13704852759838104,0.21821653842926025,0.09997089207172394,0.14073285460472107
in,0.30808621644973755,0.17023150622844696,0.32293570041656494,0.385026752948761,0.26198551058769226,0.26657071709632874,1.0,0.6662389636039734,0.20410192012786865,0.4954058527946472,0.014179176650941372,0.20430970191955566
dublin,0.16170531511306763,0.616908848285675,0.10418010503053665,0.20420865714550018,0.33924010396003723,0.24064253270626068,0.21641160547733307,0.23325616121292114,0.060689736157655716,0.24489814043045044,0.02849631942808628,0.06738798320293427
",",0.3087472915649414,0.24875710904598236,0.31927579641342163,0.35487717390060425,0.24752236902713776,0.29693201184272766,0.5201468467712402,0.4933079481124878,0.03545989468693733,0.6633074283599854,0.05690858140587807,0.31091248989105225
cork,0.11316045373678207,0.41502758860588074,0.11007009446620941,0.10711613297462463,0.21264740824699402,0.18699419498443604,0.1957586109638214,0.19455541670322418,0.015210401266813278,0.2599963843822479,0.13393644988536835,0.0914512425661087
",",0.3087472915649414,0.24875710904598236,0.31927579641342163,0.35487717390060425,0.24752236902713776,0.29693201184272766,0.5201468467712402,0.4933079481124878,0.03545989468693733,0.6633074283599854,0.05690858140587807,0.31091248989105225
youghal,0.30448681116104126,0.2239992469549179,0.20103412866592407,0.27907595038414,0.31772521138191223,0.2705408036708832,0.25341668725013733,0.3174760341644287,0.17448024451732635,0.3275343179702759,-0.0036543505266308784,0.29413852095603943
and,0.31309178471565247,0.23241202533245087,0.292957067489624,0.3872550129890442,0.2762077748775482,0.21821653842926025,0.4954058527946472,0.5171257257461548,0.04819386452436447,1.0,0.015102262608706951,0.20544172823429108
waterford,0.1438361257314682,0.33103981614112854,0.22829017043113708,0.15759769082069397,0.2575951814651489,0.32179537415504456,0.30810075998306274,0.28605198860168457,0.1887935847043991,0.26278156042099,0.05633297190070152,0.12953320145606995
in,0.30808621644973755,0.17023150622844696,0.32293570041656494,0.385026752948761,0.26198551058769226,0.26657071709632874,1.0,0.6662389636039734,0.20410192012786865,0.4954058527946472,0.014179176650941372,0.20430970191955566
the,0.42745697498321533,0.20936301350593567,0.2621172070503235,0.3875846862792969,0.29557526111602783,0.3016664981842041,0.6662389636039734,1.0,0.28343096375465393,0.5171257257461548,-0.02057970128953457,0.22068053483963013
17th,0.15649843215942383,0.10054544359445572,0.14164254069328308,0.12744005024433136,0.07189624756574631,0.10465133190155029,0.17784206569194794,0.2679309546947479,0.14462463557720184,0.2645922303199768,0.2787342667579651,0.096589595079422
and,0.31309178471565247,0.23241202533245087,0.292957067489624,0.3872550129890442,0.2762077748775482,0.21821653842926025,0.4954058527946472,0.5171257257461548,0.04819386452436447,1.0,0.015102262608706951,0.20544172823429108
18th,0.173826202750206,0.15942879021167755,0.09166641533374786,0.13044694066047668,0.05490914359688759,0.03647926449775696,0.19408075511455536,0.2844390869140625,0.03204037621617317,0.2883249521255493,-0.1198999211192131,0.11879357695579529
centuries,0.18983326852321625,0.13088227808475494,0.22154201567173004,0.31764280796051025,0.31090688705444336,0.18627195060253143,0.2558690905570984,0.32166481018066406,0.3454614579677582,0.29204583168029785,0.06299374997615814,0.13179439306259155
.,0.3567904531955719,0.2006680816411972,0.2525215446949005,0.37348684668540955,0.2060975730419159,0.23983816802501678,0.5591574311256409,0.5934505462646484,0.04224463924765587,0.588965117931366,0.06749255955219269,0.4130953550338745
