,what,did,warsz,own,?
in,0.30808621644973755,0.2593238651752472,0.21998456120491028,0.31893372535705566,0.20430970191955566
actuality,0.445834219455719,0.27406299114227295,0.1656019687652588,0.3407062888145447,0.26463794708251953
",",0.3087472915649414,0.3015086054801941,0.3013582229614258,0.2796398997306824,0.31091248989105225
warsz,0.10056421905755997,0.11468996852636337,1.0,0.09072216600179672,0.18210382759571075
was,0.22111038863658905,0.41399896144866943,0.2739090621471405,0.19632458686828613,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.19513559341430664,0.3093770742416382,0.23916715383529663
12th/13th-century,0.24631379544734955,0.242147296667099,0.2722974717617035,0.16010574996471405,0.1306912750005722
nobleman,0.16007386147975922,0.1593681424856186,0.35094526410102844,0.15294505655765533,0.1730993539094925
who,0.40942975878715515,0.34038686752319336,0.18436530232429504,0.31838667392730713,0.26220351457595825
owned,0.12432919442653656,0.20064307749271393,0.11617077887058258,0.3358837366104126,0.1288648396730423
a,0.3320399522781372,0.2552328109741211,0.19513559341430664,0.3093770742416382,0.23916715383529663
village,0.20210839807987213,0.15373362600803375,0.2549925744533539,0.14857454597949982,0.040922991931438446
located,0.2034616470336914,0.12403438240289688,0.1354532539844513,0.22149723768234253,0.08983194828033447
at,0.2838611304759979,0.28390252590179443,0.13148999214172363,0.20869451761245728,0.21978627145290375
the,0.42745697498321533,0.34736719727516174,0.22328269481658936,0.334675133228302,0.22068053483963013
modern-day,0.3245202898979187,0.27556464076042175,0.26096028089523315,0.21122047305107117,0.2257315069437027
site,0.21561308205127716,0.11670486629009247,0.14306530356407166,0.206320658326149,0.2014765441417694
of,0.33290785551071167,0.2513895630836487,0.1981009691953659,0.3269667625427246,0.1826142966747284
mariensztat,0.22433523833751678,0.25835248827934265,0.4765164852142334,0.16460146009922028,0.2723522484302521
neighbourhood,0.21542978286743164,0.10278763622045517,0.0525398924946785,0.2855916917324066,0.11004425585269928
.,0.3567904531955719,0.35288307070732117,0.30210694670677185,0.3061371147632599,0.4130953550338745
