,where,was,austrian,polytechnic,located,?
in,0.5344807505607605,0.45514053106307983,0.16418905556201935,0.30881479382514954,0.35149815678596497,0.20430970191955566
1875,0.13079676032066345,0.1952691674232483,0.08096367865800858,0.07359111309051514,0.018672700971364975,0.22339659929275513
",",0.3149496018886566,0.45456063747406006,0.21496297419071198,0.25962182879447937,0.2678719460964203,0.31091248989105225
tesla,0.12761090695858002,0.16455206274986267,0.21734847128391266,0.2251133769750595,0.1643938571214676,0.10250775516033173
enrolled,0.2588925361633301,0.2678225040435791,0.17987051606178284,0.46664267778396606,0.2681717872619629,0.09043214470148087
at,0.4402937591075897,0.36707764863967896,0.18009893596172333,0.37801700830459595,0.3688831031322479,0.21978627145290375
austrian,0.11957130581140518,0.24469807744026184,1.0,0.17324846982955933,0.09217094630002975,0.10452693700790405
polytechnic,0.2949769198894501,0.2251550704240799,0.17324846982955933,0.9999999403953552,0.3111674189567566,0.13763803243637085
in,0.5344807505607605,0.45514053106307983,0.16418905556201935,0.30881479382514954,0.35149815678596497,0.20430970191955566
graz,0.26652073860168457,0.22688491642475128,0.548565685749054,0.21738770604133606,0.1552269160747528,0.19033589959144592
",",0.3149496018886566,0.45456063747406006,0.21496297419071198,0.25962182879447937,0.2678719460964203,0.31091248989105225
austria,0.19844335317611694,0.22460195422172546,0.7623867988586426,0.16794998943805695,0.12011288106441498,0.16068434715270996
",",0.3149496018886566,0.45456063747406006,0.21496297419071198,0.25962182879447937,0.2678719460964203,0.31091248989105225
on,0.37630224227905273,0.3909217119216919,0.1467168629169464,0.15311919152736664,0.22447186708450317,0.2714994251728058
a,0.40997210144996643,0.4508470594882965,0.15372397005558014,0.17925728857517242,0.2605401277542114,0.23916715383529663
military,0.18467973172664642,0.24704936146736145,0.14579319953918457,0.2924223840236664,0.18360555171966553,0.1890317052602768
frontier,0.24278222024440765,0.2656724452972412,0.20208875834941864,0.16424788534641266,0.2126082479953766,0.13416144251823425
scholarship,0.18848256766796112,0.3118509352207184,0.09868092089891434,0.4185898005962372,0.1913379430770874,0.07760601490736008
.,0.41390106081962585,0.40146201848983765,0.20832042396068573,0.25855156779289246,0.28226932883262634,0.4130953550338745
