,when,is,the,wianki,festival,held,?
gatherings,0.24972736835479736,0.24407333135604858,0.3073239028453827,0.26878562569618225,0.29795002937316895,0.3451247215270996,0.11102838814258575
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.2658086121082306,0.17007394134998322,0.28960686922073364,0.1826142966747284
thousands,0.2730526328086853,0.14170046150684357,0.2934577763080597,0.15993888676166534,0.21111294627189636,0.1645442247390747,0.15520451962947845
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.2658086121082306,0.17007394134998322,0.28960686922073364,0.1826142966747284
people,0.260394424200058,0.34254953265190125,0.36838498711586,0.21800892055034637,0.17863190174102783,0.23957963287830353,0.23739641904830933
on,0.37706470489501953,0.3635730445384979,0.5107308030128479,0.25154006481170654,0.1707397699356079,0.2410694807767868,0.2714994251728058
the,0.5091903209686279,0.5823672413825989,1.0,0.32233020663261414,0.20982226729393005,0.32185450196266174,0.22068053483963013
banks,0.15758168697357178,0.18453240394592285,0.28661349415779114,0.2087198793888092,0.10873881727457047,0.08618960529565811,0.11048095673322678
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.2658086121082306,0.17007394134998322,0.28960686922073364,0.1826142966747284
the,0.5091903209686279,0.5823672413825989,1.0,0.32233020663261414,0.20982226729393005,0.32185450196266174,0.22068053483963013
vistula,0.17810772359371185,0.2513207197189331,0.36214977502822876,0.39636558294296265,0.14546586573123932,0.16267557442188263,0.1677311211824417
on,0.37706470489501953,0.3635730445384979,0.5107308030128479,0.25154006481170654,0.1707397699356079,0.2410694807767868,0.2714994251728058
midsummer,0.2569214701652527,0.2644389271736145,0.31286704540252686,0.30801451206207275,0.3926927447319031,0.2277509719133377,0.16556790471076965
’,0.0063735563308000565,0.024411404505372047,-0.04090067744255066,0.009225543588399887,-0.02945009246468544,-0.03688345104455948,0.045561522245407104
s,0.3388965129852295,0.3467119336128235,0.46610721945762634,0.22875379025936127,0.13092643022537231,0.17273473739624023,0.25130221247673035
night,0.23696854710578918,0.17660148441791534,0.2817382514476776,0.25262752175331116,0.217139333486557,0.20320139825344086,0.13794848322868347
for,0.43402108550071716,0.43268078565597534,0.4739971458911896,0.1833522617816925,0.2104043960571289,0.2495253086090088,0.264628142118454
a,0.44397395849227905,0.658733606338501,0.5829201340675354,0.25143539905548096,0.16281212866306305,0.22326228022575378,0.23916715383529663
festival,0.1745537519454956,0.1853252649307251,0.20982226729393005,0.20344296097755432,0.9999999403953552,0.3763343393802643,0.17767390608787537
called,0.39188069105148315,0.430266410112381,0.489897221326828,0.20386429131031036,0.19096560776233673,0.3097226321697235,0.18963319063186646
wianki,0.16563059389591217,0.2286992073059082,0.32233020663261414,1.0,0.20344296097755432,0.21193811297416687,0.25271373987197876
(,0.2459595799446106,0.35393038392066956,0.33289089798927307,0.2894880473613739,0.1496279239654541,0.18327336013317108,0.40561532974243164
polish,0.12293745577335358,0.14989061653614044,0.17708231508731842,0.44809773564338684,0.10988916456699371,0.11149151623249054,0.14012759923934937
