,who,did,tesla,work,for,in,the,1880s,?
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.2545209228992462,0.13983871042728424,0.17097744345664978,0.1324402391910553,0.0665929839015007,0.10250775516033173
gained,0.1691395491361618,0.2939504086971283,0.2018451988697052,0.156564861536026,0.28392210602760315,0.2935055196285248,0.29543522000312805,0.03587738052010536,0.11261032521724701
experience,0.33711883425712585,0.2411177009344101,0.23926784098148346,0.35909560322761536,0.29364609718322754,0.19806437194347382,0.21682339906692505,-0.008228632621467113,0.25203612446784973
in,0.2792111933231354,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.4322226941585541,1.0,0.6662389636039734,0.18552936613559723,0.20430970191955566
telephony,0.23401467502117157,0.15577323734760284,0.3377399444580078,0.2415921837091446,0.24261575937271118,0.26129165291786194,0.2518288791179657,0.10625527799129486,0.14779767394065857
and,0.41279885172843933,0.34479495882987976,0.19560420513153076,0.37551814317703247,0.5064792633056641,0.4954058527946472,0.5171257257461548,0.08799852430820465,0.20544172823429108
electrical,0.16470956802368164,0.12294142693281174,0.45727142691612244,0.23701360821723938,0.20076188445091248,0.2146623730659485,0.2523402273654938,0.033530790358781815,0.10923371464014053
engineering,0.14024005830287933,0.14655107259750366,0.31800028681755066,0.2970539927482605,0.25135883688926697,0.2634803354740143,0.23901307582855225,0.0909292995929718,0.16555240750312805
before,0.31244513392448425,0.33642593026161194,0.14506052434444427,0.21733282506465912,0.44347289204597473,0.4155850410461426,0.45900648832321167,0.15263999998569489,0.2507109045982361
emigrating,0.2556971311569214,0.17718683183193207,0.23259085416793823,0.3024757504463196,0.2994399964809418,0.33440110087394714,0.3192072808742523,0.13520188629627228,0.14666429162025452
to,0.42656609416007996,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.4451248347759247,0.45010748505592346,0.535392165184021,0.11283470690250397,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,0.1324402391910553,0.2704800069332123,0.4739971458911896,0.6662389636039734,1.0,0.19532835483551025,0.22068053483963013
united,0.21193812787532806,0.21137088537216187,0.1552019715309143,0.13603049516677856,0.30487096309661865,0.3938477039337158,0.34367692470550537,0.21663746237754822,0.17266890406608582
states,0.21313154697418213,0.21754568815231323,0.17635658383369446,0.14620256423950195,0.2496437132358551,0.3977442979812622,0.3463578522205353,0.11959315836429596,0.16272737085819244
in,0.2792111933231354,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.4322226941585541,1.0,0.6662389636039734,0.18552936613559723,0.20430970191955566
1884,0.05539725348353386,-0.019103914499282837,0.029632732272148132,-0.019513612613081932,-0.058197759091854095,0.06194859743118286,0.07194139063358307,0.06114118546247482,-0.08445221930742264
to,0.42656609416007996,0.4452643394470215,0.17548894882202148,0.3482864499092102,0.4451248347759247,0.45010748505592346,0.535392165184021,0.11283470690250397,0.29463258385658264
work,0.3146236836910248,0.336654931306839,0.2545209228992462,1.0,0.4087657630443573,0.2753349542617798,0.2704800069332123,0.1058885008096695,0.2621155381202698
for,0.37110671401023865,0.318512886762619,0.13983871042728424,0.4087657630443573,0.9999999403953552,0.4322226941585541,0.4739971458911896,0.12104316800832748,0.264628142118454
thomas,0.26103657484054565,0.20728807151317596,0.21892967820167542,0.18902532756328583,0.19489257037639618,0.21133768558502197,0.23505409061908722,0.15187714993953705,0.16133050620555878
edison,0.19920577108860016,0.1372239738702774,0.35526686906814575,0.20589876174926758,0.1954379379749298,0.22187061607837677,0.25419825315475464,0.12671588361263275,0.10244420915842056
in,0.2792111933231354,0.2593238651752472,0.17097744345664978,0.2753349542617798,0.4322226941585541,1.0,0.6662389636039734,0.18552936613559723,0.20430970191955566
new,0.2378052920103073,0.227974995970726,0.15999311208724976,0.2501217722892761,0.2700757384300232,0.3758552670478821,0.3845241069793701,0.11126295477151871,0.14782847464084625
york,0.23077517747879028,0.16606222093105316,0.15629629790782928,0.21467359364032745,0.23982049524784088,0.2961827218532562,0.3034006953239441,0.1900668740272522,0.15262620151042938
city,0.21073515713214874,0.12266099452972412,0.13220614194869995,0.12649786472320557,0.18687109649181366,0.3911624252796173,0.35769423842430115,0.307356595993042,0.13423943519592285
.,0.3541337847709656,0.35288307070732117,0.17949827015399933,0.33121398091316223,0.4726039469242096,0.5591574311256409,0.5934505462646484,0.11564039438962936,0.4130953550338745
