,what,are,other,major,fatality,causes,?
other,0.341873437166214,0.5932393670082092,0.9999999403953552,0.3157308101654053,0.20694777369499207,0.20599205791950226,0.24682199954986572
major,0.21026742458343506,0.21536177396774292,0.3157308101654053,0.9999998807907104,0.22583283483982086,0.14040985703468323,0.19788557291030884
causes,0.1426164209842682,0.21512891352176666,0.20599205791950226,0.14040985703468323,0.32189130783081055,0.9999998807907104,0.19991323351860046
of,0.33290785551071167,0.39081433415412903,0.38583824038505554,0.2641255557537079,0.20647919178009033,0.2544642984867096,0.1826142966747284
fatalities,0.15725281834602356,0.24465246498584747,0.26034441590309143,0.21802566945552826,0.6565497517585754,0.35720494389533997,0.15340906381607056
in,0.30808621644973755,0.3841303884983063,0.39989137649536133,0.3249945342540741,0.20747320353984833,0.2674790024757385,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,0.44152235984802246,0.31775903701782227,0.24933980405330658,0.2518732249736786,0.22068053483963013
construction,0.20329850912094116,0.18089833855628967,0.23197735846042633,0.20020250976085663,0.2443740963935852,0.140291228890419,0.13494056463241577
industry,0.1966298520565033,0.1772618442773819,0.22482368350028992,0.1881316751241684,0.16439102590084076,0.12922824919223785,0.11813290417194366
include,0.1535889357328415,0.5140694975852966,0.448042094707489,0.28127560019493103,0.14508946239948273,0.2473497837781906,0.14925788342952728
electrocution,0.26832079887390137,0.1823911964893341,0.18035024404525757,0.09757903963327408,0.3594377636909485,0.25407037138938904,0.1775873303413391
",",0.3087472915649414,0.4062570035457611,0.4446498453617096,0.29355156421661377,0.25433748960494995,0.3057606518268585,0.31091248989105225
transportation,0.20306137204170227,0.22413209080696106,0.2729809284210205,0.1776096522808075,0.23709210753440857,0.15561765432357788,0.1712278425693512
accidents,0.2515116035938263,0.26425182819366455,0.2115868777036667,0.1833975911140442,0.483999103307724,0.3363509476184845,0.1562429815530777
",",0.3087472915649414,0.4062570035457611,0.4446498453617096,0.29355156421661377,0.25433748960494995,0.3057606518268585,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5504306554794312,0.29795366525650024,0.201385959982872,0.2964467406272888,0.20544172823429108
trench,0.17622734606266022,0.12424661964178085,0.19063332676887512,0.13654495775699615,0.22815313935279846,0.20527750253677368,0.14334657788276672
cave-ins,0.19334694743156433,0.27250921726226807,0.17800870537757874,0.11977037787437439,0.054753001779317856,0.19166119396686554,0.20815235376358032
.,0.3567904531955719,0.3452940285205841,0.41511186957359314,0.3054012954235077,0.23113808035850525,0.26090872287750244,0.4130953550338745
