,what,is,the,name,of,the,european,union,agency,for,external,border,security,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.24253644049167633,0.4739971458911896,0.22874414920806885,0.2856229841709137,0.2683938145637512,0.22068053483963013
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.07886209338903427,0.19253842532634735,0.23137180507183075,0.24148869514465332,0.34130436182022095,0.15601225197315216,0.1427849680185318,0.17541468143463135,0.16393494606018066,0.16823509335517883,0.09769917279481888
stock,0.13911938667297363,0.1890118271112442,0.21356552839279175,0.09816351532936096,0.20828957855701447,0.21356552839279175,0.1473177671432495,0.09470153599977493,0.17683660984039307,0.2536971867084503,0.14239807426929474,0.1552606076002121,0.2508240342140198,0.14784406125545502
exchange,0.11323627829551697,0.19539384543895721,0.2543705105781555,0.05673673376441002,0.23548997938632965,0.2543705105781555,0.1259881854057312,0.1747875064611435,0.13057540357112885,0.22285395860671997,0.13003557920455933,0.126519575715065,0.2896295189857483,0.048212938010692596
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.16083641350269318,0.16997112333774567,0.1915283501148224,0.43268078565597534,0.11640631407499313,0.22676031291484833,0.19300776720046997,0.22961433231830597
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.27018114924430847,0.4999135136604309,0.5514441132545471,0.24752061069011688,0.20057347416877747,0.09969264268875122,0.384836345911026,0.1627747118473053,0.19964703917503357,0.19539734721183777,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.21890796720981598,0.4185989499092102,0.23313403129577637,0.24084383249282837,0.26905277371406555,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.24253644049167633,0.4739971458911896,0.22874414920806885,0.2856229841709137,0.2683938145637512,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.14345738291740417,0.36650770902633667,0.3757036626338959,0.22682136297225952,0.18079356849193573,0.14660626649856567,0.13215672969818115,0.13231028616428375,0.21454814076423645,0.10482687503099442,0.12401245534420013
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.23476453125476837,0.5064792633056641,0.23221412301063538,0.29048892855644226,0.26971375942230225,0.20544172823429108
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.19063733518123627,0.4178851246833801,0.47635307908058167,0.21084468066692352,0.16553620994091034,0.09882064908742905,0.3906237483024597,0.19903546571731567,0.19057491421699524,0.15522398054599762,0.2107497900724411
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.16128742694854736,0.43301743268966675,0.39348116517066956,0.19270581007003784,0.1495465338230133,0.14833204448223114,0.3458578288555145,0.2415076345205307,0.17466817796230316,0.11106931418180466,0.17812499403953552
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.23319172859191895,0.22726479172706604,0.18450471758842468,0.4322226941585541,0.1451910436153412,0.28533756732940674,0.18173593282699585,0.20430970191955566
central,0.17723965644836426,0.273421049118042,0.3417201042175293,0.1127941831946373,0.3415789008140564,0.3417201042175293,0.2503783702850342,0.19762831926345825,0.2404974400997162,0.20646226406097412,0.18519864976406097,0.2872927784919739,0.17869669198989868,0.14787602424621582
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.23476453125476837,0.5064792633056641,0.23221412301063538,0.29048892855644226,0.26971375942230225,0.20544172823429108
eastern,0.2263268083333969,0.2375388890504837,0.3928247392177582,0.16027866303920746,0.33281487226486206,0.3928247392177582,0.3470361530780792,0.29379037022590637,0.12306994199752808,0.14339342713356018,0.16570821404457092,0.340856671333313,0.07557515054941177,0.20060817897319794
europe,0.17179538309574127,0.20961034297943115,0.34463706612586975,0.16502991318702698,0.29299741983413696,0.34463706612586975,0.5846181511878967,0.2437623292207718,0.14164508879184723,0.26120877265930176,0.13816826045513153,0.13396252691745758,0.22327473759651184,0.18278923630714417
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.2095622420310974,0.23708370327949524,0.24682630598545074,0.4726039469242096,0.18765710294246674,0.26349708437919617,0.2259770631790161,0.4130953550338745
