,which,department,houses,the,works,on,paper,of,the,costume,collection,?
costume,0.18582376837730408,0.17750881612300873,0.2391439974308014,0.2800344228744507,0.15952113270759583,0.1667710542678833,0.22082123160362244,0.25538170337677,0.2800344228744507,0.9999999403953552,0.2409714162349701,0.1820250153541565
sketches,0.22349999845027924,0.1744542270898819,0.24680481851100922,0.22366484999656677,0.36964717507362366,0.2947286069393158,0.3144625723361969,0.22395557165145874,0.22366484999656677,0.3359672427177429,0.34705275297164917,0.15365110337734222
",",0.3658004403114319,0.2484075129032135,0.25159695744514465,0.4933079481124878,0.29211118817329407,0.49057599902153015,0.2304661124944687,0.4946078956127167,0.4933079481124878,0.22592635452747345,0.2277175933122635,0.31091248989105225
design,0.302594393491745,0.21302251517772675,0.221971794962883,0.27913451194763184,0.22634293138980865,0.21461689472198486,0.2713288962841034,0.2522938847541809,0.27913451194763184,0.4770095944404602,0.19661931693553925,0.16351860761642456
notebooks,0.23415780067443848,0.15098001062870026,0.2274317741394043,0.18612976372241974,0.35688576102256775,0.2522546648979187,0.42183300852775574,0.1574622094631195,0.18612976372241974,0.2004869133234024,0.35645028948783875,0.2108169049024582
",",0.3658004403114319,0.2484075129032135,0.25159695744514465,0.4933079481124878,0.29211118817329407,0.49057599902153015,0.2304661124944687,0.4946078956127167,0.4933079481124878,0.22592635452747345,0.2277175933122635,0.31091248989105225
and,0.506277859210968,0.27163735032081604,0.33128079771995544,0.5171257257461548,0.33871909976005554,0.4077630043029785,0.21158236265182495,0.5116966962814331,0.5171257257461548,0.21964071691036224,0.2379438579082489,0.20544172823429108
other,0.50507652759552,0.24070149660110474,0.2620949447154999,0.44152235984802246,0.23630231618881226,0.3410046398639679,0.21269722282886505,0.38583824038505554,0.44152235984802246,0.13011641800403595,0.2705381214618683,0.24682199954986572
works,0.2730301022529602,0.17676784098148346,0.1597912311553955,0.26337864995002747,1.0,0.18736502528190613,0.1703626811504364,0.1964656114578247,0.26337864995002747,0.15952113270759583,0.3417747914791107,0.19597402215003967
on,0.4245251417160034,0.18196819722652435,0.1783137321472168,0.5107308030128479,0.18736502528190613,0.9999999403953552,0.22461584210395813,0.3966929316520691,0.5107308030128479,0.1667710542678833,0.2131180614233017,0.2714994251728058
paper,0.2540629804134369,0.08086735755205154,0.20837265253067017,0.2077420949935913,0.1703626811504364,0.22461584210395813,0.9999998807907104,0.19050662219524384,0.2077420949935913,0.22082123160362244,0.28873971104621887,0.12693770229816437
are,0.42922598123550415,0.18917685747146606,0.2642761170864105,0.40399202704429626,0.2733730971813202,0.268924742937088,0.20139499008655548,0.39081433415412903,0.40399202704429626,0.1461467295885086,0.22862131893634796,0.24591213464736938
typically,0.4671940505504608,0.16364926099777222,0.2092178910970688,0.33345210552215576,0.19701260328292847,0.22215910255908966,0.223991259932518,0.28964799642562866,0.33345210552215576,0.1482648402452469,0.18061897158622742,0.14485043287277222
held,0.2626747488975525,0.1457868367433548,0.23022833466529846,0.32185450196266174,0.18240807950496674,0.2410694807767868,0.1705264151096344,0.28960686922073364,0.32185450196266174,0.1596774309873581,0.23742815852165222,0.14103956520557404
by,0.40543368458747864,0.20612254738807678,0.19036784768104553,0.4408751428127289,0.2887086570262909,0.33887791633605957,0.20666080713272095,0.3646814823150635,0.4408751428127289,0.20348483324050903,0.2678082287311554,0.17966607213020325
the,0.6521818041801453,0.32582083344459534,0.2692612111568451,1.0,0.26337864995002747,0.5107308030128479,0.2077420949935913,0.733189046382904,1.0,0.2800344228744507,0.25281965732574463,0.22068053483963013
word,0.3399123549461365,0.14445434510707855,0.19755704700946808,0.2835540175437927,0.1552596241235733,0.12986846268177032,0.12850667536258698,0.23799116909503937,0.2835540175437927,0.10776269435882568,0.13642415404319763,0.19046713411808014
and,0.506277859210968,0.27163735032081604,0.33128079771995544,0.5171257257461548,0.33871909976005554,0.4077630043029785,0.21158236265182495,0.5116966962814331,0.5171257257461548,0.21964071691036224,0.2379438579082489,0.20544172823429108
image,0.16585691273212433,0.11960992217063904,0.12412145733833313,0.24039390683174133,0.17377224564552307,0.2003762274980545,0.1771862655878067,0.21113355457782745,0.24039390683174133,0.1973777711391449,0.12937045097351074,0.14968013763427734
department,0.17724695801734924,0.9999998807907104,0.18142375349998474,0.32582083344459534,0.17676784098148346,0.18196819722652435,0.08086735755205154,0.3181971311569214,0.32582083344459534,0.17750881612300873,0.23408176004886627,0.1343645304441452
.,0.45942068099975586,0.2694511413574219,0.2632806897163391,0.5934505462646484,0.28871041536331177,0.49257001280784607,0.2429187148809433,0.5352458953857422,0.5934505462646484,0.23607194423675537,0.2516246736049652,0.4130953550338745
