,what,is,the,exact,date,of,the,v,&,a,'s,official,opening,?
the,0.42745697498321533,0.5823672413825989,1.0,0.33338499069213867,0.25333094596862793,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.3133983910083771,0.37298497557640076,0.22068053483963013
official,0.18967986106872559,0.21236078441143036,0.3133983910083771,0.18921825289726257,0.17100322246551514,0.2864961326122284,0.3133983910083771,0.10909075289964676,0.19115374982357025,0.19875815510749817,0.0002636060817167163,1.0,0.23182769119739532,0.18097688257694244
opening,0.18146683275699615,0.1926470547914505,0.37298497557640076,0.20071092247962952,0.17470663785934448,0.2651100158691406,0.37298497557640076,0.11929420381784439,0.07173246890306473,0.2575104236602783,0.03635485842823982,0.23182769119739532,1.0,0.16502447426319122
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.11306465417146683,0.1930214762687683,0.3646814823150635,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,-0.010884488001465797,0.2104732245206833,0.19892098009586334,0.17966607213020325
queen,0.18133950233459473,0.19885572791099548,0.24681736528873444,0.08090344816446304,0.1441497653722763,0.27787157893180847,0.24681736528873444,0.1461830586194992,0.11429212987422943,0.23244257271289825,0.07379500567913055,0.19246025383472443,0.2716418504714966,0.17460165917873383
victoria,0.1194850504398346,0.1633591204881668,0.2204313427209854,0.1758345663547516,0.12138955295085907,0.2505437433719635,0.2204313427209854,0.14771920442581177,0.18559011816978455,0.15216270089149475,0.06206126511096954,0.10168599337339401,0.16110146045684814,0.12246892601251602
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.17507809400558472,0.23531168699264526,0.4069072902202606,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.008974763564765453,0.24680811166763306,0.20817555487155914,0.18412111699581146
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2297804355621338,0.21806180477142334,0.3966929316520691,0.5107308030128479,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.0026888418942689896,0.2521604001522064,0.2229088544845581,0.2714994251728058
22,0.02076123282313347,-0.027378425002098083,0.01572294719517231,-0.050071679055690765,-0.062216926366090775,-0.029035527259111404,0.01572294719517231,0.06892254948616028,-0.017741354182362556,-0.028262944892048836,0.004780278075486422,-0.049393992871046066,0.001578429015353322,0.06663474440574646
june,0.2171148657798767,0.2469720095396042,0.24568822979927063,0.11237150430679321,0.2009596973657608,0.19721001386642456,0.24568822979927063,0.18499509990215302,0.0997723937034607,0.24822495877742767,-0.0547623410820961,0.23486952483654022,0.19981545209884644,0.31416764855384827
1857,0.09442341327667236,0.05588918551802635,0.04397021234035492,0.08980006724596024,0.06558119505643845,0.10165759176015854,0.04397021234035492,-0.011745571158826351,-0.04463411867618561,0.05741613730788231,0.060400959104299545,0.05604756996035576,0.012235048227012157,0.07002107053995132
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22292393445968628,0.2508279085159302,0.5352458953857422,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,-0.003708066651597619,0.2367454320192337,0.2886379361152649,0.4130953550338745
