,where,did,tesla,move,in,1881,?
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.23030683398246765,1.0,-0.10154677927494049,0.20430970191955566
1881,-0.14688481390476227,-0.17786768078804016,-0.06342737376689911,-0.05213140323758125,-0.10154677927494049,1.0,-0.059600044041872025
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.25767531991004944,0.5201468467712402,-0.049472250044345856,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.14545100927352905,0.17097744345664978,-0.06342737376689911,0.10250775516033173
moved,0.39481642842292786,0.27509647607803345,0.09426514059305191,0.5574866533279419,0.3323737680912018,-0.1661754995584488,0.15112607181072235
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.37858664989471436,0.45010748505592346,-0.16058410704135895,0.29463258385658264
budapest,0.24134184420108795,0.20056968927383423,0.30872756242752075,0.1097772866487503,0.21122121810913086,-0.11862148344516754,0.13112305104732513
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.37858664989471436,0.45010748505592346,-0.16058410704135895,0.29463258385658264
work,0.2737104296684265,0.336654931306839,0.2545209228992462,0.34735122323036194,0.2753349542617798,-0.14237943291664124,0.2621155381202698
under,0.35552138090133667,0.20815621316432953,0.122123122215271,0.16310173273086548,0.2535393238067627,-0.08049400895833969,0.18233340978622437
ferenc,0.16742150485515594,0.17145906388759613,0.31838393211364746,0.05705130472779274,0.20354926586151123,-0.10919652134180069,0.1401035487651825
puskás,0.12411389499902725,0.171345055103302,0.3021250367164612,0.19257625937461853,0.19567552208900452,-0.007871536538004875,0.15187932550907135
at,0.4402937591075897,0.28390252590179443,0.16552478075027466,0.21947361528873444,0.4374977946281433,-0.14114530384540558,0.21978627145290375
a,0.40997210144996643,0.2552328109741211,0.2211925983428955,0.2925316393375397,0.539380669593811,0.0017998192925006151,0.23916715383529663
telegraph,0.19231189787387848,0.16284510493278503,0.24232685565948486,0.19167998433113098,0.20878101885318756,-0.07605547457933426,0.07475808262825012
company,0.21870826184749603,0.16800642013549805,0.23045730590820312,0.11740728467702866,0.22141718864440918,-0.1369672417640686,0.12195809185504913
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.25767531991004944,0.5201468467712402,-0.049472250044345856,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,0.1324402391910553,0.29817628860473633,0.6662389636039734,-0.08058736473321915,0.22068053483963013
budapest,0.24134184420108795,0.20056968927383423,0.30872756242752075,0.1097772866487503,0.21122121810913086,-0.11862148344516754,0.13112305104732513
telephone,0.17494338750839233,0.15489530563354492,0.2969077527523041,0.13918042182922363,0.2529275715351105,-0.03848123550415039,0.13201479613780975
exchange,0.2530694901943207,0.07428870350122452,0.11101709306240082,0.21890993416309357,0.21970009803771973,-0.0625581443309784,0.048212938010692596
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.31650546193122864,0.5591574311256409,-0.054367564618587494,0.4130953550338745
