,what,is,the,largest,general,further,education,college,in,the,north,east,?
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.17620566487312317,0.0885092094540596,0.17231382429599762,0.14192505180835724,0.22403597831726074,0.19270820915699005,0.2253497689962387,0.28581127524375916,0.2158811092376709,0.0902252271771431
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.11632684618234634,0.1315617859363556,0.12696920335292816,0.5861870050430298,0.569277286529541,0.26157811284065247,0.22953221201896667,0.1908665895462036,0.21388797461986542,0.15091250836849213
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.13215672969818115,0.23497237265110016,0.26543480157852173,0.27265021204948425,0.22815082967281342,0.4322226941585541,0.4739971458911896,0.17560088634490967,0.20268000662326813,0.264628142118454
boys,0.17170795798301697,0.14515718817710876,0.17442311346530914,-0.00038300349842756987,0.060006093233823776,0.11061392724514008,0.29731401801109314,0.2614026963710785,0.2182031273841858,0.17442311346530914,0.14842528104782104,0.14806118607521057,0.1407768875360489
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.20144300162792206,0.13372796773910522,0.18778188526630402,0.15433147549629211,0.5394441485404968,0.5823672413825989,0.2993389368057251,0.2596127688884735,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.28634732961654663,0.32531118392944336,0.23982903361320496,0.19751401245594025,0.6662389636039734,1.0,0.36298373341560364,0.3383176326751709,0.22068053483963013
only,0.41415658593177795,0.44708555936813354,0.5497692227363586,0.28453540802001953,0.22796879708766937,0.24467988312244415,0.19429552555084229,0.17523331940174103,0.42992329597473145,0.5497692227363586,0.25249361991882324,0.24212482571601868,0.2767370045185089
independent,0.28752967715263367,0.19700974225997925,0.2927691638469696,0.1782517433166504,0.2086195945739746,0.17831780016422272,0.2402363270521164,0.1834486573934555,0.2794609069824219,0.2927691638469696,0.19788014888763428,0.1809912621974945,0.11902587860822678
boys,0.17170795798301697,0.14515718817710876,0.17442311346530914,-0.00038300349842756987,0.060006093233823776,0.11061392724514008,0.29731401801109314,0.2614026963710785,0.2182031273841858,0.17442311346530914,0.14842528104782104,0.14806118607521057,0.1407768875360489
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.23450976610183716,0.21463115513324738,0.13489969074726105,0.17848768830299377,0.17710594832897186,0.4158826768398285,0.474788099527359,0.20784355700016022,0.1744738072156906,0.330942302942276
only,0.41415658593177795,0.44708555936813354,0.5497692227363586,0.28453540802001953,0.22796879708766937,0.24467988312244415,0.19429552555084229,0.17523331940174103,0.42992329597473145,0.5497692227363586,0.25249361991882324,0.24212482571601868,0.2767370045185089
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.11632684618234634,0.1315617859363556,0.12696920335292816,0.5861870050430298,0.569277286529541,0.26157811284065247,0.22953221201896667,0.1908665895462036,0.21388797461986542,0.15091250836849213
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.259066641330719,0.233941450715065,0.2654339671134949,0.2160365730524063,1.0,0.6662389636039734,0.39050599932670593,0.32659441232681274,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.28634732961654663,0.32531118392944336,0.23982903361320496,0.19751401245594025,0.6662389636039734,1.0,0.36298373341560364,0.3383176326751709,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.3647192716598511,0.14514240622520447,0.07544324547052383,0.26312902569770813,0.28868162631988525,0.3911624252796173,0.35769423842430115,0.3820379972457886,0.3674589693546295,0.13423943519592285
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.25860127806663513,0.3426179587841034,0.308173805475235,0.24619808793067932,0.4954058527946472,0.5171257257461548,0.2776443064212799,0.27633291482925415,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.20144300162792206,0.13372796773910522,0.18778188526630402,0.15433147549629211,0.5394441485404968,0.5823672413825989,0.2993389368057251,0.2596127688884735,0.22961433231830597
situated,0.21471437811851501,0.36439594626426697,0.3139766454696655,0.35248929262161255,0.1854851245880127,0.21636223793029785,0.16638754308223724,0.16644543409347534,0.3646708130836487,0.3139766454696655,0.3588326871395111,0.41682085394859314,0.039639271795749664
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.259066641330719,0.233941450715065,0.2654339671134949,0.2160365730524063,1.0,0.6662389636039734,0.39050599932670593,0.32659441232681274,0.20430970191955566
gosforth,0.20700876414775848,0.32083404064178467,0.3921199142932892,0.2398155927658081,0.1331811249256134,0.2603420913219452,0.18490460515022278,0.28028222918510437,0.34992244839668274,0.3921199142932892,0.4352641701698303,0.34782662987709045,0.14388786256313324
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.2929490804672241,0.25690746307373047,0.27047446370124817,0.24378922581672668,0.5591574311256409,0.5934505462646484,0.3171539604663849,0.28351864218711853,0.4130953550338745
