,in,dioxygen,how,are,the,two,oxygen,atoms,bonded,together,?
in,1.0,0.21299557387828827,0.2601168751716614,0.3841303884983063,0.6662389636039734,0.36463531851768494,0.1672476977109909,0.1795038878917694,0.23194243013858795,0.3252169191837311,0.20430970191955566
this,0.45205554366111755,0.3447919189929962,0.45272302627563477,0.35762670636177063,0.6274310946464539,0.33004114031791687,0.31131085753440857,0.3061743974685669,0.28525564074516296,0.278789222240448,0.3155723512172699
dioxygen,0.21299557387828827,1.0,0.2575671076774597,0.2914331257343292,0.2871758043766022,0.25695866346359253,0.9219944477081299,0.4960639178752899,0.4558175802230835,0.24784612655639648,0.18348100781440735
",",0.5201468467712402,0.2609575390815735,0.22659391164779663,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.21812842786312103,0.19749411940574646,0.2624285817146301,0.2912277579307556,0.31091248989105225
the,0.6662389636039734,0.2871758043766022,0.33890387415885925,0.40399202704429626,1.0,0.43858039379119873,0.20428593456745148,0.1997222602367401,0.24132317304611206,0.26662585139274597,0.22068053483963013
two,0.36463531851768494,0.25695866346359253,0.2499001920223236,0.46276170015335083,0.43858039379119873,1.0000001192092896,0.22778019309043884,0.29314860701560974,0.35713228583335876,0.4355287551879883,0.19645625352859497
oxygen,0.1672476977109909,0.9219944477081299,0.21928748488426208,0.24342744052410126,0.20428593456745148,0.22778019309043884,0.9999999403953552,0.5021464228630066,0.4426610767841339,0.23404118418693542,0.16786395013332367
atoms,0.1795038878917694,0.4960639178752899,0.3024098575115204,0.271334171295166,0.1997222602367401,0.29314860701560974,0.5021464228630066,1.0000001192092896,0.5836569666862488,0.40580427646636963,0.17423541843891144
are,0.3841303884983063,0.2914331257343292,0.311818927526474,1.0,0.40399202704429626,0.46276170015335083,0.24342744052410126,0.271334171295166,0.2922905683517456,0.3098504841327667,0.24591213464736938
chemically,0.221698597073555,0.45268145203590393,0.3166521489620209,0.4054991900920868,0.23508980870246887,0.24579447507858276,0.4756338894367218,0.4993044137954712,0.46596741676330566,0.201995849609375,0.1724332720041275
bonded,0.23194243013858795,0.4558175802230835,0.2205178588628769,0.2922905683517456,0.24132317304611206,0.35713228583335876,0.4426610767841339,0.5836569666862488,1.0,0.4290899336338043,0.1989525854587555
