,after,the,lisbon,treaty,",",the,charter,and,the,convention,now,co-exist,under,what,?
in,0.44050168991088867,0.6662389636039734,0.23103228211402893,0.22333456575870514,0.5201468467712402,0.6662389636039734,0.20881880819797516,0.4954058527946472,0.6662389636039734,0.22991126775741577,0.3619694113731384,0.222116619348526,0.2535393238067627,0.30808621644973755,0.20430970191955566
effect,0.206547811627388,0.2865084111690521,0.18618102371692657,0.2629944682121277,0.2150653600692749,0.2865084111690521,0.13046276569366455,0.23508284986019135,0.2865084111690521,0.26433491706848145,0.12529131770133972,0.25817522406578064,0.20166052877902985,0.2546532452106476,0.1783771812915802
",",0.38860568404197693,0.4933079481124878,0.23894961178302765,0.21270246803760529,1.0000001192092896,0.4933079481124878,0.25566044449806213,0.6633074283599854,0.4933079481124878,0.2018413096666336,0.43216821551322937,0.34582313895225525,0.24875585734844208,0.3087472915649414,0.31091248989105225
after,1.0,0.4565047025680542,0.22024065256118774,0.19187407195568085,0.38860568404197693,0.4565047025680542,0.22365525364875793,0.3765919506549835,0.4565047025680542,0.14133590459823608,0.30156397819519043,0.08473384380340576,0.2883138358592987,0.21973377466201782,0.16608688235282898
the,0.4565047025680542,1.0,0.28707155585289,0.2690109610557556,0.4933079481124878,1.0,0.26436546444892883,0.5171257257461548,1.0,0.2588678300380707,0.38266420364379883,0.23971277475357056,0.3348022699356079,0.42745697498321533,0.22068053483963013
lisbon,0.22024065256118774,0.28707155585289,1.0000001192092896,0.3112119436264038,0.23894961178302765,0.28707155585289,0.288802832365036,0.18415111303329468,0.28707155585289,0.21600623428821564,0.16312921047210693,0.04669034853577614,0.14408858120441437,0.1698790043592453,0.14563871920108795
treaty,0.19187407195568085,0.2690109610557556,0.3112119436264038,1.0,0.21270246803760529,0.2690109610557556,0.39000245928764343,0.1592116355895996,0.2690109610557556,0.44634750485420227,0.169672429561615,0.16094240546226501,0.24186494946479797,0.17237819731235504,0.1174844279885292
",",0.38860568404197693,0.4933079481124878,0.23894961178302765,0.21270246803760529,1.0000001192092896,0.4933079481124878,0.25566044449806213,0.6633074283599854,0.4933079481124878,0.2018413096666336,0.43216821551322937,0.34582313895225525,0.24875585734844208,0.3087472915649414,0.31091248989105225
the,0.4565047025680542,1.0,0.28707155585289,0.2690109610557556,0.4933079481124878,1.0,0.26436546444892883,0.5171257257461548,1.0,0.2588678300380707,0.38266420364379883,0.23971277475357056,0.3348022699356079,0.42745697498321533,0.22068053483963013
charter,0.22365525364875793,0.26436546444892883,0.288802832365036,0.39000245928764343,0.25566044449806213,0.26436546444892883,1.0000001192092896,0.21405354142189026,0.26436546444892883,0.3197486698627472,0.2330981194972992,0.18888065218925476,0.1964678317308426,0.13714581727981567,0.14220231771469116
and,0.3765919506549835,0.5171257257461548,0.18415111303329468,0.1592116355895996,0.6633074283599854,0.5171257257461548,0.21405354142189026,1.0,0.5171257257461548,0.225796639919281,0.35309651494026184,0.27988743782043457,0.3005301356315613,0.31309178471565247,0.20544172823429108
the,0.4565047025680542,1.0,0.28707155585289,0.2690109610557556,0.4933079481124878,1.0,0.26436546444892883,0.5171257257461548,1.0,0.2588678300380707,0.38266420364379883,0.23971277475357056,0.3348022699356079,0.42745697498321533,0.22068053483963013
convention,0.14133590459823608,0.2588678300380707,0.21600623428821564,0.44634750485420227,0.2018413096666336,0.2588678300380707,0.3197486698627472,0.225796639919281,0.2588678300380707,1.0000001192092896,0.21219925582408905,0.18606974184513092,0.19530701637268066,0.17446810007095337,0.1647067815065384
now,0.30156397819519043,0.38266420364379883,0.16312921047210693,0.169672429561615,0.43216821551322937,0.38266420364379883,0.2330981194972992,0.35309651494026184,0.38266420364379883,0.21219925582408905,1.0,0.22177013754844666,0.2369835525751114,0.4903225302696228,0.29641881585121155
co-exist,0.08473384380340576,0.23971277475357056,0.04669034853577614,0.16094240546226501,0.34582313895225525,0.23971277475357056,0.18888065218925476,0.27988743782043457,0.23971277475357056,0.18606974184513092,0.22177013754844666,1.0,0.18137341737747192,0.3398248553276062,0.3453633189201355
under,0.2883138358592987,0.3348022699356079,0.14408858120441437,0.24186494946479797,0.24875585734844208,0.3348022699356079,0.1964678317308426,0.3005301356315613,0.3348022699356079,0.19530701637268066,0.2369835525751114,0.18137341737747192,0.9999999403953552,0.20154598355293274,0.18233340978622437
european,0.17162996530532837,0.3423081040382385,0.2833424210548401,0.25059598684310913,0.19684812426567078,0.3423081040382385,0.334158331155777,0.24143946170806885,0.3423081040382385,0.21703866124153137,0.1185959205031395,0.1811886578798294,0.17218957841396332,0.15324164927005768,0.14560863375663757
union,0.18530848622322083,0.24421639740467072,0.21547867357730865,0.3147597312927246,0.2362271547317505,0.24421639740467072,0.24181725084781647,0.2594362497329712,0.24421639740467072,0.2659381330013275,0.19606991112232208,0.231153205037117,0.1701658070087433,0.1396910548210144,0.07797172665596008
law,0.20143088698387146,0.24548950791358948,0.15561380982398987,0.3302869200706482,0.24953721463680267,0.24548950791358948,0.3311116695404053,0.254730761051178,0.24548950791358948,0.3507947623729706,0.222407266497612,0.23238974809646606,0.2181660532951355,0.2145031988620758,0.1528988480567932
",",0.38860568404197693,0.4933079481124878,0.23894961178302765,0.21270246803760529,1.0000001192092896,0.4933079481124878,0.25566044449806213,0.6633074283599854,0.4933079481124878,0.2018413096666336,0.43216821551322937,0.34582313895225525,0.24875585734844208,0.3087472915649414,0.31091248989105225
