,when,was,the,wedding,banquet,celebrated,?
the,0.5091903209686279,0.48711544275283813,1.0,0.22881533205509186,0.30202651023864746,0.27264803647994995,0.22068053483963013
ceremonial,0.15642063319683075,0.23100055754184723,0.2927478849887848,0.44523826241493225,0.30633971095085144,0.3323557376861572,0.09091628342866898
walk,0.19177061319351196,0.18186725676059723,0.2452576905488968,0.2732226550579071,0.2705587148666382,0.17161203920841217,0.16110530495643616
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.22375723719596863,0.2525652348995209,0.18332241475582123,0.29463258385658264
the,0.5091903209686279,0.48711544275283813,1.0,0.22881533205509186,0.30202651023864746,0.27264803647994995,0.22068053483963013
church,0.20053261518478394,0.24960921704769135,0.23846197128295898,0.2952718436717987,0.24423925578594208,0.27179086208343506,0.18081501126289368
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.18421560525894165,0.22494055330753326,0.19334107637405396,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,1.0,0.22881533205509186,0.30202651023864746,0.27264803647994995,0.22068053483963013
wedding,0.19342458248138428,0.18746258318424225,0.22881533205509186,1.0,0.4292353391647339,0.4091587960720062,0.13745874166488647
banquet,0.20948566496372223,0.25470322370529175,0.30202651023864746,0.4292353391647339,1.0000001192092896,0.34841129183769226,0.1380765587091446
were,0.29649975895881653,0.590133786201477,0.3906462490558624,0.19901186227798462,0.2470049262046814,0.18756923079490662,0.17890112102031708
left,0.3236202895641327,0.21956826746463776,0.33113980293273926,0.1947280615568161,0.1626042276620865,0.05838669836521149,0.13251960277557373
out,0.45263928174972534,0.28168347477912903,0.39404502511024475,0.20069953799247742,0.20721600949764252,0.17634035646915436,0.22020699083805084
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.1998375803232193,0.2638748586177826,0.2734745144844055,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.18421560525894165,0.22494055330753326,0.19334107637405396,0.20544172823429108
were,0.29649975895881653,0.590133786201477,0.3906462490558624,0.19901186227798462,0.2470049262046814,0.18756923079490662,0.17890112102031708
made,0.2936893105506897,0.3433256447315216,0.3885267674922943,0.13773104548454285,0.17504946887493134,0.20866639912128448,0.17218779027462006
up,0.3850642144680023,0.24070115387439728,0.38423117995262146,0.20414526760578156,0.12629003822803497,0.12461955100297928,0.1819818764925003
two,0.3743424117565155,0.27166637778282166,0.43858039379119873,0.19581648707389832,0.16556543111801147,0.18025994300842285,0.19645625352859497
weeks,0.3081195652484894,0.24201828241348267,0.2713429629802704,0.21025799214839935,0.24828669428825378,0.22745411098003387,0.21667936444282532
later,0.4627884030342102,0.5684447288513184,0.4060266613960266,0.20099598169326782,0.23762910068035126,0.22217394411563873,0.1417175978422165
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.16322089731693268,0.19860894978046417,0.2213377207517624,0.2714994251728058
27,-0.042299967259168625,0.07487557828426361,0.02698022499680519,0.04527457430958748,0.0165574848651886,0.09205689281225204,0.036716945469379425
june,0.2469879388809204,0.42821118235588074,0.24568822979927063,0.17448195815086365,0.1571955680847168,0.21247605979442596,0.31416764855384827
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2239087074995041,0.262433260679245,0.22366653382778168,0.4130953550338745
