,how,is,the,climate,near,the,savannah,grasslands,?
kenya,0.17591707408428192,0.17591087520122528,0.21657514572143555,0.18503479659557343,0.23386359214782715,0.21657514572143555,0.3100767433643341,0.33241304755210876,0.17197901010513306
has,0.26820555329322815,0.5668748617172241,0.4177538752555847,0.2747833728790283,0.1869899034500122,0.4177538752555847,0.1403130143880844,0.20679143071174622,0.15994466841220856
a,0.29312583804130554,0.658733606338501,0.5829201340675354,0.1805623322725296,0.25033900141716003,0.5829201340675354,0.19778452813625336,0.22720737755298615,0.23916715383529663
warm,0.2252393364906311,0.26076000928878784,0.2764509320259094,0.5317013263702393,0.2103417068719864,0.2764509320259094,0.23789559304714203,0.3536209464073181,0.15442228317260742
and,0.33647966384887695,0.3859752118587494,0.5171257257461548,0.2292918860912323,0.25046437978744507,0.5171257257461548,0.2758953273296356,0.31023848056793213,0.20544172823429108
humid,0.13888505101203918,0.25700077414512634,0.23037055134773254,0.676008403301239,0.3123426139354706,0.23037055134773254,0.31557419896125793,0.5200627446174622,0.18080666661262512
tropical,0.17769747972488403,0.17290179431438446,0.18640398979187012,0.37714511156082153,0.15723054111003876,0.18640398979187012,0.30278289318084717,0.4074876606464386,0.16629411280155182
climate,0.23680974543094635,0.26601269841194153,0.2693597674369812,1.0000001192092896,0.19921007752418518,0.2693597674369812,0.3540549874305725,0.42539891600608826,0.19998492300510406
on,0.32655060291290283,0.3635730445384979,0.5107308030128479,0.23228000104427338,0.3508072793483734,0.5107308030128479,0.23052701354026794,0.20152418315410614,0.2714994251728058
its,0.22449488937854767,0.4447362422943115,0.559237003326416,0.25045743584632874,0.24676969647407532,0.559237003326416,0.2007276713848114,0.2129649966955185,0.15103481709957123
indian,0.11030323803424835,0.18886174261569977,0.23407642543315887,0.14051803946495056,0.15078191459178925,0.23407642543315887,0.2378389686346054,0.20363378524780273,0.09909533709287643
ocean,0.17809687554836273,0.2728777229785919,0.3185477554798126,0.34318622946739197,0.2497960925102234,0.3185477554798126,0.2347126603126526,0.3313939571380615,0.15205028653144836
coastline,0.2088284194469452,0.25625133514404297,0.2835710942745209,0.3260265290737152,0.2977864742279053,0.2835710942745209,0.24080723524093628,0.40185806155204773,0.17697879672050476
