,what,happened,to,dane,?
dane,0.16443581879138947,0.12448715418577194,0.18569901585578918,0.9999999403953552,0.15775646269321442
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.22684833407402039,0.18412111699581146
killed,0.1862335354089737,0.4498272240161896,0.1682852953672409,0.13981522619724274,0.17928971350193024
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.25265949964523315,0.20430970191955566
a,0.3320399522781372,0.2774496078491211,0.45503583550453186,0.21759122610092163,0.23916715383529663
horse-riding,0.23161165416240692,0.20120984315872192,0.2632902264595032,0.19253309071063995,0.11790699511766434
accident,0.2266911268234253,0.41394057869911194,0.16931231319904327,0.2188848853111267,0.13474830985069275
when,0.4700249433517456,0.3786315619945526,0.5423505902290344,0.1710963398218155,0.22841128706932068
nikola,0.1137276440858841,0.09679606556892395,0.09627079218626022,0.19596564769744873,0.06297405064105988
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.22684833407402039,0.18412111699581146
five,0.18688078224658966,0.2066681981086731,0.29041585326194763,0.1794290542602539,0.18342848122119904
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.22027665376663208,0.4130953550338745
