,what,country,'s,schools,have,codes,of,behavior,that,are,very,strict,?
in,0.30808621644973755,0.3040012717247009,-0.037580832839012146,0.2632134258747101,0.36843645572662354,0.2638666331768036,0.5696388483047485,0.13157719373703003,0.435920387506485,0.3841303884983063,0.3209688663482666,0.1768643707036972,0.20430970191955566
japan,0.1865565925836563,0.25777024030685425,-0.0463767908513546,0.15811945497989655,0.17576387524604797,0.14512798190116882,0.2358245700597763,0.08217431604862213,0.20976011455059052,0.14791998267173767,0.20778001844882965,0.1542341262102127,0.1312343180179596
",",0.3087472915649414,0.27878350019454956,-0.0016132977325469255,0.2760516405105591,0.3541618287563324,0.2278735190629959,0.4946078956127167,0.1586613655090332,0.4137537479400635,0.4062570035457611,0.34709087014198303,0.2564427852630615,0.31091248989105225
for,0.3017193675041199,0.2644098401069641,-0.07241261005401611,0.2320515662431717,0.41175219416618347,0.2369149774312973,0.4185989499092102,0.24454578757286072,0.4137635827064514,0.3895993232727051,0.3639320731163025,0.2780303955078125,0.264628142118454
example,0.3456268310546875,0.19043707847595215,-0.045060764998197556,0.166231170296669,0.39606785774230957,0.3611525893211365,0.3570667505264282,0.31962865591049194,0.429897665977478,0.4108889698982239,0.37579405307769775,0.2247699797153473,0.30374911427497864
",",0.3087472915649414,0.27878350019454956,-0.0016132977325469255,0.2760516405105591,0.3541618287563324,0.2278735190629959,0.4946078956127167,0.1586613655090332,0.4137537479400635,0.4062570035457611,0.34709087014198303,0.2564427852630615,0.31091248989105225
although,0.24844598770141602,0.19152677059173584,0.06846998631954193,0.23875311017036438,0.4518011808395386,0.14226697385311127,0.3024747669696808,0.16185502707958221,0.4722958207130432,0.30740880966186523,0.43656402826309204,0.2943459451198578,0.15541206300258636
average,0.24068789184093475,0.15502749383449554,0.08544468134641647,0.1434432864189148,0.24795836210250854,0.21704904735088348,0.23717734217643738,0.16831229627132416,0.2513456642627716,0.25111138820648193,0.24336209893226624,0.0636325553059578,0.21764592826366425
attainment,0.19037768244743347,0.14663708209991455,0.0064374301582574844,0.2167149782180786,0.18885524570941925,0.12032129615545273,0.215433731675148,0.23105718195438385,0.21269670128822327,0.12658442556858063,0.14650259912014008,0.19930297136306763,0.0981084555387497
on,0.34226128458976746,0.21584933996200562,0.0026888418942689896,0.18452578783035278,0.36494916677474976,0.13458499312400818,0.3966929316520691,0.18496274948120117,0.42569106817245483,0.268924742937088,0.28276392817497253,0.15023045241832733,0.2714994251728058
standardized,0.22466516494750977,0.23333506286144257,-0.030616410076618195,0.28304412961006165,0.26294201612472534,0.4079674780368805,0.22872188687324524,0.23986808955669403,0.3150653541088104,0.2793743908405304,0.2171187847852707,0.28741955757141113,0.16858142614364624
tests,0.28057941794395447,0.14070890843868256,0.009089943021535873,0.29383814334869385,0.2966401278972626,0.20739875733852386,0.20151495933532715,0.27959057688713074,0.30062729120254517,0.29837971925735474,0.23213502764701843,0.15928545594215393,0.18650490045547485
