,what,is,the,virus,in,humans,that,causes,cervical,cancer,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2104095071554184,0.6662389636039734,0.29565489292144775,0.5473989248275757,0.2518732249736786,0.2891087830066681,0.22979216277599335,0.22068053483963013
antigens,0.1918221414089203,0.22038279473781586,0.2716159522533417,0.5007731914520264,0.18266505002975464,0.4517970681190491,0.2741839289665222,0.2979857325553894,0.3572382628917694,0.22862355411052704,0.21072189509868622
expressed,0.20227427780628204,0.18876376748085022,0.25207287073135376,0.08932607620954514,0.22785329818725586,0.2202269434928894,0.3005213737487793,0.2161567658185959,0.10761674493551254,0.09976891428232193,0.17175263166427612
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.18439868092536926,0.370934396982193,0.2043684720993042,0.37496164441108704,0.12588612735271454,0.1646965593099594,0.11157451570034027,0.17966607213020325
tumors,0.2539352476596832,0.20278756320476532,0.25303611159324646,0.4258151948451996,0.2281162291765213,0.3219773769378662,0.3281596004962921,0.3872917592525482,0.5932722091674805,0.5617096424102783,0.1883699893951416
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.21768438816070557,0.36843645572662354,0.3765040636062622,0.6182622313499451,0.23320406675338745,0.21221870183944702,0.12395014613866806,0.32991164922714233
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.16488079726696014,0.39405709505081177,0.20345087349414825,0.40009650588035583,0.1436481475830078,0.19549576938152313,0.17625784873962402,0.15595775842666626
sources,0.30212491750717163,0.2594712972640991,0.27209216356277466,0.12325800955295563,0.23531174659729004,0.1416350156068802,0.3673103451728821,0.19185486435890198,0.13556629419326782,0.17849420011043549,0.2886999845504761
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,-0.025417165830731392,0.092739537358284,0.021219851449131966,0.0633435994386673,-0.03568471968173981,0.0023246200289577246,0.015519959852099419,0.10349778085947037
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.25783395767211914,0.4010399878025055,0.38523387908935547,0.6049469113349915,0.25202733278274536,0.19988928735256195,0.12856726348400116,0.2562315762042999
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.19019201397895813,0.3841303884983063,0.35193100571632385,0.45265161991119385,0.21512891352176666,0.1856280416250229,0.12606437504291534,0.24591213464736938
derived,0.20143714547157288,0.2666328251361847,0.26961472630500793,0.05893656611442566,0.17734654247760773,0.17934052646160126,0.28356388211250305,0.11836352944374084,0.16259844601154327,0.13298101723194122,0.1241099163889885
