,what,shakespeare,scholar,is,a,faculty,member,at,harvard,?
harvard,0.2177114188671112,0.1655428111553192,0.3649042248725891,0.15387701988220215,0.24754071235656738,0.4679529070854187,0.2284860759973526,0.2837338149547577,1.0,0.11685016006231308
's,0.02692362666130066,-0.005174538120627403,0.040988847613334656,0.02396530658006668,0.04866964742541313,-0.007807043846696615,-0.031640440225601196,-0.08481216430664062,-0.06887804716825485,-0.023395681753754616
faculty,0.17261409759521484,0.09910226613283157,0.3727394938468933,0.15048952400684357,0.17407377064228058,1.0,0.2520431876182556,0.2896050810813904,0.4679529070854187,0.04951627925038338
includes,0.17138352990150452,0.10837531089782715,0.0613638199865818,0.4033885896205902,0.25086286664009094,0.19300302863121033,0.1735074520111084,0.21011501550674438,0.09483963996171951,0.14011523127555847
scholars,0.2640625238418579,0.30917248129844666,0.7482394576072693,0.18092486262321472,0.1878340095281601,0.37986016273498535,0.19356393814086914,0.16599124670028687,0.3701283037662506,0.11279910802841187
such,0.23989605903625488,0.19099712371826172,0.1541968733072281,0.23545363545417786,0.2706976532936096,0.17402894794940948,0.14228516817092896,0.15276408195495605,0.13503605127334595,0.17851735651493073
as,0.31749409437179565,0.1930408924818039,0.21052266657352448,0.43216490745544434,0.39550232887268066,0.1854499727487564,0.2264706939458847,0.28092536330223083,0.19990062713623047,0.27043893933296204
biologist,0.18255768716335297,0.10159003734588623,0.3823331296443939,0.19515138864517212,0.2163250595331192,0.3002142012119293,0.20850761234760284,0.14030806720256805,0.3270675539970398,0.176077201962471
e.,0.05773794278502464,0.038724664598703384,-0.08997087180614471,-0.027958322316408157,-0.02863171324133873,-0.07064539939165115,-0.03242247924208641,0.13379636406898499,-0.007530485279858112,0.04848470166325569
o.,-0.00868410337716341,0.07761939615011215,0.07948479801416397,-0.06064101308584213,-0.08424322307109833,-0.048954077064991,0.11671137809753418,0.005089156795293093,0.08136088401079178,0.07719738036394119
wilson,0.1282895803451538,0.11959174275398254,0.16375212371349335,0.09424737840890884,0.18023544549942017,0.16958270967006683,0.14752741158008575,0.22263136506080627,0.2803606688976288,0.1055358424782753
",",0.3087472915649414,0.211819127202034,0.27968740463256836,0.4691906273365021,0.427140474319458,0.24666790664196014,0.25757819414138794,0.38314947485923767,0.2719281017780304,0.31091248989105225
