,which,of,his,future,generals,joined,forces,with,temüjin,around,the,time,of,his,escape,from,the,tayichi'ud,?
[,0.07771235704421997,0.010817250236868858,0.07722601294517517,0.13009090721607208,0.01958804950118065,0.012730756774544716,0.09150326997041702,0.07157395780086517,0.038932010531425476,0.21334008872509003,0.07130392640829086,0.12537872791290283,0.010817250236868858,0.07722601294517517,0.18190428614616394,0.1347220540046692,0.07130392640829086,0.07312262058258057,0.011015460826456547
citation,0.26387810707092285,0.22959956526756287,0.2327781468629837,0.1927175670862198,0.18181872367858887,0.09761501848697662,0.21210981905460358,0.22510166466236115,0.21669171750545502,0.09730834513902664,0.2536581754684448,0.22479583323001862,0.22959956526756287,0.2327781468629837,0.14775115251541138,0.10613564401865005,0.2536581754684448,0.18752285838127136,0.3382055461406708
needed,0.3787943422794342,0.27215874195098877,0.1912635713815689,0.2529523968696594,0.19404062628746033,0.210988849401474,0.14061160385608673,0.33687737584114075,0.3117072284221649,0.2573012709617615,0.3064746856689453,0.3310089409351349,0.27215874195098877,0.1912635713815689,0.18884138762950897,0.22794225811958313,0.3064746856689453,0.16234171390533447,0.2863257825374603
],-0.0305959302932024,-0.035044461488723755,-0.008013250306248665,0.0011879178928211331,-0.021655505523085594,-0.0028132775332778692,-0.024723201990127563,-0.05078836530447006,-0.004418462980538607,-0.035989150404930115,-0.04779602214694023,0.03614058345556259,-0.035044461488723755,-0.008013250306248665,-0.09848271310329437,0.007451207842677832,-0.04779602214694023,-0.01249788235872984,-0.0022520492784678936
it,0.616637647151947,0.38761502504348755,0.2876833975315094,0.16666527092456818,0.14577150344848633,0.14989949762821198,0.19774912297725677,0.3369046747684479,0.33305618166923523,0.4002610445022583,0.6251175999641418,0.3375589847564697,0.38761502504348755,0.2876833975315094,0.19826669991016388,0.325604110956192,0.6251175999641418,0.19992129504680634,0.25732165575027466
was,0.2830964922904968,0.4069072902202606,0.4405253231525421,0.21697655320167542,0.25550490617752075,0.3172960579395294,0.22620010375976562,0.27411898970603943,0.38774195313453674,0.24039418995380402,0.48711544275283813,0.3641340136528015,0.4069072902202606,0.4405253231525421,0.15854816138744354,0.31171464920043945,0.48711544275283813,0.3241673707962036,0.18412111699581146
around,0.3772764205932617,0.3296394646167755,0.2113194763660431,0.12529218196868896,0.10439293831586838,0.16232182085514069,0.21115978062152863,0.3207509517669678,0.2838648855686188,1.0,0.40085816383361816,0.344309538602829,0.3296394646167755,0.2113194763660431,0.1799464374780655,0.3577364683151245,0.40085816383361816,0.1837574690580368,0.14729668200016022
this,0.6719430088996887,0.45148900151252747,0.3549620509147644,0.26451030373573303,0.20945905148983002,0.17137080430984497,0.24922366440296173,0.36358317732810974,0.38931000232696533,0.3444252610206604,0.6274310946464539,0.43249568343162537,0.45148900151252747,0.3549620509147644,0.20869894325733185,0.3469814360141754,0.6274310946464539,0.23646923899650574,0.3155723512172699
time,0.325231671333313,0.35127586126327515,0.3553589880466461,0.2887815833091736,0.26300960779190063,0.1746160387992859,0.19262591004371643,0.31862112879753113,0.33683308959007263,0.344309538602829,0.43061500787734985,0.9999998807907104,0.35127586126327515,0.3553589880466461,0.20568320155143738,0.2964353561401367,0.43061500787734985,0.27883270382881165,0.27391523122787476
that,0.6894589066505432,0.41498205065727234,0.3173833191394806,0.31481194496154785,0.2239207923412323,0.20437166094779968,0.24199660122394562,0.4154358208179474,0.4035418629646301,0.36311936378479004,0.5473989248275757,0.388528436422348,0.41498205065727234,0.3173833191394806,0.26162993907928467,0.3477667272090912,0.5473989248275757,0.23658570647239685,0.32716336846351624
