,inspired,by,shelley,what,was,the,name,of,gandhi,'s,doctrine,?
gandhi,0.21560481190681458,0.16666939854621887,0.26635316014289856,0.23243291676044464,0.183432474732399,0.23259694874286652,0.05361409857869148,0.2484963834285736,1.0,0.13761647045612335,0.26331627368927,0.18234050273895264
's,0.053430888801813126,-0.010884488001465797,-0.014250878244638443,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,0.13761647045612335,0.9999999403953552,-0.004191047511994839,-0.023395681753754616
satyagraha,0.29073792695999146,0.20328330993652344,0.19344012439250946,0.3866046965122223,0.3116372525691986,0.31148847937583923,0.15260164439678192,0.29975876212120056,0.6144656538963318,0.1384100466966629,0.34222155809402466,0.2565320134162903
was,0.3109425902366638,0.4752357602119446,0.25022226572036743,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.183432474732399,0.008974763564765453,0.1871018409729004,0.18412111699581146
partially,0.17220158874988556,0.32854780554771423,0.21290279924869537,0.24273231625556946,0.24514621496200562,0.27405473589897156,0.04189514368772507,0.23981168866157532,0.09600421041250229,0.02883117087185383,0.18321387469768524,0.10232327878475189
influenced,0.5196877717971802,0.37002116441726685,0.18678385019302368,0.22395093739032745,0.23784680664539337,0.18518297374248505,0.12506449222564697,0.25486209988594055,0.16733434796333313,-0.0006173446890898049,0.29824167490005493,0.1310873031616211
and,0.2447075992822647,0.4289871156215668,0.2692590653896332,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.20518991351127625,0.06895173341035843,0.16517424583435059,0.20544172823429108
inspired,1.0000001192092896,0.3305339515209198,0.24747391045093536,0.18111269176006317,0.3109425902366638,0.271378755569458,0.20591604709625244,0.2985292971134186,0.21560481190681458,0.053430888801813126,0.23705898225307465,0.1529090851545334
by,0.3305339515209198,1.0000001192092896,0.23383553326129913,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.16666939854621887,-0.010884488001465797,0.1644960641860962,0.17966607213020325
shelley,0.24747391045093536,0.23383553326129913,1.0,0.1713116317987442,0.25022226572036743,0.19734613597393036,0.1366296261548996,0.15595409274101257,0.26635316014289856,-0.014250878244638443,0.22468732297420502,0.16777275502681732
's,0.053430888801813126,-0.010884488001465797,-0.014250878244638443,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,0.13761647045612335,0.9999999403953552,-0.004191047511994839,-0.023395681753754616
