,what,type,of,train,would,some,of,the,proposed,new,routes,require,?
several,0.22446060180664062,0.13228869438171387,0.3271615505218506,0.14504070580005646,0.25656557083129883,0.6083422303199768,0.3271615505218506,0.40559855103492737,0.19297967851161957,0.299900621175766,0.17589923739433289,0.1867700070142746,0.15595775842666626
of,0.33290785551071167,0.18112817406654358,1.0,0.16048036515712738,0.3353942930698395,0.4300730526447296,1.0,0.733189046382904,0.26188141107559204,0.343457967042923,0.19020642340183258,0.20683176815509796,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22828160226345062,0.4133751392364502,0.4566698372364044,0.733189046382904,1.0,0.23840250074863434,0.3845241069793701,0.2368125319480896,0.17356595396995544,0.22068053483963013
proposed,0.22754324972629547,0.11443158239126205,0.26188141107559204,0.1530860960483551,0.38949111104011536,0.2132432460784912,0.26188141107559204,0.23840250074863434,1.0,0.2769516408443451,0.21485084295272827,0.18405795097351074,0.24553193151950836
routes,0.20309355854988098,0.13194496929645538,0.19020642340183258,0.4063139855861664,0.21070070564746857,0.2242531031370163,0.19020642340183258,0.2368125319480896,0.21485084295272827,0.16489291191101074,1.0,0.21771946549415588,0.10893595963716507
would,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.2159312218427658,1.0000001192092896,0.43457192182540894,0.3353942930698395,0.4133751392364502,0.38949111104011536,0.30488598346710205,0.21070070564746857,0.36772701144218445,0.37178951501846313
require,0.2487315833568573,0.2650587558746338,0.20683176815509796,0.14783774316310883,0.36772701144218445,0.3806331753730774,0.20683176815509796,0.17356595396995544,0.18405795097351074,0.16659380495548248,0.21771946549415588,0.9999998807907104,0.2463286817073822
trams,0.20539280772209167,0.16111493110656738,0.1724601835012436,0.49923139810562134,0.23483043909072876,0.20942805707454681,0.1724601835012436,0.2196827530860901,0.21721965074539185,0.17118561267852783,0.4465949535369873,0.16782136261463165,0.2032332569360733
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.1829872727394104,0.3824005722999573,0.4293700158596039,0.3886612355709076,0.48381632566452026,0.2582518458366394,0.24585270881652832,0.21876592934131622,0.23686568439006805,0.27043893933296204
opposed,0.35573211312294006,0.1574188768863678,0.25387564301490784,0.12806609272956848,0.3832801580429077,0.3144407272338867,0.25387564301490784,0.24302934110164642,0.4300838112831116,0.16308404505252838,0.17775657773017883,0.23903392255306244,0.23428945243358612
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.23553375899791718,0.5965728163719177,0.4636894166469574,0.41548454761505127,0.535392165184021,0.28162798285484314,0.33159172534942627,0.2783066928386688,0.29503753781318665,0.29463258385658264
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22828160226345062,0.4133751392364502,0.4566698372364044,0.733189046382904,1.0,0.23840250074863434,0.3845241069793701,0.2368125319480896,0.17356595396995544,0.22068053483963013
current,0.18294453620910645,0.0784337967634201,0.31470298767089844,0.10882816463708878,0.2518114745616913,0.17486277222633362,0.31470298767089844,0.3314409554004669,0.29263535141944885,0.28200507164001465,0.138924703001976,0.19491317868232727,0.12074550241231918
light,0.22953972220420837,0.21801303327083588,0.18257063627243042,0.27562156319618225,0.2399783730506897,0.24385517835617065,0.18257063627243042,0.2649136185646057,0.1580127626657486,0.15100477635860443,0.1771990954875946,0.22137108445167542,0.17429810762405396
rail,0.1369147002696991,0.20728597044944763,0.18577207624912262,0.5661426782608032,0.1964462250471115,0.131391242146492,0.18577207624912262,0.2306264042854309,0.23027002811431885,0.18017137050628662,0.44116970896720886,0.16286273300647736,0.1349031925201416
trains,0.17798206210136414,0.20545436441898346,0.16788527369499207,0.8071229457855225,0.2676054835319519,0.22009778022766113,0.16788527369499207,0.2246430516242981,0.2232465147972107,0.17159156501293182,0.5037563443183899,0.1745007038116455,0.12280461937189102
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22884486615657806,0.35067233443260193,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.22405166923999786,0.35031336545944214,0.22956746816635132,0.21465444564819336,0.4130953550338745
