,what,do,n't,chloroplastidan,chloroplasts,have,?
chloroplastidan,0.24886900186538696,0.2733236849308014,0.021286768838763237,1.0000001192092896,0.9502993226051331,0.3009839355945587,0.16522066295146942
chloroplasts,0.2524593770503998,0.2621478736400604,-0.03901694342494011,0.9502993226051331,0.9999999403953552,0.29091566801071167,0.13049766421318054
have,0.39808809757232666,0.49831271171569824,-0.1346980780363083,0.3009839355945587,0.29091566801071167,0.9999999403953552,0.32991164922714233
lost,0.198215052485466,0.18240030109882355,-0.10581565648317337,0.15434196591377258,0.1645273119211197,0.2670711576938629,0.15261413156986237
the,0.42745697498321533,0.30239659547805786,-0.11449059844017029,0.21736504137516022,0.23062430322170258,0.40389683842658997,0.22068053483963013
peptidoglycan,0.2580682039260864,0.31981363892555237,0.00822057668119669,0.7479983568191528,0.731687068939209,0.3789563477039337,0.19503355026245117
wall,0.164457768201828,0.146332785487175,-0.0817791074514389,0.26194897294044495,0.2721993327140808,0.19845415651798248,0.06349854171276093
between,0.2462156116962433,0.14014670252799988,-0.08981748670339584,0.1503525972366333,0.14564503729343414,0.3203330636024475,0.12887074053287506
their,0.35142919421195984,0.35424983501434326,-0.18087446689605713,0.2546679675579071,0.2906811833381653,0.523270845413208,0.1898253709077835
double,0.16209302842617035,0.12869450449943542,-0.07670570909976959,0.2896231412887573,0.26824215054512024,0.2026015967130661,0.10017921775579453
membrane,0.1647152304649353,0.2031068652868271,0.01993781141936779,0.6146572232246399,0.6331068873405457,0.303412526845932,0.18908235430717468
",",0.3087472915649414,0.3283645510673523,0.11016341298818588,0.23527537286281586,0.20794041454792023,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.276123583316803,-0.0602874718606472,0.225018709897995,0.21511349081993103,0.4711785912513733,0.20544172823429108
have,0.39808809757232666,0.49831271171569824,-0.1346980780363083,0.3009839355945587,0.29091566801071167,0.9999999403953552,0.32991164922714233
replaced,0.12975038588047028,0.14339624345302582,-0.04637522995471954,0.172247052192688,0.1447097659111023,0.19048047065734863,0.14945141971111298
it,0.45803478360176086,0.337066113948822,-0.08058576285839081,0.24135684967041016,0.24210065603256226,0.40974161028862,0.25732165575027466
with,0.2464839518070221,0.23744353652000427,-0.11462879180908203,0.20732401311397552,0.20506612956523895,0.48046383261680603,0.2433311939239502
an,0.2821882665157318,0.25865980982780457,0.07694102823734283,0.16810688376426697,0.15571507811546326,0.22897054255008698,0.19793890416622162
intermembrane,0.16235193610191345,0.21836766600608826,0.05632277578115463,0.6231366395950317,0.6393285393714905,0.30536097288131714,0.16901689767837524
space,0.20525942742824554,0.17791397869586945,0.03078136034309864,0.2250324785709381,0.2277369499206543,0.22874028980731964,0.1885536164045334
.,0.3567904531955719,0.3613996207714081,0.01884327083826065,0.2637428343296051,0.23868323862552643,0.41614407300949097,0.4130953550338745
