,for,which,abc,movie,of,the,week,film,did,steven,spielberg,first,gain,success,?
the,0.4739971458911896,0.6521818041801453,0.2068762183189392,0.2636405825614929,0.733189046382904,1.0,0.28402599692344666,0.2824619710445404,0.34736719727516174,0.21446210145950317,0.27378904819488525,0.49448907375335693,0.2682225704193115,0.2764457166194916,0.22068053483963013
movie,0.22823558747768402,0.18620790541172028,0.24821209907531738,1.0,0.2027330845594406,0.2636405825614929,0.20578457415103912,0.7101938724517822,0.2057092785835266,0.415337473154068,0.5566684603691101,0.236066535115242,0.16622865200042725,0.26087549328804016,0.18408656120300293
of,0.4185989499092102,0.5011631846427917,0.14607268571853638,0.2027330845594406,1.0,0.733189046382904,0.17998629808425903,0.22166931629180908,0.2513895630836487,0.20107577741146088,0.21589519083499908,0.3536086082458496,0.27324017882347107,0.20485365390777588,0.1826142966747284
the,0.4739971458911896,0.6521818041801453,0.2068762183189392,0.2636405825614929,0.733189046382904,1.0,0.28402599692344666,0.2824619710445404,0.34736719727516174,0.21446210145950317,0.27378904819488525,0.49448907375335693,0.2682225704193115,0.2764457166194916,0.22068053483963013
week,0.3263654112815857,0.24782997369766235,0.2554396390914917,0.20578457415103912,0.17998629808425903,0.28402599692344666,0.9999998807907104,0.18205526471138,0.2459598332643509,0.13630351424217224,0.16591736674308777,0.24834974110126495,0.20391128957271576,0.23371443152427673,0.25105318427085876
broadcast,0.2546502649784088,0.26385819911956787,0.4876510202884674,0.31659966707229614,0.20155203342437744,0.2713715434074402,0.26139819622039795,0.3051234781742096,0.17054221034049988,0.20716676115989685,0.2462363988161087,0.2604263722896576,0.12811702489852905,0.2344081848859787,0.15760008990764618
feature-length,0.28873512148857117,0.40542230010032654,0.23730427026748657,0.30069369077682495,0.27683764696121216,0.33669623732566833,0.29322323203086853,0.2648724913597107,0.21251137554645538,0.20501430332660675,0.2605436444282532,0.284355491399765,0.2077239453792572,0.23498477041721344,0.2911895215511322
dramatic,0.23279651999473572,0.267555296421051,0.19354327023029327,0.3681364357471466,0.2346239984035492,0.23786477744579315,0.18194958567619324,0.33967235684394836,0.17696766555309296,0.14817635715007782,0.2460257112979889,0.1251210868358612,0.24549134075641632,0.3021399676799774,0.12461373209953308
films,0.22327518463134766,0.1936987340450287,0.2945549488067627,0.6075599193572998,0.2151229828596115,0.23072484135627747,0.1597924381494522,0.706394612789154,0.14824813604354858,0.325454980134964,0.4291548430919647,0.14928264915943146,0.19639694690704346,0.22191646695137024,0.20618696510791779
directed,0.1671864539384842,0.210347518324852,0.21622157096862793,0.6641361117362976,0.14901293814182281,0.21284286677837372,0.1435445100069046,0.47292566299438477,0.17765580117702484,0.4140210449695587,0.536359429359436,0.2241877317428589,0.10704147070646286,0.21820421516895294,0.1359327733516693
