,what,was,the,original,name,of,california,state,university,at,fresno,?
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.30182456970214844,0.27806994318962097,0.41548454761505127,0.20697450637817383,0.25557461380958557,0.20192374289035797,0.36524343490600586,0.22500741481781006,0.29463258385658264
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.2941727340221405,0.18756690621376038,0.4300730526447296,0.1997632533311844,0.23220913112163544,0.1954415738582611,0.25582021474838257,0.1502188742160797,0.2562315762042999
extent,0.369102418422699,0.14524349570274353,0.2727625370025635,0.19007404148578644,0.11722590774297714,0.31072598695755005,0.1157604455947876,0.21548640727996826,0.13741423189640045,0.10650227963924408,0.07860913872718811,0.1940663903951645
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23508994281291962,0.28145334124565125,0.4946078956127167,0.2704589068889618,0.29481780529022217,0.3017033040523529,0.38314947485923767,0.2561432421207428,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.4037000238895416,0.3171212375164032,0.733189046382904,0.2750805914402008,0.3097178041934967,0.263973206281662,0.457212895154953,0.22571885585784912,0.22068053483963013
businesses,0.23735997080802917,0.19361251592636108,0.25707828998565674,0.11033067107200623,0.14312082529067993,0.22186020016670227,0.2660048305988312,0.262418657541275,0.2480396330356598,0.17398875951766968,0.24519230425357819,0.15998470783233643
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30228546261787415,0.24075818061828613,1.0,0.24929828941822052,0.34253445267677307,0.30646374821662903,0.42558613419532776,0.1875009983778,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.4037000238895416,0.3171212375164032,0.733189046382904,0.2750805914402008,0.3097178041934967,0.263973206281662,0.457212895154953,0.22571885585784912,0.22068053483963013
tower,0.12919922173023224,0.18529865145683289,0.2398453801870346,0.13866131007671356,0.10943169891834259,0.2271278351545334,0.11028831452131271,0.12768295407295227,0.18673807382583618,0.18812096118927002,0.13243645429611206,0.10395228117704391
district,0.13126243650913239,0.20266084372997284,0.2690705955028534,0.1397065371274948,0.20502465963363647,0.2673880457878113,0.14906194806098938,0.3435463011264801,0.22784672677516937,0.15257126092910767,0.16571244597434998,0.06725285202264786
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.27702075242996216,0.1580192744731903,0.34038281440734863,0.11519664525985718,0.1363055557012558,0.153096005320549,0.2947486639022827,0.1892825961112976,0.17890112102031708
developed,0.15555569529533386,0.3253139555454254,0.24490751326084137,0.1410529762506485,0.1454077810049057,0.21960023045539856,0.14430123567581177,0.14035603404045105,0.11678492277860641,0.1761963814496994,0.10884328931570053,0.10763012617826462
due,0.15204688906669617,0.29011407494544983,0.22577603161334991,0.18839088082313538,0.12454797327518463,0.2533245384693146,0.14267273247241974,0.16669750213623047,0.1263153851032257,0.19990050792694092,0.18409040570259094,0.10954997688531876
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.30182456970214844,0.27806994318962097,0.41548454761505127,0.20697450637817383,0.25557461380958557,0.20192374289035797,0.36524343490600586,0.22500741481781006,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.4037000238895416,0.3171212375164032,0.733189046382904,0.2750805914402008,0.3097178041934967,0.263973206281662,0.457212895154953,0.22571885585784912,0.22068053483963013
proximity,0.20552685856819153,0.12543343007564545,0.26819658279418945,0.14028193056583405,0.1453871726989746,0.2888256311416626,0.14026522636413574,0.2596360146999359,0.20874163508415222,0.20212718844413757,0.18162615597248077,0.046892885118722916
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.30228546261787415,0.24075818061828613,1.0,0.24929828941822052,0.34253445267677307,0.30646374821662903,0.42558613419532776,0.1875009983778,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.4037000238895416,0.3171212375164032,0.733189046382904,0.2750805914402008,0.3097178041934967,0.263973206281662,0.457212895154953,0.22571885585784912,0.22068053483963013
