,for,what,purpose,do,organisms,make,peroxide,and,superoxide,?
parts,0.21757566928863525,0.3415631353855133,0.26540815830230713,0.1807168424129486,0.2023540437221527,0.3557170331478119,0.19921401143074036,0.3901200294494629,0.20721714198589325,0.12310896813869476
of,0.4185989499092102,0.33290785551071167,0.23855330049991608,0.26150479912757874,0.23870134353637695,0.2912110388278961,0.19088701903820038,0.5116966962814331,0.19097040593624115,0.1826142966747284
the,0.4739971458911896,0.42745697498321533,0.3061215281486511,0.30239659547805786,0.22463196516036987,0.3146495521068573,0.17893627285957336,0.5171257257461548,0.18880882859230042,0.22068053483963013
immune,0.1448224037885666,0.2410416603088379,0.20538567006587982,0.2294367402791977,0.3922001123428345,0.2582860589027405,0.35395175218582153,0.14400269091129303,0.3615449070930481,0.16080476343631744
system,0.2630598843097687,0.23557309806346893,0.26334503293037415,0.18447506427764893,0.2424149215221405,0.22797423601150513,0.2232162356376648,0.231138214468956,0.2349841445684433,0.15556083619594574
of,0.4185989499092102,0.33290785551071167,0.23855330049991608,0.26150479912757874,0.23870134353637695,0.2912110388278961,0.19088701903820038,0.5116966962814331,0.19097040593624115,0.1826142966747284
higher,0.2346303015947342,0.2538340389728546,0.1882014274597168,0.25567880272865295,0.24991826713085175,0.31132981181144714,0.22757185995578766,0.3147866129875183,0.2531226873397827,0.15679465234279633
organisms,0.21865904331207275,0.22214920818805695,0.24656406044960022,0.2771075963973999,1.0,0.22390255331993103,0.36815759539604187,0.2444908618927002,0.42152899503707886,0.22621455788612366
create,0.2826802134513855,0.2962724268436432,0.39339643716812134,0.3618505895137787,0.25441908836364746,0.5915648937225342,0.21455055475234985,0.290901243686676,0.2395874559879303,0.300167441368103
peroxide,0.19890780746936798,0.23925615847110748,0.1790311485528946,0.2788400948047638,0.36815759539604187,0.3616861402988434,0.9999999403953552,0.24366691708564758,0.9081913232803345,0.23546335101127625
",",0.4464869201183319,0.3087472915649414,0.21281862258911133,0.3283645510673523,0.20150232315063477,0.324553906917572,0.2419615089893341,0.6633074283599854,0.2207900732755661,0.31091248989105225
superoxide,0.18582281470298767,0.2502070963382721,0.17921428382396698,0.24386811256408691,0.42152899503707886,0.33610832691192627,0.9081913232803345,0.2235080748796463,1.0000001192092896,0.24550625681877136
",",0.4464869201183319,0.3087472915649414,0.21281862258911133,0.3283645510673523,0.20150232315063477,0.324553906917572,0.2419615089893341,0.6633074283599854,0.2207900732755661,0.31091248989105225
and,0.5064792633056641,0.31309178471565247,0.2336888313293457,0.276123583316803,0.2444908618927002,0.4160483181476593,0.24366691708564758,1.0,0.2235080748796463,0.20544172823429108
singlet,0.1634807139635086,0.20141500234603882,0.2023114711046219,0.18912409245967865,0.22599737346172333,0.2104133665561676,0.21306946873664856,0.2102305293083191,0.27272358536720276,0.22683241963386536
oxygen,0.22718772292137146,0.16781960427761078,0.14631736278533936,0.22088919579982758,0.42718103528022766,0.26924630999565125,0.6256583333015442,0.22261030972003937,0.6105182766914368,0.16786395013332367
to,0.4451248347759247,0.455847829580307,0.38124558329582214,0.38876664638519287,0.26437875628471375,0.497876912355423,0.2795395851135254,0.48971283435821533,0.24755196273326874,0.29463258385658264
destroy,0.19743043184280396,0.24247540533542633,0.32218360900878906,0.26636001467704773,0.2079579085111618,0.36946946382522583,0.24128204584121704,0.2720376253128052,0.2444121390581131,0.1295877993106842
invading,0.16444218158721924,0.29477816820144653,0.19833272695541382,0.17578423023223877,0.3067833185195923,0.2162036895751953,0.2268150895833969,0.3162519335746765,0.23299077153205872,0.17586950957775116
microbes,0.24603842198848724,0.27925968170166016,0.2765754163265228,0.2759926915168762,0.6624985337257385,0.31872624158859253,0.4479413330554962,0.2551001012325287,0.4523797929286957,0.172354593873024
.,0.4726039469242096,0.3567904531955719,0.22145536541938782,0.3613996207714081,0.2715383470058441,0.3547073304653168,0.27870774269104004,0.588965117931366,0.27988046407699585,0.4130953550338745
