,what,bus,company,in,newcastle,provides,the,majority,of,services,south,of,the,river,?
arriva,0.19264231622219086,0.32110467553138733,0.34535327553749084,0.24590525031089783,0.2949264347553253,0.20620454847812653,0.25570452213287354,0.2200780063867569,0.2060827761888504,0.3932676613330841,0.271810382604599,0.2060827761888504,0.25570452213287354,0.24133920669555664,0.08111312240362167
mainly,0.29325804114341736,0.14814291894435883,0.2159280925989151,0.353954017162323,0.17447833716869354,0.25725293159484863,0.3790479004383087,0.3451429009437561,0.3325652480125427,0.2971697449684143,0.2874285578727722,0.3325652480125427,0.3790479004383087,0.14855721592903137,0.07608037441968918
operates,0.17323419451713562,0.3222123086452484,0.35750120878219604,0.28906163573265076,0.2692444920539856,0.45218268036842346,0.2663705050945282,0.203343003988266,0.22910091280937195,0.4552261531352997,0.25137758255004883,0.22910091280937195,0.2663705050945282,0.16111427545547485,0.12270797789096832
from,0.2737620174884796,0.1438971310853958,0.1728876233100891,0.4274188280105591,0.1747848093509674,0.22564493119716644,0.40150508284568787,0.251534104347229,0.4249346852302551,0.21715614199638367,0.308648020029068,0.4249346852302551,0.40150508284568787,0.20433256030082703,0.19969791173934937
haymarket,0.11690306663513184,0.3442310094833374,0.3674788475036621,0.31262460350990295,0.31346699595451355,0.15033745765686035,0.24661125242710114,0.14324486255645752,0.19002003967761993,0.2905420660972595,0.23883827030658722,0.19002003967761993,0.24661125242710114,0.1569943130016327,0.15778425335884094
bus,0.17615832388401031,1.0,0.22075513005256653,0.19241473078727722,0.11108064651489258,0.26917704939842224,0.19768238067626953,0.20291145145893097,0.15900543332099915,0.3049203157424927,0.19902253150939941,0.15900543332099915,0.19768238067626953,0.1517896205186844,0.10113320499658585
station,0.1613752841949463,0.3797439932823181,0.2310960441827774,0.21784305572509766,0.26673999428749084,0.27878305315971375,0.23609806597232819,0.09049027413129807,0.17394597828388214,0.3173239231109619,0.27019843459129333,0.17394597828388214,0.23609806597232819,0.2569822669029236,0.12574981153011322
providing,0.21766136586666107,0.2204839140176773,0.2414863109588623,0.19932186603546143,0.19025731086730957,0.7046969532966614,0.29839932918548584,0.20510688424110413,0.24403119087219238,0.4329245686531067,0.15485666692256927,0.24403119087219238,0.29839932918548584,0.1444895714521408,0.1936793476343155
the,0.42745697498321533,0.19768238067626953,0.26591673493385315,0.6662389636039734,0.2253497689962387,0.29657405614852905,1.0,0.28757327795028687,0.733189046382904,0.2381475418806076,0.3129390776157379,0.733189046382904,1.0,0.2894456386566162,0.22068053483963013
majority,0.25967487692832947,0.20291145145893097,0.23069651424884796,0.2563854157924652,0.0965329185128212,0.1552046537399292,0.28757327795028687,0.9999998807907104,0.29706597328186035,0.1385401040315628,0.17553608119487762,0.29706597328186035,0.28757327795028687,0.09737453609704971,0.220119908452034
of,0.33290785551071167,0.15900543332099915,0.20467796921730042,0.5696388483047485,0.18781472742557526,0.3119201064109802,0.733189046382904,0.29706597328186035,1.0,0.23787347972393036,0.33382371068000793,1.0,0.733189046382904,0.19903257489204407,0.1826142966747284
services,0.16048473119735718,0.3049203157424927,0.2790718972682953,0.22287973761558533,0.25399428606033325,0.5080482363700867,0.2381475418806076,0.1385401040315628,0.23787347972393036,1.0,0.23844122886657715,0.23787347972393036,0.2381475418806076,0.11370028555393219,0.1328447163105011
to,0.455847829580307,0.15267731249332428,0.24903783202171326,0.45010748505592346,0.23559264838695526,0.2667657732963562,0.535392165184021,0.26316750049591064,0.41548454761505127,0.27867045998573303,0.25657615065574646,0.41548454761505127,0.535392165184021,0.13636653125286102,0.29463258385658264
the,0.42745697498321533,0.19768238067626953,0.26591673493385315,0.6662389636039734,0.2253497689962387,0.29657405614852905,1.0,0.28757327795028687,0.733189046382904,0.2381475418806076,0.3129390776157379,0.733189046382904,1.0,0.2894456386566162,0.22068053483963013
north,0.18673177063465118,0.24582991003990173,0.13716666400432587,0.39050599932670593,0.28581127524375916,0.18125644326210022,0.36298373341560364,0.1992584615945816,0.3604778051376343,0.15176863968372345,0.750363826751709,0.3604778051376343,0.36298373341560364,0.3617013692855835,0.11829731613397598
of,0.33290785551071167,0.15900543332099915,0.20467796921730042,0.5696388483047485,0.18781472742557526,0.3119201064109802,0.733189046382904,0.29706597328186035,1.0,0.23787347972393036,0.33382371068000793,1.0,0.733189046382904,0.19903257489204407,0.1826142966747284
newcastle,0.16276082396507263,0.11108064651489258,0.16266049444675446,0.19270820915699005,1.0000001192092896,0.15403710305690765,0.2253497689962387,0.0965329185128212,0.18781472742557526,0.25399428606033325,0.3142260015010834,0.18781472742557526,0.2253497689962387,0.22174765169620514,0.0902252271771431
",",0.3087472915649414,0.17964951694011688,0.2697763442993164,0.5201468467712402,0.251589834690094,0.20848950743675232,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.24788528680801392,0.3256652057170868,0.4946078956127167,0.4933079481124878,0.26637205481529236,0.31091248989105225
northumberland,0.16041502356529236,0.19130893051624298,0.24519285559654236,0.2489502727985382,0.46340325474739075,0.20232297480106354,0.3073427081108093,0.16540253162384033,0.30757203698158264,0.25564539432525635,0.3742332458496094,0.30757203698158264,0.3073427081108093,0.314805805683136,0.12058310210704803
and,0.31309178471565247,0.24086548388004303,0.23788511753082275,0.4954058527946472,0.20204751193523407,0.28077030181884766,0.5171257257461548,0.34497180581092834,0.5116966962814331,0.30811867117881775,0.3140619993209839,0.5116966962814331,0.5171257257461548,0.19898422062397003,0.20544172823429108
north,0.18673177063465118,0.24582991003990173,0.13716666400432587,0.39050599932670593,0.28581127524375916,0.18125644326210022,0.36298373341560364,0.1992584615945816,0.3604778051376343,0.15176863968372345,0.750363826751709,0.3604778051376343,0.36298373341560364,0.3617013692855835,0.11829731613397598
tyneside,0.22811484336853027,0.26284053921699524,0.23119045794010162,0.2752016484737396,0.5080589652061462,0.2892669439315796,0.33988526463508606,0.2129162847995758,0.3008047938346863,0.3623373806476593,0.4295676052570343,0.3008047938346863,0.33988526463508606,0.26430580019950867,0.10805024206638336
.,0.3567904531955719,0.2277638167142868,0.266353577375412,0.5591574311256409,0.2714749276638031,0.1774633228778839,0.5934505462646484,0.30306822061538696,0.5352458953857422,0.2179025262594223,0.2798699140548706,0.5352458953857422,0.5934505462646484,0.21443960070610046,0.4130953550338745
