,from,what,country,did,the,first,person,in,space,come,from,?
on,0.36926645040512085,0.34226128458976746,0.21584933996200562,0.2670976221561432,0.5107308030128479,0.3120559751987457,0.21978497505187988,0.46853652596473694,0.15890881419181824,0.22001175582408905,0.36926645040512085,0.2714994251728058
april,0.19089484214782715,0.21502700448036194,0.17192697525024414,0.2925565242767334,0.23232673108577728,0.2994123697280884,0.14329831302165985,0.2882915735244751,0.15393027663230896,0.13161280751228333,0.19089484214782715,0.25704094767570496
12,0.1726745069026947,0.1696145385503769,0.16376729309558868,0.11160892248153687,0.28907760977745056,0.08027823269367218,0.12564942240715027,0.18516430258750916,0.0495922788977623,0.20419564843177795,0.1726745069026947,0.10021790862083435
",",0.39760664105415344,0.3087472915649414,0.27878350019454956,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.5201468467712402,0.2285580337047577,0.350309282541275,0.39760664105415344,0.31091248989105225
1961,0.12119784951210022,-0.03442762792110443,0.17566928267478943,-0.07450946420431137,0.0738944262266159,0.0450047142803669,-0.03832172229886055,0.09056709706783295,0.027759423479437828,-0.0005934342625550926,0.12119784951210022,0.009729373268783092
",",0.39760664105415344,0.3087472915649414,0.27878350019454956,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.2255365252494812,0.5201468467712402,0.2285580337047577,0.350309282541275,0.39760664105415344,0.31091248989105225
soviet,0.19734857976436615,0.12922172248363495,0.27580127120018005,0.20321983098983765,0.2312941700220108,0.2088063806295395,0.15853862464427948,0.22826138138771057,0.28100618720054626,0.0830404981970787,0.19734857976436615,0.08693568408489227
cosmonaut,0.1159849613904953,0.12114037573337555,0.16206318140029907,0.11874964088201523,0.1391873061656952,0.2192711979150772,0.22094742953777313,0.11004972457885742,0.449808806180954,0.04939372465014458,0.1159849613904953,0.16513676941394806
yuri,0.1320495754480362,0.14019310474395752,0.10782236605882645,0.1550147980451584,0.2019193172454834,0.2802785038948059,0.22132450342178345,0.12402302771806717,0.2304021120071411,0.14029721915721893,0.1320495754480362,0.11853878200054169
gagarin,0.1682136207818985,0.13819466531276703,0.11678694188594818,0.18198120594024658,0.2381294071674347,0.2920566499233246,0.23231928050518036,0.1757068634033203,0.37582510709762573,0.10869115591049194,0.1682136207818985,0.13204334676265717
