,what,is,the,delta,in,the,rhine,delimited,in,the,west,by,?
the,0.42745697498321533,0.5823672413825989,1.0,0.22022446990013123,0.6662389636039734,1.0,0.30735138058662415,0.3047758936882019,0.6662389636039734,1.0,0.32918402552604675,0.4408751428127289,0.22068053483963013
delta,0.11423289775848389,0.22409643232822418,0.22022446990013123,1.0000001192092896,0.21061979234218597,0.22022446990013123,0.21930839121341705,0.1613478809595108,0.21061979234218597,0.22022446990013123,0.2580733597278595,0.10674521327018738,0.14208948612213135
is,0.28837618231773376,1.0,0.5823672413825989,0.22409643232822418,0.5394441485404968,0.5823672413825989,0.15617261826992035,0.15257690846920013,0.5394441485404968,0.5823672413825989,0.25201764702796936,0.3899846076965332,0.22961433231830597
delimited,0.2781156897544861,0.15257690846920013,0.3047758936882019,0.1613478809595108,0.2273956835269928,0.3047758936882019,0.12452429533004761,0.9999999403953552,0.2273956835269928,0.3047758936882019,0.12230724841356277,0.2736586630344391,0.19262272119522095
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21061979234218597,1.0,0.6662389636039734,0.24648422002792358,0.2273956835269928,1.0,0.6662389636039734,0.34078434109687805,0.370934396982193,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.22022446990013123,0.6662389636039734,1.0,0.30735138058662415,0.3047758936882019,0.6662389636039734,1.0,0.32918402552604675,0.4408751428127289,0.22068053483963013
west,0.1946573108434677,0.25201764702796936,0.32918402552604675,0.2580733597278595,0.34078434109687805,0.32918402552604675,0.3360097110271454,0.12230724841356277,0.34078434109687805,0.32918402552604675,1.0,0.17778825759887695,0.12088293582201004
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.10674521327018738,0.370934396982193,0.4408751428127289,0.18456800282001495,0.2736586630344391,0.370934396982193,0.4408751428127289,0.17778825759887695,1.0000001192092896,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,1.0,0.22022446990013123,0.6662389636039734,1.0,0.30735138058662415,0.3047758936882019,0.6662389636039734,1.0,0.32918402552604675,0.4408751428127289,0.22068053483963013
alter,0.22912855446338654,0.19399669766426086,0.2655624747276306,0.03124316595494747,0.1950046569108963,0.2655624747276306,0.19194811582565308,0.21395829319953918,0.1950046569108963,0.2655624747276306,0.14832250773906708,0.2332857996225357,0.22885844111442566
rhein,0.15212267637252808,0.2335740327835083,0.2614726424217224,0.2226947396993637,0.27059710025787354,0.2614726424217224,0.6607828736305237,0.17023487389087677,0.27059710025787354,0.2614726424217224,0.26373448967933655,0.16136036813259125,0.2176131010055542
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.15024615824222565,0.3087427020072937,0.33289089798927307,0.12381801009178162,0.23911044001579285,0.3087427020072937,0.33289089798927307,0.17718875408172607,0.20696312189102173,0.40561532974243164
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.043367963284254074,0.04765888676047325,0.029072100296616554,0.031863048672676086,0.18853630125522614,0.04765888676047325,0.029072100296616554,0.07479795068502426,-0.030704375356435776,0.0685480609536171
old,0.22117848694324493,0.24332627654075623,0.31849798560142517,0.14766593277454376,0.2865324318408966,0.31849798560142517,0.18212221562862396,0.15345248579978943,0.2865324318408966,0.31849798560142517,0.17172345519065857,0.16804057359695435,0.20577076077461243
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.21930839121341705,0.24648422002792358,0.30735138058662415,1.0,0.12452429533004761,0.24648422002792358,0.30735138058662415,0.3360097110271454,0.18456800282001495,0.13754533231258392
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.07746187597513199,0.07432962208986282,0.041273195296525955,-0.003653771709650755,0.05551992356777191,0.07432962208986282,0.041273195296525955,0.013031438924372196,-0.010275691747665405,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1587669551372528,0.3326910734176636,0.3456730246543884,0.12686386704444885,0.23164579272270203,0.3326910734176636,0.3456730246543884,0.17997638881206512,0.2151763141155243,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21133051812648773,0.4954058527946472,0.5171257257461548,0.22029656171798706,0.25901123881340027,0.4954058527946472,0.5171257257461548,0.273951917886734,0.4289871156215668,0.20544172823429108
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21061979234218597,1.0,0.6662389636039734,0.24648422002792358,0.2273956835269928,1.0,0.6662389636039734,0.34078434109687805,0.370934396982193,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.22022446990013123,0.6662389636039734,1.0,0.30735138058662415,0.3047758936882019,0.6662389636039734,1.0,0.32918402552604675,0.4408751428127289,0.22068053483963013
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.20314067602157593,0.32659441232681274,0.3383176326751709,0.35140636563301086,0.1457049697637558,0.32659441232681274,0.3383176326751709,0.7585000991821289,0.2120126187801361,0.10070597380399704
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.10674521327018738,0.370934396982193,0.4408751428127289,0.18456800282001495,0.2736586630344391,0.370934396982193,0.4408751428127289,0.17778825759887695,1.0000001192092896,0.17966607213020325
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20749913156032562,0.539380669593811,0.5829201340675354,0.1823403388261795,0.3008924126625061,0.539380669593811,0.5829201340675354,0.2258862406015396,0.32094135880470276,0.23916715383529663
modern,0.2655639946460724,0.24170172214508057,0.3283970355987549,0.16566325724124908,0.29808807373046875,0.3283970355987549,0.15564224123954773,0.2138437181711197,0.29808807373046875,0.3283970355987549,0.16846241056919098,0.14536865055561066,0.12475407868623734
canalized,0.1253306120634079,0.18612587451934814,0.25636258721351624,0.24589835107326508,0.2606913149356842,0.25636258721351624,0.18137802183628082,0.28250405192375183,0.2606913149356842,0.25636258721351624,0.1239091157913208,0.31435734033584595,0.09231747686862946
section,0.28602200746536255,0.22237545251846313,0.3365345895290375,0.08838100731372833,0.22227555513381958,0.3365345895290375,0.15145494043827057,0.2454708367586136,0.22227555513381958,0.3365345895290375,0.1481626033782959,0.13469186425209045,0.2733710706233978
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20923152565956116,0.5591574311256409,0.5934505462646484,0.2089352011680603,0.23741625249385834,0.5591574311256409,0.5934505462646484,0.2804967761039734,0.3936232924461365,0.4130953550338745
