,what,is,the,scottish,parliament,currently,in,the,fourth,of,?
the,0.42745697498321533,0.5823672413825989,1.0,0.21724988520145416,0.26521381735801697,0.2945235073566437,0.6662389636039734,1.0,0.40804702043533325,0.733189046382904,0.22068053483963013
current,0.18294453620910645,0.2555285692214966,0.3314409554004669,0.1429591029882431,0.22191596031188965,0.5213339328765869,0.1955713927745819,0.3314409554004669,0.17982600629329681,0.31470298767089844,0.12074550241231918
subject,0.3828662037849426,0.25386592745780945,0.2387523651123047,0.11934399604797363,0.2438318133354187,0.2044438123703003,0.21163184940814972,0.2387523651123047,0.11225595325231552,0.21533280611038208,0.33952999114990234
committees,0.1853698194026947,0.15802469849586487,0.2924276292324066,0.18123844265937805,0.4124729335308075,0.2125502973794937,0.2531541585922241,0.2924276292324066,0.11995808035135269,0.34709328413009644,0.1382787674665451
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.30261120200157166,1.0,0.6662389636039734,0.29149749875068665,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.21724988520145416,0.26521381735801697,0.2945235073566437,0.6662389636039734,1.0,0.40804702043533325,0.733189046382904,0.22068053483963013
fourth,0.137417271733284,0.31589972972869873,0.40804702043533325,0.15439659357070923,0.12776121497154236,0.26861459016799927,0.29149749875068665,0.40804702043533325,1.0,0.30335766077041626,0.13791213929653168
session,0.17364954948425293,0.1451595574617386,0.2187730073928833,0.18734458088874817,0.31762444972991943,0.17038266360759735,0.18112674355506897,0.2187730073928833,0.22898201644420624,0.18514622747898102,0.1393868774175644
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.15686963498592377,0.09480422735214233,0.3489539325237274,0.3841303884983063,0.40399202704429626,0.1363801509141922,0.39081433415412903,0.24591213464736938
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,0.0004659995611291379,0.014206579886376858,0.001870911568403244,0.020521078258752823,-0.03403344005346298,0.06735367327928543,-0.08807745575904846,-0.07156077772378922
economy,0.21764783561229706,0.2698528468608856,0.24644890427589417,0.11420121788978577,0.2620321214199066,0.18062405288219452,0.2588731348514557,0.24644890427589417,0.10383468866348267,0.2583308815956116,0.11486924439668655
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.33041635155677795,0.5201468467712402,0.4933079481124878,0.271299809217453,0.4946078956127167,0.31091248989105225
energy,0.190252885222435,0.2171693742275238,0.26756542921066284,0.0923924520611763,0.14312751591205597,0.13912291824817657,0.17693158984184265,0.26756542921066284,0.15857653319835663,0.26257598400115967,0.14860127866268158
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.2922934591770172,0.4954058527946472,0.5171257257461548,0.27958914637565613,0.5116966962814331,0.20544172823429108
