,who,is,required,to,verify,and,have,existing,utility,lines,marked,?
before,0.31244513392448425,0.25183290243148804,0.25450384616851807,0.4190867841243744,0.25134915113449097,0.3518902659416199,0.3593204617500305,0.28159648180007935,0.09717568755149841,0.2064734399318695,0.34226691722869873,0.2507109045982361
the,0.3733934462070465,0.5823672413825989,0.27848219871520996,0.535392165184021,0.18094830214977264,0.5171257257461548,0.40389683842658997,0.36013904213905334,0.20175418257713318,0.28391990065574646,0.36085957288742065,0.22068053483963013
foundation,0.2365967482328415,0.18130874633789062,0.11528845131397247,0.20144611597061157,0.2742910087108612,0.19384855031967163,0.20333780348300934,0.2468087524175644,0.17278656363487244,0.06152123585343361,0.14099961519241333,0.1791457086801529
can,0.2602734863758087,0.44256699085235596,0.42514267563819885,0.4979398250579834,0.32959622144699097,0.3675691485404968,0.5489245653152466,0.33325284719467163,0.27917322516441345,0.24339769780635834,0.16437985002994537,0.3226337134838104
be,0.3371641933917999,0.4819129705429077,0.3677930235862732,0.4972836375236511,0.33607855439186096,0.41766801476478577,0.5760743618011475,0.3795691430568695,0.2411029040813446,0.26897096633911133,0.3037906289100647,0.3324260413646698
dug,0.1602952629327774,0.1259046494960785,0.13524749875068665,0.20987556874752045,0.14462065696716309,0.2587581276893616,0.24487420916557312,0.24833889305591583,0.1336449831724167,0.28374913334846497,0.19442322850227356,0.15702664852142334
",",0.3365725874900818,0.4691906273365021,0.22653338313102722,0.44245919585227966,0.1930188089609146,0.6633074283599854,0.3541618287563324,0.2549736201763153,0.22275474667549133,0.23323656618595123,0.2669837772846222,0.31091248989105225
contractors,0.2668176591396332,0.16008108854293823,0.35821816325187683,0.30616363883018494,0.16587495803833008,0.23777733743190765,0.25343942642211914,0.2622007727622986,0.2893102169036865,0.1954651027917862,0.2078869789838791,0.10574613511562347
are,0.27294138073921204,0.5330929756164551,0.30105841159820557,0.3504326641559601,0.2073671817779541,0.48576638102531433,0.6577680706977844,0.33423861861228943,0.2512670159339905,0.25913113355636597,0.275411993265152,0.24591213464736938
typically,0.2390000820159912,0.3483496606349945,0.4123048484325409,0.3589242696762085,0.24275879561901093,0.3137528598308563,0.3724619746208191,0.3426685035228729,0.3435135781764984,0.2177274078130722,0.28310778737068176,0.14485043287277222
required,0.1756134033203125,0.21426478028297424,1.0000001192092896,0.3613971471786499,0.30609843134880066,0.25104308128356934,0.3672355115413666,0.3973485231399536,0.27973809838294983,0.17941218614578247,0.2497626394033432,0.24962718784809113
to,0.42656609416007996,0.42745086550712585,0.3613971471786499,1.0,0.32314109802246094,0.48971283435821533,0.4544740617275238,0.36717307567596436,0.19861730933189392,0.26990512013435364,0.2587842047214508,0.29463258385658264
verify,0.18274734914302826,0.1786566823720932,0.30609843134880066,0.32314109802246094,1.0,0.20773613452911377,0.3432857096195221,0.29649487137794495,0.2521995007991791,0.1663961559534073,0.15549984574317932,0.40964633226394653
and,0.41279885172843933,0.3859752118587494,0.25104308128356934,0.48971283435821533,0.20773613452911377,1.0,0.4711785912513733,0.26408615708351135,0.24678480625152588,0.30738139152526855,0.2419077605009079,0.20544172823429108
