,what,south,african,vice,consul,did,harvard,students,blockade,the,speech,of,?
during,0.24137552082538605,0.24564063549041748,0.1798548847436905,0.1442636102437973,0.1671486347913742,0.30679523944854736,0.21306569874286652,0.1957223117351532,0.3361562192440033,0.4838213622570038,0.20849916338920593,0.3869180977344513,0.1325719803571701
the,0.42745697498321533,0.3129390776157379,0.23305515944957733,0.2412198781967163,0.2352229654788971,0.34736719727516174,0.24496200680732727,0.25268980860710144,0.2755983769893646,1.0,0.2542078197002411,0.733189046382904,0.22068053483963013
divestment,0.23462659120559692,0.22942136228084564,0.24570292234420776,0.31673380732536316,0.2458188533782959,0.1559571921825409,0.18917658925056458,0.23880712687969208,0.37211212515830994,0.2876768410205841,0.2290162891149521,0.27173319458961487,0.18122133612632751
from,0.2737620174884796,0.308648020029068,0.20832249522209167,0.18319828808307648,0.1771649867296219,0.20248863101005554,0.2288978099822998,0.20272988080978394,0.20068903267383575,0.40150508284568787,0.20799489319324493,0.4249346852302551,0.19969791173934937
south,0.15388517081737518,1.0000001192092896,0.45805707573890686,0.21348930895328522,0.20158059895038605,0.1510593444108963,0.1391272395849228,0.23090268671512604,0.27499741315841675,0.3129390776157379,0.11066324263811111,0.33382371068000793,0.12336621433496475
africa,0.19696469604969025,0.5442710518836975,0.6826803088188171,0.1507788449525833,0.24895787239074707,0.1931072473526001,0.15088745951652527,0.2109045535326004,0.2632941007614136,0.2903064787387848,0.10187966376543045,0.2694264054298401,0.12926554679870605
movement,0.23934946954250336,0.19583062827587128,0.235661581158638,0.12945741415023804,0.02184346131980419,0.12124674767255783,0.17031234502792358,0.14928759634494781,0.20496714115142822,0.339571475982666,0.31317606568336487,0.2662941515445709,0.1423349231481552
in,0.30808621644973755,0.33642083406448364,0.2008972465991974,0.14977192878723145,0.22784091532230377,0.2593238651752472,0.26072487235069275,0.2676171064376831,0.24482060968875885,0.6662389636039734,0.22392018139362335,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.3129390776157379,0.23305515944957733,0.2412198781967163,0.2352229654788971,0.34736719727516174,0.24496200680732727,0.25268980860710144,0.2755983769893646,1.0,0.2542078197002411,0.733189046382904,0.22068053483963013
late,0.1576872020959854,0.18433311581611633,0.17472361028194427,0.14159730076789856,0.14927010238170624,0.27609187364578247,0.17381441593170166,0.1540638506412506,0.1468992382287979,0.31481194496154785,0.14227965474128723,0.21690747141838074,0.11339222639799118
1980s,-0.06585196405649185,0.17445074021816254,0.06487590074539185,-0.0129797188565135,0.016007915139198303,-0.09640773385763168,-0.030129531398415565,0.006833112798631191,0.15392638742923737,0.07890266180038452,-0.09957516193389893,0.11110851913690567,-0.0718669518828392
",",0.3087472915649414,0.3256652057170868,0.25119030475616455,0.2756725251674652,0.22803722321987152,0.3015086054801941,0.2719281017780304,0.26501646637916565,0.24805445969104767,0.4933079481124878,0.19290532171726227,0.4946078956127167,0.31091248989105225
student,0.20548318326473236,0.14994631707668304,0.18279580771923065,0.28817689418792725,0.21896244585514069,0.17656166851520538,0.33763715624809265,0.7746244072914124,0.12453669309616089,0.21259291470050812,0.17111603915691376,0.20310284197330475,0.13282090425491333
