,who,is,the,archenemy,of,doctor,who,?
the,0.3733934462070465,0.5823672413825989,1.0,0.3205271363258362,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
master,0.3010654151439667,0.16117574274539948,0.19769129157066345,0.2226477712392807,0.17072871327400208,0.2937511205673218,0.3010654151439667,0.11915034055709839
is,0.24293622374534607,1.0,0.5823672413825989,0.24440278112888336,0.4854315221309662,0.19875872135162354,0.24293622374534607,0.22961433231830597
the,0.3733934462070465,0.5823672413825989,1.0,0.3205271363258362,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
doctor,0.3504868149757385,0.19875872135162354,0.2820442318916321,0.2224920243024826,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.1462511420249939
's,0.05599616840481758,0.02396530658006668,-0.01540423184633255,0.05841149017214775,-0.03817026689648628,0.031664930284023285,0.05599616840481758,-0.023395681753754616
archenemy,0.3453819453716278,0.24440278112888336,0.3205271363258362,1.0000001192092896,0.23955845832824707,0.2224920243024826,0.3453819453716278,0.15289229154586792
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2850194573402405,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.31091248989105225
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.2276270091533661,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.23916715383529663
renegade,0.2630472779273987,0.1249680146574974,0.26798734068870544,0.2940276861190796,0.20475134253501892,0.1939004361629486,0.2630472779273987,0.16466641426086426
time,0.36634087562561035,0.25187405943870544,0.43061500787734985,0.2605304718017578,0.35127586126327515,0.22827142477035522,0.36634087562561035,0.27391523122787476
lord,0.25294241309165955,0.14423592388629913,0.2489406019449234,0.26270821690559387,0.20127125084400177,0.18648956716060638,0.25294241309165955,0.09544310718774796
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.3453819453716278,0.2827862501144409,0.3504868149757385,0.9999998807907104,0.26220351457595825
desires,0.27459049224853516,0.21911834180355072,0.23224017024040222,0.19782841205596924,0.19259583950042725,0.1487763673067093,0.27459049224853516,0.3067745268344879
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.22681410610675812,0.41548454761505127,0.22950075566768646,0.42656609416007996,0.29463258385658264
rule,0.31803420186042786,0.18984714150428772,0.29894936084747314,0.16953246295452118,0.25175079703330994,0.05726228281855583,0.31803420186042786,0.1955260932445526
the,0.3733934462070465,0.5823672413825989,1.0,0.3205271363258362,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
universe,0.20283301174640656,0.22245483100414276,0.23688684403896332,0.2662360668182373,0.2241278737783432,0.2906842529773712,0.20283301174640656,0.22314924001693726
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.25882193446159363,0.5352458953857422,0.22361043095588684,0.3541337847709656,0.4130953550338745
