,in,which,year,was,the,john,jones,collection,left,to,the,museum,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,0.2230520099401474,0.24446700513362885,0.25281965732574463,0.33113980293273926,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
john,0.22177861630916595,0.20415355265140533,0.13745838403701782,0.2875721752643585,0.2230520099401474,1.0000001192092896,0.34628820419311523,0.14187732338905334,0.16891281306743622,0.2070634365081787,0.2230520099401474,0.14412403106689453,0.13162356615066528
jones,0.1750783771276474,0.1938105821609497,0.10255738347768784,0.23214209079742432,0.24446700513362885,0.34628820419311523,0.9999999403953552,0.18541675806045532,0.1771697849035263,0.19961781799793243,0.24446700513362885,0.17278698086738586,0.1838836669921875
collection,0.23004686832427979,0.30199134349823,0.12698578834533691,0.1743653565645218,0.25281965732574463,0.14187732338905334,0.18541675806045532,0.9999998807907104,0.08197229355573654,0.15417452156543732,0.25281965732574463,0.4441815912723541,0.20069393515586853
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2407056987285614,0.2007877230644226,0.2915455996990204,0.2218635529279709,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
french,0.22093388438224792,0.1928994208574295,0.14190015196800232,0.2523815333843231,0.2555147111415863,0.16710959374904633,0.11285733431577682,0.12934844195842743,0.10591274499893188,0.1713797152042389,0.2555147111415863,0.0783531442284584,0.1386883556842804
18th-century,0.3053510785102844,0.20736834406852722,0.2853425443172455,0.34820011258125305,0.3194690942764282,0.27046096324920654,0.18743515014648438,0.26656201481819153,0.11315052211284637,0.19639073312282562,0.3194690942764282,0.20300014317035675,0.1101951003074646
art,0.2282189577817917,0.19862167537212372,0.15209953486919403,0.20564036071300507,0.20297785103321075,0.14772957563400269,0.1079808920621872,0.3446033000946045,0.1128707006573677,0.22068513929843903,0.20297785103321075,0.5128974318504333,0.138971745967865
and,0.4954058527946472,0.506277859210968,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.21634717285633087,0.26914161443710327,0.2379438579082489,0.2571277916431427,0.48971283435821533,0.5171257257461548,0.21554097533226013,0.20544172823429108
furnishings,0.2337997555732727,0.2921486496925354,0.09012585878372192,0.23523040115833282,0.28501203656196594,0.18218696117401123,0.16817408800125122,0.3360153138637543,0.13128645718097687,0.2821625769138336,0.28501203656196594,0.21683388948440552,0.13212162256240845
was,0.45514053106307983,0.2830964922904968,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.2875721752643585,0.23214209079742432,0.1743653565645218,0.21956826746463776,0.3636345863342285,0.48711544275283813,0.21266788244247437,0.18412111699581146
left,0.21139952540397644,0.22905652225017548,0.16721561551094055,0.21956826746463776,0.33113980293273926,0.16891281306743622,0.1771697849035263,0.08197229355573654,1.0,0.2724500000476837,0.33113980293273926,0.11887305974960327,0.13251960277557373
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.3636345863342285,0.535392165184021,0.2070634365081787,0.19961781799793243,0.15417452156543732,0.2724500000476837,1.0,0.535392165184021,0.1640389859676361,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,0.2230520099401474,0.24446700513362885,0.25281965732574463,0.33113980293273926,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.21266788244247437,0.24861779808998108,0.14412403106689453,0.17278698086738586,0.4441815912723541,0.11887305974960327,0.1640389859676361,0.24861779808998108,1.0000001192092896,0.14128351211547852
in,1.0,0.4840516746044159,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.22177861630916595,0.1750783771276474,0.23004686832427979,0.21139952540397644,0.45010748505592346,0.6662389636039734,0.2407650351524353,0.20430970191955566
1882,-0.19429011642932892,-0.0590389221906662,-0.1500413417816162,-0.15778027474880219,-0.17908993363380432,0.007711111567914486,-0.01890460215508938,0.01722794398665428,-0.11606970429420471,-0.05249534174799919,-0.17908993363380432,-0.07858506590127945,0.08152727782726288
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.23961079120635986,0.2674069404602051,0.2277175933122635,0.2448868453502655,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
then,0.36253848671913147,0.4444481134414673,0.24939334392547607,0.27044644951820374,0.4297412931919098,0.16362662613391876,0.15567812323570251,0.14923229813575745,0.3093996047973633,0.5203860402107239,0.4297412931919098,0.16146671772003174,0.2884598970413208
valued,0.1322249323129654,0.24929428100585938,0.19549763202667236,0.20871606469154358,0.13255152106285095,0.1462748944759369,0.12821851670742035,0.2927563786506653,0.17104573547840118,0.25093981623649597,0.13255152106285095,0.14582112431526184,0.20130088925361633
at,0.4374977946281433,0.3286694884300232,0.3146436810493469,0.36707764863967896,0.457212895154953,0.2018798142671585,0.19856467843055725,0.15476343035697937,0.23447579145431519,0.36524343490600586,0.457212895154953,0.23034606873989105,0.21978627145290375
"£250,000",-0.04998193308711052,0.054076578468084335,-0.06874743849039078,-0.12607848644256592,0.023127278313040733,-0.05899859964847565,-0.04012655094265938,0.03926718607544899,-0.055043984204530716,0.041809774935245514,0.023127278313040733,-0.0759475976228714,-0.07015929371118546
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.26428887248039246,0.2486228495836258,0.2516246736049652,0.28830423951148987,0.4645031690597534,0.5934505462646484,0.19497929513454437,0.4130953550338745
