,in,what,major,portion,of,living,things,is,oxygen,found,?
most,0.41416558623313904,0.3219912350177765,0.28731590509414673,0.30212855339050293,0.4178851246833801,0.23991571366786957,0.33323124051094055,0.41165053844451904,0.21728017926216125,0.2697452902793884,0.2107497900724411
of,0.5696388483047485,0.33290785551071167,0.2641255557537079,0.31845465302467346,1.0,0.3499443829059601,0.2970648407936096,0.4854315221309662,0.16848602890968323,0.2982911467552185,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.31775903701782227,0.42017096281051636,0.733189046382904,0.3127744197845459,0.30825191736221313,0.5823672413825989,0.20428593456745148,0.3452354073524475,0.22068053483963013
mass,0.1766357719898224,0.23905135691165924,0.11274272203445435,0.2238912433385849,0.26915112137794495,0.12851350009441376,0.27244579792022705,0.21063528954982758,0.28330692648887634,0.17981718480587006,0.2076406031847
of,0.5696388483047485,0.33290785551071167,0.2641255557537079,0.31845465302467346,1.0,0.3499443829059601,0.2970648407936096,0.4854315221309662,0.16848602890968323,0.2982911467552185,0.1826142966747284
living,0.3253810405731201,0.22245320677757263,0.06405732780694962,0.18191459774971008,0.3499443829059601,1.0000001192092896,0.2837299406528473,0.2306187003850937,0.2253650277853012,0.2608191668987274,0.18362653255462646
organisms,0.21345661580562592,0.22214920818805695,0.08382701128721237,0.214556485414505,0.23870134353637695,0.3568808436393738,0.3681682348251343,0.1773757040500641,0.42718103528022766,0.24145568907260895,0.22621455788612366
is,0.5394441485404968,0.28837618231773376,0.19079607725143433,0.317487508058548,0.4854315221309662,0.2306187003850937,0.27847638726234436,1.0,0.21825239062309265,0.3526395261287689,0.22961433231830597
oxygen,0.1672476977109909,0.16781960427761078,0.1290738582611084,0.22995784878730774,0.16848602890968323,0.2253650277853012,0.2596944272518158,0.21825239062309265,0.9999999403953552,0.1673429310321808,0.16786395013332367
as,0.3887844979763031,0.31749409437179565,0.20393970608711243,0.22727736830711365,0.3886612355709076,0.18790079653263092,0.3078339993953705,0.43216490745544434,0.16691245138645172,0.20543651282787323,0.27043893933296204
it,0.5130809545516968,0.45803478360176086,0.22329258918762207,0.3631817102432251,0.38761502504348755,0.20901772379875183,0.38758355379104614,0.6328473687171936,0.26699385046958923,0.3907957971096039,0.25732165575027466
is,0.5394441485404968,0.28837618231773376,0.19079607725143433,0.317487508058548,0.4854315221309662,0.2306187003850937,0.27847638726234436,1.0,0.21825239062309265,0.3526395261287689,0.22961433231830597
a,0.539380669593811,0.3320399522781372,0.22990699112415314,0.3207106590270996,0.5052502155303955,0.21367067098617554,0.33201509714126587,0.658733606338501,0.21662019193172455,0.2869448959827423,0.23916715383529663
part,0.4499994218349457,0.3476244807243347,0.22967763245105743,0.5329322814941406,0.452393114566803,0.20180870592594147,0.20995093882083893,0.4582172930240631,0.17520982027053833,0.18659669160842896,0.08557961881160736
of,0.5696388483047485,0.33290785551071167,0.2641255557537079,0.31845465302467346,1.0,0.3499443829059601,0.2970648407936096,0.4854315221309662,0.16848602890968323,0.2982911467552185,0.1826142966747284
water,0.23966141045093536,0.17456887662410736,0.14223308861255646,0.1993817538022995,0.2741255462169647,0.24754610657691956,0.279644250869751,0.2879090905189514,0.4692627191543579,0.20654930174350739,0.14731885492801666
",",0.5201468467712402,0.3087472915649414,0.29355156421661377,0.23716022074222565,0.4946078956127167,0.26278790831565857,0.3149048686027527,0.4691906273365021,0.21812842786312103,0.27385151386260986,0.31091248989105225
