,who,is,the,author,of,the,book,",",``,knowledge,and,decisions,'',?
on,0.2340552806854248,0.3635730445384979,0.5107308030128479,0.16987942159175873,0.3966929316520691,0.5107308030128479,0.1977628916501999,0.49057599902153015,-0.03274054825305939,0.16112233698368073,0.4077630043029785,0.2803441882133484,0.04238596186041832,0.2714994251728058
average,0.1699700504541397,0.2669461667537689,0.27058175206184387,0.0793943777680397,0.23717734217643738,0.27058175206184387,0.14659754931926727,0.23098047077655792,0.14833956956863403,0.1723468154668808,0.2138829380273819,0.15532498061656952,0.009918922558426857,0.21764592826366425
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.3292938470840454,0.4946078956127167,0.4933079481124878,0.23644568026065826,1.0000001192092896,0.09681109338998795,0.23054014146327972,0.6633074283599854,0.28079578280448914,-0.037358131259679794,0.31091248989105225
women,0.3193221390247345,0.20067402720451355,0.279754102230072,0.14052139222621918,0.22431409358978271,0.279754102230072,0.1798495650291443,0.18865817785263062,0.025092096999287605,0.17815110087394714,0.24605001509189606,0.246003657579422,0.011858060024678707,0.1616753786802292
are,0.27294138073921204,0.5330929756164551,0.40399202704429626,0.08173219114542007,0.39081433415412903,0.40399202704429626,0.18403245508670807,0.4062570035457611,0.12624181807041168,0.22891443967819214,0.48576638102531433,0.29976803064346313,0.0263817198574543,0.24591213464736938
more,0.31567877531051636,0.2946030795574188,0.39758381247520447,0.0885491743683815,0.30478984117507935,0.39758381247520447,0.16254597902297974,0.3696524500846863,0.08673381805419922,0.2589241564273834,0.39880692958831787,0.29716241359710693,0.006126302294433117,0.27894994616508484
likely,0.32538387179374695,0.2638912796974182,0.28129076957702637,0.15323123335838318,0.2704482078552246,0.28129076957702637,0.18259991705417633,0.22176046669483185,0.13378268480300903,0.3001069128513336,0.3069725036621094,0.2010480910539627,0.027580173686146736,0.35971182584762573
than,0.24983921647071838,0.2839990258216858,0.3227543234825134,0.11538855731487274,0.33036211133003235,0.3227543234825134,0.16091085970401764,0.3371901512145996,0.12080201506614685,0.1631830632686615,0.39361441135406494,0.23969227075576782,0.03252623230218887,0.24917294085025787
men,0.3380306363105774,0.172279953956604,0.26001617312431335,0.07896795868873596,0.2133621722459793,0.26001617312431335,0.22946859896183014,0.2249656766653061,0.029977841302752495,0.1760188490152359,0.30918097496032715,0.2575242817401886,-0.03582034260034561,0.1408759206533432
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.17901532351970673,0.41548454761505127,0.535392165184021,0.20275522768497467,0.44245919585227966,0.06720756739377975,0.2853367030620575,0.48971283435821533,0.32702770829200745,-0.009905828163027763,0.29463258385658264
consider,0.2578253149986267,0.32138293981552124,0.33438587188720703,0.20512165129184723,0.3074679970741272,0.33438587188720703,0.21189846098423004,0.30831751227378845,0.12360268086194992,0.3459413945674896,0.3083309531211853,0.3604036271572113,0.08709754049777985,0.37281370162963867
factors,0.19667354226112366,0.23428019881248474,0.2769666314125061,0.09210199117660522,0.30045145750045776,0.2769666314125061,0.1518230140209198,0.20595882833003998,0.17154639959335327,0.28853267431259155,0.2477942556142807,0.3695850968360901,0.030209749937057495,0.2019491046667099
other,0.3612329661846161,0.25895947217941284,0.44152235984802246,0.1175445169210434,0.38583824038505554,0.44152235984802246,0.20864468812942505,0.4446498453617096,0.10245004296302795,0.23816268146038055,0.5504306554794312,0.3217165172100067,0.021007593721151352,0.24682199954986572
than,0.24983921647071838,0.2839990258216858,0.3227543234825134,0.11538855731487274,0.33036211133003235,0.3227543234825134,0.16091085970401764,0.3371901512145996,0.12080201506614685,0.1631830632686615,0.39361441135406494,0.23969227075576782,0.03252623230218887,0.24917294085025787
pay,0.31589654088020325,0.12657347321510315,0.1903611719608307,0.14367076754570007,0.1583462655544281,0.1903611719608307,0.12746505439281464,0.18754567205905914,-0.026207130402326584,0.18454495072364807,0.2487477958202362,0.2445315718650818,0.061709046363830566,0.19821009039878845
when,0.48282691836357117,0.3471449911594391,0.5091903209686279,0.15577159821987152,0.3757161796092987,0.5091903209686279,0.22583149373531342,0.36674630641937256,0.07174111902713776,0.2155160754919052,0.4716290831565857,0.23775212466716766,-0.07688097655773163,0.22841128706932068
looking,0.2771042585372925,0.19272714853286743,0.30421850085258484,0.12058515846729279,0.23140966892242432,0.30421850085258484,0.18822027742862701,0.23123399913311005,-0.11547001451253891,0.2675759196281433,0.28787463903427124,0.19251133501529694,-0.006120249163359404,0.2733345925807953
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.24170896410942078,0.4185989499092102,0.4739971458911896,0.22091296315193176,0.4464869201183319,0.01270448137074709,0.2610958516597748,0.5064792633056641,0.25956955552101135,-0.04479556903243065,0.264628142118454
work,0.3146236836910248,0.22475390136241913,0.2704800069332123,0.29754936695098877,0.23473061621189117,0.2704800069332123,0.3574301302433014,0.3283594250679016,0.005462854169309139,0.3594193458557129,0.37551814317703247,0.24345731735229492,-0.0059536839835345745,0.2621155381202698
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.3292938470840454,0.4946078956127167,0.4933079481124878,0.23644568026065826,1.0000001192092896,0.09681109338998795,0.23054014146327972,0.6633074283599854,0.28079578280448914,-0.037358131259679794,0.31091248989105225
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.290119469165802,0.5116966962814331,0.5171257257461548,0.28024056553840637,0.6633074283599854,0.036644238978624344,0.2927071154117584,1.0,0.26008281111717224,0.021612688899040222,0.20544172823429108
may,0.23082798719406128,0.322792649269104,0.2694292366504669,0.2406458854675293,0.26447007060050964,0.2694292366504669,0.18205007910728455,0.5007920861244202,0.13614267110824585,0.17695631086826324,0.34598252177238464,0.2510218620300293,0.020231230184435844,0.2768254578113556
be,0.3371641933917999,0.4819129705429077,0.4248143136501312,0.13063909113407135,0.33904364705085754,0.4248143136501312,0.21336250007152557,0.39254459738731384,0.07670000940561295,0.2864285409450531,0.41766801476478577,0.34317532181739807,0.08835477381944656,0.3324260413646698
less,0.24590972065925598,0.3123510479927063,0.29185041785240173,0.03435269743204117,0.30836719274520874,0.29185041785240173,0.10787726938724518,0.28111666440963745,0.12711580097675323,0.1761118471622467,0.35327455401420593,0.20650127530097961,-0.0026206099428236485,0.22418740391731262
willing,0.44369783997535706,0.18537743389606476,0.2583622932434082,0.2423975020647049,0.21092340350151062,0.2583622932434082,0.1998341828584671,0.2787826955318451,0.09228642284870148,0.3584856390953064,0.319783478975296,0.3849358856678009,-0.0003742890548892319,0.4091795086860657
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.17901532351970673,0.41548454761505127,0.535392165184021,0.20275522768497467,0.44245919585227966,0.06720756739377975,0.2853367030620575,0.48971283435821533,0.32702770829200745,-0.009905828163027763,0.29463258385658264
travel,0.20800146460533142,0.20692875981330872,0.2857808768749237,0.19553397595882416,0.23167268931865692,0.2857808768749237,0.23044981062412262,0.2159072756767273,-0.0664023756980896,0.14375141263008118,0.24324584007263184,0.21398138999938965,-0.0694083645939827,0.10014409571886063
or,0.31144875288009644,0.41870999336242676,0.4174870550632477,0.21844704449176788,0.3792596757411957,0.4174870550632477,0.20177242159843445,0.3769497275352478,0.1197475790977478,0.2464093565940857,0.4713204801082611,0.2880171537399292,0.04548122361302376,0.32389625906944275
relocate,0.2830541133880615,0.14106033742427826,0.3267476558685303,0.14530128240585327,0.19428718090057373,0.3267476558685303,0.025703640654683113,0.2315576821565628,0.005988738499581814,0.09354446828365326,0.25738105177879333,0.1658574789762497,0.004612758755683899,0.13085536658763885
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.21841131150722504,0.5352458953857422,0.5934505462646484,0.21435262262821198,0.6812511086463928,0.05720457062125206,0.17996740341186523,0.588965117931366,0.3100549876689911,-0.07181349396705627,0.4130953550338745
