,in,which,year,did,the,museum,started,charging,free,admission,fees,?
like,0.31010183691978455,0.48410770297050476,0.13683560490608215,0.40502431988716125,0.32912567257881165,0.15629172325134277,0.26641160249710083,0.21892182528972626,0.2501853406429291,0.12883400917053223,0.1402032971382141,0.3268813192844391
other,0.39989137649536133,0.50507652759552,0.20244070887565613,0.31707024574279785,0.44152235984802246,0.13978137075901031,0.18101873993873596,0.3382355272769928,0.27764660120010376,0.16467037796974182,0.24818384647369385,0.24682199954986572
national,0.28915393352508545,0.28337109088897705,0.20261619985103607,0.17743784189224243,0.32739606499671936,0.2500859498977661,0.15485014021396637,0.10436517745256424,0.19718343019485474,0.26524150371551514,0.2145410031080246,0.15643028914928436
british,0.23084034025669098,0.2002234309911728,0.16501371562480927,0.2039594054222107,0.28973397612571716,0.1519032120704651,0.21789288520812988,0.15929508209228516,0.16312195360660553,0.13627225160598755,0.18867649137973785,0.09711728990077972
museums,0.2833188474178314,0.2737024426460266,0.12876243889331818,0.1682203859090805,0.2721219062805176,0.766154408454895,0.15851403772830963,0.116239994764328,0.11813466250896454,0.22532974183559418,0.28616905212402344,0.1374243199825287
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.20741747319698334,0.32632124423980713,0.21420089900493622,0.2434854805469513,0.1946551650762558,0.17478685081005096,0.31091248989105225
entrance,0.215397909283638,0.2874296009540558,0.16840745508670807,0.1534663289785385,0.31372344493865967,0.2587375044822693,0.11096600443124771,0.20487678050994873,0.1344873309135437,0.35405007004737854,0.27279144525527954,0.07963564246892929
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.4452643394470215,0.535392165184021,0.1640389859676361,0.24973157048225403,0.2822161018848419,0.2913753390312195,0.3141794502735138,0.27193203568458557,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.24861779808998108,0.3222070634365082,0.27719730138778687,0.22231732308864594,0.2620483338832855,0.22297759354114532,0.22068053483963013
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.14870306849479675,0.24861779808998108,1.0000001192092896,0.16575148701667786,0.06125851720571518,0.09052164107561111,0.19993436336517334,0.1346772462129593,0.14128351211547852
has,0.4173259735107422,0.4350704550743103,0.2526876926422119,0.2124989777803421,0.4177538752555847,0.13289806246757507,0.1484856754541397,0.13086093962192535,0.13351182639598846,0.2254832684993744,0.16937565803527832,0.15994466841220856
been,0.3515113592147827,0.36993977427482605,0.2560553550720215,0.2835664749145508,0.3563927710056305,0.16552354395389557,0.23313181102275848,0.16343221068382263,0.14210698008537292,0.24673409759998322,0.16904279589653015,0.24354910850524902
free,0.25575435161590576,0.25454452633857727,0.08337314426898956,0.1839899867773056,0.22231732308864594,0.09052164107561111,0.19902542233467102,0.2737121284008026,1.0,0.3009815216064453,0.3286559581756592,0.1278279572725296
since,0.4325680434703827,0.3523256182670593,0.31512683629989624,0.27613121271133423,0.4054957628250122,0.2203783243894577,0.3278532326221466,0.11368740350008011,0.166397824883461,0.22100208699703217,0.14589515328407288,0.2876587212085724
2001,-0.10387769341468811,-0.08616556972265244,-0.03995949774980545,-0.12195117026567459,-0.07246288657188416,0.017588412389159203,-0.13465437293052673,-0.22587750852108002,-0.12025805562734604,-0.14651644229888916,-0.13621549308300018,-0.08740651607513428
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.19497929513454437,0.3230702877044678,0.2089579701423645,0.238864928483963,0.2514549791812897,0.202260822057724,0.4130953550338745
