,what,type,of,civil,disobedience,is,larger,scale,?
non-revolutionary,0.21013399958610535,0.14534655213356018,0.3329097032546997,0.39474183320999146,0.37564292550086975,0.1980559229850769,0.1770292967557907,0.2431281954050064,0.19538861513137817
civil,0.15091551840305328,0.05067194625735283,0.24698495864868164,1.0,0.5442691445350647,0.16941262781620026,0.11561470478773117,0.14175531268119812,0.1494513899087906
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.5442691445350647,1.0,0.21453623473644257,0.11257342249155045,0.15500542521476746,0.19890835881233215
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.16941262781620026,0.21453623473644257,1.0,0.24218857288360596,0.18123696744441986,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.658733606338501,0.2846074104309082,0.2199064940214157,0.23916715383529663
simple,0.4218197166919708,0.22789043188095093,0.23205730319023132,0.16772717237472534,0.24948285520076752,0.29377081990242004,0.24169041216373444,0.2626590430736542,0.4614735543727875
disobedience,0.3298627436161041,0.13337014615535736,0.31932318210601807,0.5442691445350647,1.0,0.21453623473644257,0.11257342249155045,0.15500542521476746,0.19890835881233215
of,0.33290785551071167,0.18112817406654358,1.0,0.24698495864868164,0.31932318210601807,0.4854315221309662,0.32469573616981506,0.19989530742168427,0.1826142966747284
laws,0.29636016488075256,0.08544152230024338,0.2539142072200775,0.2589532434940338,0.4583999514579773,0.17527072131633759,0.13895592093467712,0.09690683335065842,0.17911791801452637
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.17390455305576324,0.2194652408361435,0.3635730445384979,0.22671067714691162,0.21774359047412872,0.2714994251728058
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2477465271949768,0.30963727831840515,0.5823672413825989,0.378620445728302,0.1833842247724533,0.22068053483963013
grounds,0.2024700939655304,0.0700155645608902,0.26888811588287354,0.15576022863388062,0.2971020042896271,0.25419503450393677,0.15202245116233826,0.11808707565069199,0.1594391018152237
