,what,style,were,the,mass,constructed,residential,blocks,designed,in,?
mass,0.23905135691165924,0.1431695967912674,0.2088848054409027,0.2284930944442749,1.0000001192092896,0.15214425325393677,0.17152851819992065,0.1754324585199356,0.11427715420722961,0.1766357719898224,0.2076406031847
residential,0.09814727306365967,0.20943066477775574,0.20129980146884918,0.25597885251045227,0.17152851819992065,0.34436455368995667,0.9999998807907104,0.2378939390182495,0.3101213276386261,0.29686787724494934,0.08603290468454361
blocks,0.26251235604286194,0.20013362169265747,0.17575344443321228,0.20953036844730377,0.1754324585199356,0.33310776948928833,0.2378939390182495,1.0,0.2047371119260788,0.2040596306324005,0.2199520617723465
were,0.22298263013362885,0.1882091462612152,1.0000001192092896,0.3906462490558624,0.2088848054409027,0.24972617626190186,0.20129980146884918,0.17575344443321228,0.21924695372581482,0.3815755248069763,0.17890112102031708
erected,0.12341726571321487,0.09929125756025314,0.22838054597377777,0.23663264513015747,0.13599428534507751,0.5180454254150391,0.27849727869033813,0.16848644614219666,0.3481157720088959,0.24550780653953552,0.08063657581806183
",",0.3087472915649414,0.2071632742881775,0.36755475401878357,0.4933079481124878,0.2439754158258438,0.21606628596782684,0.21989741921424866,0.2324414849281311,0.201692596077919,0.5201468467712402,0.31091248989105225
with,0.2464839518070221,0.19696997106075287,0.3179011940956116,0.4223487675189972,0.15513640642166138,0.19915632903575897,0.1867385059595108,0.23212695121765137,0.21504513919353485,0.4080928862094879,0.2433311939239502
basic,0.3564627468585968,0.2022649645805359,0.1971532553434372,0.27259987592697144,0.18839187920093536,0.22669872641563416,0.14375127851963043,0.2745514214038849,0.17573347687721252,0.2729884386062622,0.26534420251846313
design,0.23893405497074127,0.2537660598754883,0.2101527899503708,0.27913451194763184,0.1450173407793045,0.38644370436668396,0.312595009803772,0.1839352250099182,0.7167810201644897,0.21856798231601715,0.16351860761642456
typical,0.2897430658340454,0.2779691815376282,0.15278682112693787,0.28039172291755676,0.2648862898349762,0.1964453160762787,0.2755759656429291,0.21279701590538025,0.23117145895957947,0.2587708830833435,0.15633712708950043
of,0.33290785551071167,0.23203764855861664,0.34038281440734863,0.733189046382904,0.26915112137794495,0.2552719712257385,0.2898116707801819,0.18181711435317993,0.2000347077846527,0.5696388483047485,0.1826142966747284
eastern,0.2263268083333969,0.14173413813114166,0.23770202696323395,0.3928247392177582,0.11625630408525467,0.18793636560440063,0.19234290719032288,0.10713452100753784,0.09286654740571976,0.3306356370449066,0.20060817897319794
bloc,0.21728333830833435,0.14823830127716064,0.12384386360645294,0.28089916706085205,0.1444055438041687,0.12220723181962967,0.22817043960094452,0.3348025679588318,0.10724536329507828,0.24785549938678741,0.12625090777873993
countries,0.22319257259368896,0.19528484344482422,0.29480284452438354,0.33290645480155945,0.16940855979919434,0.08869870007038116,0.21876078844070435,0.16040800511837006,0.18104895949363708,0.3027990758419037,0.15128466486930847
.,0.3567904531955719,0.30291756987571716,0.3378238379955292,0.5934505462646484,0.25224974751472473,0.20673608779907227,0.2399243861436844,0.2567770481109619,0.24422594904899597,0.5591574311256409,0.4130953550338745
